| People and Society | ANGUILLA |
| --- | --- |
| Population: | 17,087 (July 2017 est.) |
| Nationality: | noun: Anguillan(s) |
| Nationality: | adjective: Anguillan |
| Ethnic groups: | African/black 85.3%, hispanic 4.9%, mixed 3.8%, white 3.2%, East Indian/Indian 1%, other 1.6%, unspecified 0.3% (2011 est.) |
| Languages: | English (official) |
| Religions: | Protestant 73.2% (includes Anglican 22.7%, Methodist 19.4%, Pentecostal 10.5%, Seventh Day Adventist 8.3%, Baptist 7.1%, Church of God 4.9%, Presbytarian 0.2%, Brethren 0.1%), Roman Catholic 6.8%, Jehovah's Witness 1.1%, other Christian 10.9%, other 3.2%, unspecified 0.3%, none 4.5% (2011 est.) |
| Age structure: | 0-14 years: 22.21% (male 1,936/female 1,859) |
| Age structure: | 15-24 years: 14.08% (male 1,205/female 1,200) |
| Age structure: | 25-54 years: 43.82% (male 3,363/female 4,124) |
| Age structure: | 55-64 years: 11.06% (male 880/female 1,010) |
| Age structure: | 65 years and over: 8.84% (male 750/female 760) (2017 est.) |
| Median age: | total: 34.8 years |
| Median age: | male: 32.9 years |
| Median age: | female: 36.7 years (2017 est.) |
| Population growth rate: | 1.97% (2017 est.) |
| Birth rate: | 12.5 births/1,000 population (2017 est.) |
| Death rate: | 4.6 deaths/1,000 population (2017 est.) |
| Net migration rate: | 11.7 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of the population is concentrated in The Valley in the center of the island; settlmement is fairly uniform in the southwest, but rather sparce in the northeast |
| Urbanization: | urban population: 100% of total population (2017) |
| Urbanization: | rate of urbanization: 0.88% annual rate of change (2015-20 est.) |
| Major urban areas - population: | THE VALLEY (capital) 1,000 (2014) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.82 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.98 male(s)/female |
| Sex ratio: | total population: 0.91 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 3.3 deaths/1,000 live births |
| Infant mortality rate: | male: 3.7 deaths/1,000 live births |
| Infant mortality rate: | female: 2.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 81.5 years |
| Life expectancy at birth: | male: 78.9 years |
| Life expectancy at birth: | female: 84.2 years (2017 est.) |
| Total fertility rate: | 1.74 children born/woman (2017 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 94.6% of population |
| Drinking water source: | rural: NA |
| Drinking water source: | total: 94.6% of population |
| unimproved: | urban: 5.4% of population |
| unimproved: | rural: NA |
| unimproved: | total: 5.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.9% of population |
| Sanitation facility access: | rural: NA |
| Sanitation facility access: | total: 97.9% of population |
| unimproved: | urban: 2.1% of population |
| unimproved: | rural: NA |
| unimproved: | total: 2.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Education expenditures: | 2.8% of GDP (2008) |
