| People and Society | Anguilla |
| --- | --- |
| Population: | 18,090 (July 2020 est.) |
| Nationality: | noun: Anguillan(s) |
| Nationality: | adjective: Anguillan |
| Ethnic groups: | African/Black 85.3%, Hispanic 4.9%, mixed 3.8%, White 3.2%, East Indian/Indian 1%, other 1.6%, unspecified 0.3% (2011 est.) |
| Ethnic groups: | note: data represent population by ethnic origin |
| Languages: | English (official) |
| Religions: | Protestant 73.2% (includes Anglican 22.7%, Methodist 19.4%, Pentecostal 10.5%, Seventh Day Adventist 8.3%, Baptist 7.1%, Church of God 4.9%, Presbyterian 0.2%, Brethren 0.1%), Roman Catholic 6.8%, Jehovah's Witness 1.1%, other Christian 10.9%, other 3.2%, unspecified 0.3%, none 4.5% (2011 est.) |
| Age structure: | 0-14 years: 21.63% (male 1,991/female 1,922) |
| Age structure: | 15-24 years: 13.9% (male 1,269/female 1,246) |
| Age structure: | 25-54 years: 42.27% (male 3,428/female 4,218) |
| Age structure: | 55-64 years: 12.42% (male 993/female 1,254) |
| Age structure: | 65 years and over: 9.78% (male 874/female 895) (2020 est.) |
| Median age: | total: 35.7 years |
| Median age: | male: 33.7 years |
| Median age: | female: 37.6 years (2020 est.) |
| Population growth rate: | 1.86% (2020 est.) |
| Birth rate: | 12.2 births/1,000 population (2020 est.) |
| Death rate: | 4.8 deaths/1,000 population (2020 est.) |
| Net migration rate: | 11.1 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | most of the population is concentrated in The Valley in the center of the island; settlmement is fairly uniform in the southwest, but rather sparce in the northeast |
| Urbanization: | urban population: 100% of total population (2020) |
| Urbanization: | rate of urbanization: 0.9% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1,000 THE VALLEY (capital) (2018) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 0.81 male(s)/female |
| Sex ratio: | 55-64 years: 0.79 male(s)/female |
| Sex ratio: | 65 years and over: 0.98 male(s)/female |
| Sex ratio: | total population: 0.9 male(s)/female (2020 est.) |
| Infant mortality rate: | total: 3.3 deaths/1,000 live births |
| Infant mortality rate: | male: 3.6 deaths/1,000 live births |
| Infant mortality rate: | female: 2.9 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 81.8 years |
| Life expectancy at birth: | male: 79.2 years |
| Life expectancy at birth: | female: 84.5 years (2020 est.) |
| Total fertility rate: | 1.74 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 97.5% of population |
| Drinking water source: | total: 97.5% of population |
| Drinking water source: | unimproved: urban: 2.5% of population |
| Drinking water source: | total: 2.5% of population (2017 est.) |
| Sanitation facility access: | improved: urban: 99.1% of population |
| Sanitation facility access: | total: 99.1% of population |
| Sanitation facility access: | unimproved: urban: 0.9% of population |
| Sanitation facility access: | total: 0.9% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
