| People and Society | Anguilla |
| --- | --- |
| Nationality: | noun: Anguillan(s) |
| Nationality: | adjective: Anguillan |
| Ethnic groups: | black (predominant) 90.1%, mixed, mulatto 4.6%, white 3.7%, other 1.5% (2001 census) |
| Languages: | English (official) |
| Religions: | Protestant 83.1% (Anglican 29%, Methodist 23.9%, other Protestant 30.2%), Roman Catholic 5.7%, other Christian 1.7%, other 5.2%, none or unspecified 4.3% (2001 census) |
| Population: | 15,094 (July 2011 est.) |
| Age structure: | 0-14 years: 24% (male 1,861/female 1,764) |
| Age structure: | 15-64 years: 68.1% (male 4,855/female 5,427) |
| Age structure: | 65 years and over: 7.9% (male 577/female 610) (2011 est.) |
| Median age: | total: 33.3 years |
| Median age: | male: 31.9 years |
| Median age: | female: 34.7 years (2011 est.) |
| Population growth rate: | 2.173% (2011 est.) |
| Birth rate: | 12.92 births/1,000 population (2011 est.) |
| Death rate: | 4.44 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 13.25 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 100% of total population (2010) |
| Urbanization: | rate of urbanization: 1.7% annual rate of change (2010-15 est.) |
| Major cities - population: | THE VALLEY (capital) 2,000 (2009) |
| Sex ratio: | at birth: 1.031 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.93 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2011 est.) |
| Infant mortality rate: | total: 3.47 deaths/1,000 live births |
| Infant mortality rate: | male: 3.91 deaths/1,000 live births |
| Infant mortality rate: | female: 3.01 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 80.87 years |
| Life expectancy at birth: | male: 78.32 years |
| Life expectancy at birth: | female: 83.51 years (2011 est.) |
| Total fertility rate: | 1.75 children born/woman (2011 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 60% of population |
| Drinking water source: | total: 60% of population |
| unimproved: | urban: 40% of population |
| unimproved: | total: 40% of population (2000) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99% of population |
| Sanitation facility access: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | total: 1% of population (2008) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 3.5% of GDP (2008) |
| Literacy: | definition: age 12 and over can read and write |
| Literacy: | total population: 95% |
| Literacy: | male: 95% |
| Literacy: | female: 95% (1984 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2008) |
