| People and Society | Anguilla |
| --- | --- |
| Population: | 17,422 (July 2018 est.) |
| Nationality: | noun: Anguillan(s) |
| Nationality: | adjective: Anguillan |
| Ethnic groups: | African/black 85.3%, hispanic 4.9%, mixed 3.8%, white 3.2%, East Indian/Indian 1%, other 1.6%, unspecified 0.3% (2011 est.) |
| Ethnic groups: | note: data represent population by ethnic origin |
| Languages: | English (official) |
| Religions: | Protestant 73.2% (includes Anglican 22.7%, Methodist 19.4%, Pentecostal 10.5%, Seventh Day Adventist 8.3%, Baptist 7.1%, Church of God 4.9%, Presbytarian 0.2%, Brethren 0.1%), Roman Catholic 6.8%, Jehovah's Witness 1.1%, other Christian 10.9%, other 3.2%, unspecified 0.3%, none 4.5% (2011 est.) |
| Age structure: | 0-14 years: 22.01% (male 1,954 /female 1,880) |
| Age structure: | 15-24 years: 14.06% (male 1,231 /female 1,219) |
| Age structure: | 25-54 years: 43.27% (male 3,386 /female 4,152) |
| Age structure: | 55-64 years: 11.54% (male 918 /female 1,092) |
| Age structure: | 65 years and over: 9.13% (male 786 /female 804) (2018 est.) |
| Median age: | total: 35.1 years |
| Median age: | male: 33.2 years |
| Median age: | female: 37 years (2018 est.) |
| Population growth rate: | 1.92% (2018 est.) |
| Birth rate: | 12.4 births/1,000 population (2018 est.) |
| Death rate: | 4.7 deaths/1,000 population (2018 est.) |
| Net migration rate: | 11.7 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of the population is concentrated in The Valley in the center of the island; settlmement is fairly uniform in the southwest, but rather sparce in the northeast |
| Urbanization: | urban population: 100% of total population (2018) |
| Urbanization: | rate of urbanization: 0.9% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1,000 THE VALLEY (capital) (2018) |
| Sex ratio: | at birth: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.82 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.9 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.98 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.91 male(s)/female (2017 est.) |
| Infant mortality rate: | total: 3.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 3.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 2.9 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 81.6 years (2018 est.) |
| Life expectancy at birth: | male: 79 years (2018 est.) |
| Life expectancy at birth: | female: 84.3 years (2018 est.) |
| Total fertility rate: | 1.74 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 94.6% of population |
| Drinking water source: | total: 94.6% of population |
| Drinking water source: | unimproved: urban: 5.4% of population |
| Drinking water source: | total: 5.4% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 97.9% of population (2015 est.) |
| Sanitation facility access: | total: 97.9% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 2.1% of population (2015 est.) |
| Sanitation facility access: | total: 2.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Education expenditures: | 2.8% of GDP (2008) |
