| People and Society | Angola |
| --- | --- |
| Population: | 32,522,339 (July 2020 est.) |
| Population: | note: Angola's national statistical agency projects the country's 2017 population to be 28.4 million |
| Nationality: | noun: Angolan(s) |
| Nationality: | adjective: Angolan |
| Ethnic groups: | Ovimbundu 37%, Kimbundu 25%, Bakongo 13%, mestico (mixed European and native African) 2%, European 1%, other 22% |
| Languages: | Portuguese 71.2% (official), Umbundu 23%, Kikongo 8.2%, Kimbundu 7.8%, Chokwe 6.5%, Nhaneca 3.4%, Nganguela 3.1%, Fiote 2.4%, Kwanhama 2.3%, Muhumbi 2.1%, Luvale 1%, other 3.6% (2014 est.) |
| Languages: | note: most widely spoken languages; shares sum to more than 100% because some respondents gave more than one answer on the census |
| Religions: | Roman Catholic 41.1%, Protestant 38.1%, other 8.6%, none 12.3% (2014 est.) |
| Demographic profile: | More than a decade after the end of Angola's 27-year civil war, the country still faces a variety of socioeconomic problems, including poverty, high maternal and child mortality, and illiteracy. Despite the country's rapid post-war economic growth based on oil production, about 40 percent of Angolans live below the poverty line and unemployment is widespread, especially among the large young-adult population. Only about 70% of the population is literate, and the rate drops to around 60% for women. The youthful population - about 45% are under the age of 15 - is expected to continue growing rapidly with a fertility rate of more than 5 children per woman and a low rate of contraceptive use. Fewer than half of women deliver their babies with the assistance of trained health care personnel, which contributes to Angola's high maternal mortality rate. |
| Demographic profile: | Of the estimated 550,000 Angolans who fled their homeland during its civil war, most have returned home since 2002. In 2012, the UN assessed that conditions in Angola had been stable for several years and invoked a cessation of refugee status for Angolans. Following the cessation clause, some of those still in exile returned home voluntarily through UN repatriation programs, and others integrated into host countries. |
| Age structure: | 0-14 years: 47.83% (male 7,758,636/female 7,797,869) |
| Age structure: | 15-24 years: 18.64% (male 2,950,999/female 3,109,741) |
| Age structure: | 25-54 years: 27.8% (male 4,301,618/female 4,740,463) |
| Age structure: | 55-64 years: 3.43% (male 523,517/female 591,249) |
| Age structure: | 65 years and over: 2.3% (male 312,197/female 436,050) (2020 est.) |
| Dependency ratios: | total dependency ratio: 94.5 |
| Dependency ratios: | youth dependency ratio: 90.2 |
| Dependency ratios: | elderly dependency ratio: 4.3 |
| Dependency ratios: | potential support ratio: 23.5 (2020 est.) |
| Median age: | total: 15.9 years |
| Median age: | male: 15.4 years |
| Median age: | female: 16.4 years (2020 est.) |
| Population growth rate: | 3.43% (2020 est.) |
| Birth rate: | 42.7 births/1,000 population (2020 est.) |
| Death rate: | 8.5 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | most people live in the western half of the country; urban areas account for the highest concentrations of people, particularly the capital of Luanda as shown in this population distribution map |
| Urbanization: | urban population: 66.8% of total population (2020) |
| Urbanization: | rate of urbanization: 4.32% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 8.330 million LUANDA (capital), 828,000 Lubango, 778,000 Cabinda (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 0.95 male(s)/female |
| Sex ratio: | 25-54 years: 0.91 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 19.4 years (2015/16 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 241 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 62.3 deaths/1,000 live births |
| Infant mortality rate: | male: 67.8 deaths/1,000 live births |
| Infant mortality rate: | female: 56.8 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 61.3 years |
| Life expectancy at birth: | male: 59.3 years |
| Life expectancy at birth: | female: 63.4 years (2020 est.) |
| Total fertility rate: | 5.96 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 13.7% (2015/16) |
| Drinking water source: | improved: urban: 81.7% of population |
| Drinking water source: | rural: 36.6% of population |
| Drinking water source: | total: 65.8% of population |
| Drinking water source: | unimproved: urban: 18.3% of population |
| Drinking water source: | rural: 63.4% of population |
| Drinking water source: | total: 34.2% of population (2017 est.) |
| Current Health Expenditure: | 2.8% (2017) |
| Physicians density: | 0.21 physicians/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 92.2% of population |
| Sanitation facility access: | rural: 29.2% of population |
