| People | Angola |
| --- | --- |
| Population: | 11,190,786 (July 2005 est.) |
| Age structure: | 0-14 years: 43.4% (male 2,454,209/female 2,407,083) |
| Age structure: | 15-64 years: 53.7% (male 3,059,339/female 2,955,060) |
| Age structure: | 65 years and over: 2.8% (male 139,961/female 175,134) (2005 est.) |
| Median age: | total: 18.12 years |
| Median age: | male: 18.12 years |
| Median age: | female: 18.11 years (2005 est.) |
| Population growth rate: | 1.9% (2005 est.) |
| Birth rate: | 44.64 births/1,000 population (2005 est.) |
| Death rate: | 25.9 deaths/1,000 population (2005 est.) |
| Net migration rate: | 0.28 migrant(s)/1,000 population (2005 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2005 est.) |
| Infant mortality rate: | total: 191.19 deaths/1,000 live births |
| Infant mortality rate: | male: 203.68 deaths/1,000 live births |
| Infant mortality rate: | female: 178.07 deaths/1,000 live births (2005 est.) |
| Life expectancy at birth: | total population: 38.43 years |
| Life expectancy at birth: | male: 37.28 years |
| Life expectancy at birth: | female: 39.64 years (2005 est.) |
| Total fertility rate: | 6.27 children born/woman (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 3.9% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 240,000 (2003 est.) |
| HIV/AIDS - deaths: | 21,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, African trypanosomiasis (sleeping sickness) are high risks in some locations |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | water contact disease: schistosomiasis (2004) |
| Nationality: | noun: Angolan(s) |
| Nationality: | adjective: Angolan |
| Ethnic groups: | Ovimbundu 37%, Kimbundu 25%, Bakongo 13%, mestico (mixed European and native African) 2%, European 1%, other 22% |
| Religions: | indigenous beliefs 47%, Roman Catholic 38%, Protestant 15% (1998 est.) |
| Languages: | Portuguese (official), Bantu and other African languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 66.8% |
| Literacy: | male: 82.1% |
| Literacy: | female: 53.8% (2001 est.) |
