| People and Society | Congo, Democratic Republic of the |
| --- | --- |
| Nationality: | noun: Congolese (singular and plural) |
| Nationality: | adjective: Congolese or Congo |
| Ethnic groups: | over 200 African ethnic groups of which the majority are Bantu; the four largest tribes - Mongo, Luba, Kongo (all Bantu), and the Mangbetu-Azande (Hamitic) make up about 45% of the population |
| Languages: | French (official), Lingala (a lingua franca trade language), Kingwana (a dialect of Kiswahili or Swahili), Kikongo, Tshiluba |
| Religions: | Roman Catholic 50%, Protestant 20%, Kimbanguist 10%, Muslim 10%, other (includes syncretic sects and indigenous beliefs) 10% |
| Population: | 77,433,744 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.) |
| Age structure: | 0-14 years: 43.1% (male 16,810,549/female 16,552,685) |
| Age structure: | 15-24 years: 21.4% (male 8,292,444/female 8,248,326) |
| Age structure: | 25-54 years: 29.4% (male 11,359,385/female 11,405,442) |
| Age structure: | 55-64 years: 3.5% (male 1,287,895/female 1,457,499) |
| Age structure: | 65 years and over: 2.6% (male 849,840/female 1,169,679) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 91.1 % |
| population pyramid: | youth dependency ratio: 85.6 % |
| population pyramid: | elderly dependency ratio: 5.5 % |
| population pyramid: | potential support ratio: 18.3 (2014 est.) |
| Median age: | total: 17.9 years |
| Median age: | male: 17.7 years |
| Median age: | female: 18.1 years (2014 est.) |
| Population growth rate: | 2.5% (2014 est.) |
| Birth rate: | 35.62 births/1,000 population (2014 est.) |
| Death rate: | 10.3 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.33 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 34.3% of total population (2011) |
| Urbanization: | rate of urbanization: 4.19% annual rate of change (2010-15 est.) |
| Major urban areas - population: | KINSHASA (capital) 8.798 million; Lubumbashi 1.556 million; Mbuji-Mayi 1.504 million; Kananga 888,000; Kisangani 820,000 (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 20.2 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2007 est.) |
| Maternal mortality rate: | 540 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 73.15 deaths/1,000 live births |
| Infant mortality rate: | male: 76.8 deaths/1,000 live births |
| Infant mortality rate: | female: 69.39 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 56.54 years |
| Life expectancy at birth: | male: 55.03 years |
| Life expectancy at birth: | female: 58.09 years (2014 est.) |
| Total fertility rate: | 4.8 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 17.7% (2010) |
| Health expenditures: | 8.5% of GDP (2011) |
| Physicians density: | 0.11 physicians/1,000 population (2004) |
| Hospital bed density: | 0.8 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 79.1% of population |
| Drinking water source: | rural: 29% of population |
| Drinking water source: | total: 46.5% of population |
| unimproved: | urban: 20.9% of population |
| unimproved: | rural: 71% of population |
| unimproved: | total: 53.5% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 29.1% of population |
| Sanitation facility access: | rural: 32.6% of population |
| Sanitation facility access: | total: 31.4% of population |
| unimproved: | urban: 70.9% of population |
| unimproved: | rural: 67.4% of population |
| unimproved: | total: 68.6% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 1.1% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 481,500 (2012 est.) |
| HIV/AIDS - deaths: | 31,700 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and trypanosomiasis-gambiense (African sleeping sickness) |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 1.7% (2008) |
| Children under the age of 5 years underweight: | 28.2% (2007) |
| Education expenditures: | 2.5% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write French, Lingala, Kingwana, or Tshiluba |
| Literacy: | total population: 66.8% |
| Literacy: | male: 76.9% |
| Literacy: | female: 57% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2012) |
| Child labor - children ages 5-14: | total number: 8,284,395 |
| Child labor - children ages 5-14: | percentage: 42 % (2010 est.) |
