| People and Society | Congo, Democratic Republic of the |
| --- | --- |
| Nationality: | noun: Congolese (singular and plural) |
| Nationality: | adjective: Congolese or Congo |
| Ethnic groups: | over 200 African ethnic groups of which the majority are Bantu; the four largest tribes - Mongo, Luba, Kongo (all Bantu), and the Mangbetu-Azande (Hamitic) make up about 45% of the population |
| Languages: | French (official), Lingala (a lingua franca trade language), Kingwana (a dialect of Kiswahili or Swahili), Kikongo, Tshiluba |
| Religions: | Roman Catholic 50%, Protestant 20%, Kimbanguist 10%, Muslim 10%, other (includes syncretic sects and indigenous beliefs) 10% |
| Population: | 71,712,867 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 44.4% (male 16,031,347/female 15,811,818) |
| Age structure: | 15-64 years: 53% (male 18,919,942/female 19,116,204) |
| Age structure: | 65 years and over: 2.6% (male 767,119/female 1,066,437) (2011 est.) |
| Median age: | total: 17.4 years |
| Median age: | male: 17.2 years |
| Median age: | female: 17.6 years (2011 est.) |
| Population growth rate: | 2.614% (2011 est.) |
| Birth rate: | 37.74 births/1,000 population (2011 est.) |
| Death rate: | 11.06 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -0.54 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 35% of total population (2010) |
| Urbanization: | rate of urbanization: 4.5% annual rate of change (2010-15 est.) |
| Major cities - population: | KINSHASA (capital) 8.401 million; Lubumbashi 1.543 million; Mbuji-Mayi 1.488 million; Kananga 878,000; Kisangani 812,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2011 est.) |
| Maternal mortality rate: | 670 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 78.43 deaths/1,000 live births |
| Infant mortality rate: | male: 82.2 deaths/1,000 live births |
| Infant mortality rate: | female: 74.55 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 55.33 years |
| Life expectancy at birth: | male: 53.9 years |
| Life expectancy at birth: | female: 56.8 years (2011 est.) |
| Total fertility rate: | 5.24 children born/woman (2011 est.) |
| Health expenditures: | 11.2% of GDP (2009) |
| Physicians density: | 0.11 physicians/1,000 population (2004) |
| Hospital bed density: | 0.8 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 80% of population |
| Drinking water source: | rural: 28% of population |
| Drinking water source: | total: 46% of population |
| unimproved: | urban: 20% of population |
| unimproved: | rural: 72% of population |
| unimproved: | total: 54% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 23% of population |
| Sanitation facility access: | rural: 23% of population |
| Sanitation facility access: | total: 23% of population |
| unimproved: | urban: 67% of population |
| unimproved: | rural: 67% of population |
| unimproved: | total: 67% of population (2008) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, plague, and African trypanosomiasis (sleeping sickness) |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 28.2% (2007) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write French, Lingala, Kingwana, or Tshiluba |
| Literacy: | total population: 67.2% |
| Literacy: | male: 80.9% |
| Literacy: | female: 54.1% (2001 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2009) |
