| People and Society | CONGO, DEMOCRATIC REPUBLIC OF THE |
| --- | --- |
| Population: | 81,331,050 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2016 est.) |
| Nationality: | noun: Congolese (singular and plural) |
| Nationality: | adjective: Congolese or Congo |
| Ethnic groups: | over 200 African ethnic groups of which the majority are Bantu; the four largest tribes - Mongo, Luba, Kongo (all Bantu), and the Mangbetu-Azande (Hamitic) make up about 45% of the population |
| Languages: | French (official), Lingala (a lingua franca trade language), Kingwana (a dialect of Kiswahili or Swahili), Kikongo, Tshiluba |
| Religions: | Roman Catholic 50%, Protestant 20%, Kimbanguist 10%, Muslim 10%, other (includes syncretic sects and indigenous beliefs) 10% |
| Demographic profile: | Despite a wealth of fertile soil, hydroelectric power potential, and mineral resources, the Democratic Republic of the Congo (DRC) struggles with many socioeconomic problems, including high infant and maternal mortality rates, malnutrition, poor vaccination coverage, lack of access to improved water sources and sanitation, and frequent and early fertility. Ongoing conflict, mismanagement of resources, and a lack of investment have resulted in food insecurity; almost 30 percent of children under the age of 5 are malnourished. The overall coverage of basic public services – education, health, sanitation, and potable water – is very limited and piecemeal, with substantial regional and rural/urban disparities. Fertility remains high at almost 5 children per woman and is likely to remain high because of the low use of contraception and the cultural preference for larger families. |
| Demographic profile: | The DRC is a source and host country for refugees. Between 2012 and 2014, more than 119,000 Congolese refugees returned from the Republic of Congo to the relative stability of northwest DRC, but more than 540,000 Congolese refugees remained abroad as of year-end 2015. In addition, more than 1.7 million Congolese are internally displaced, the vast majority fleeing violence in the DRC’s eastern provinces between rebel group and Congolese armed forces. Thousands of refugees have come to the DRC from neighboring countries, including Rwanda, the Central African Republic, and Burundi. |
| Age structure: | 0-14 years: 42.2% (male 17,300,707/female 17,024,082) |
| Age structure: | 15-24 years: 21.44% (male 8,747,038/female 8,694,000) |
| Age structure: | 25-54 years: 30.13% (male 12,227,971/female 12,273,304) |
| Age structure: | 55-64 years: 3.58% (male 1,374,050/female 1,535,973) |
| Age structure: | 65 years and over: 2.65% (male 910,456/female 1,243,469) (2016 est.) |
| Dependency ratios: | total dependency ratio: 95.9% |
| Dependency ratios: | youth dependency ratio: 90.1% |
| Dependency ratios: | elderly dependency ratio: 5.8% |
| Dependency ratios: | potential support ratio: 17.2% (2015 est.) |
