| People and Society | SIERRA LEONE |
| --- | --- |
| Population: | 6,163,195 (July 2017 est.) |
| Nationality: | noun: Sierra Leonean(s) |
| Nationality: | adjective: Sierra Leonean |
| Ethnic groups: | Temne 35%, Mende 31%, Limba 8%, Kono 5%, Kriole 2% (descendants of freed Jamaican slaves who were settled in the Freetown area in the late-18th century; also known as Krio), Mandingo 2%, Loko 2%, other 15% (includes refugees from Liberia's recent civil war, and small numbers of Europeans, Lebanese, Pakistanis, and Indians) (2008 census) |
| Languages: | English (official, regular use limited to literate minority), Mende (principal vernacular in the south), Temne (principal vernacular in the north), Krio (English-based Creole, spoken by the descendants of freed Jamaican slaves who were settled in the Freetown area, a lingua franca and a first language for 10% of the population but understood by 95%) |
| Religions: | Muslim 60%, indigenous beliefs 30%, Christian 10% |
| Demographic profile: | Sierra Leone’s youthful and growing population is driven by its high total fertility rate (TFR) of almost 5 children per woman, which has declined little over the last two decades. Its elevated TFR is sustained by the continued desire for large families, the low level of contraceptive use, and the early start of childbearing. Despite its high TFR, Sierra Leone’s population growth is somewhat tempered by high infant, child, and maternal mortality rates that are among the world’s highest and are a result of poverty, a lack of potable water and sanitation, poor nutrition, limited access to quality health care services, and the prevalence of female genital cutting. |
| Demographic profile: | Sierra Leone’s large youth cohort – about 60% of the population is under the age of 25 – continues to struggle with high levels of unemployment, which was one of the major causes of the country’s 1991-2002 civil war and remains a threat to stability today. Its estimated 60% youth unemployment rate is attributed to high levels of illiteracy and unskilled labor, a lack of private sector jobs, and low pay. |
| Demographic profile: | Sierra Leone has been a source of and destination for refugees. Sierra Leone’s civil war internally displaced as many as 2 million people, or almost half the population, and forced almost another half million to seek refuge in neighboring countries (370,000 Sierra Leoneans fled to Guinea and 120,000 to Liberia). The UNHCR has helped almost 180,000 Sierra Leoneans to return home, while more than 90,000 others have repatriated on their own. Of the more than 65,000 Liberians who took refuge in Sierra Leone during their country’s civil war (1989-2003), about 50,000 have been voluntarily repatriated by the UNHCR and others have returned home independently. As of 2015, less than 1,000 Liberians still reside in Sierra Leone. |
| Age structure: | 0-14 years: 41.82% (male 1,286,681/female 1,290,924) |
| Age structure: | 15-24 years: 18.56% (male 556,478/female 587,454) |
| Age structure: | 25-54 years: 32.16% (male 949,264/female 1,032,783) |
| Age structure: | 55-64 years: 3.7% (male 106,706/female 121,111) |
| Age structure: | 65 years and over: 3.76% (male 96,285/female 135,509) (2017 est.) |
| Dependency ratios: | total dependency ratio: 82.6 |
| Dependency ratios: | youth dependency ratio: 78 |
| Dependency ratios: | elderly dependency ratio: 4.6 |
| Dependency ratios: | potential support ratio: 21.9 (2015 est.) |
| Median age: | total: 19 years |
| Median age: | male: 18.4 years |
| Median age: | female: 19.6 years (2017 est.) |
| Population growth rate: | 2.38% (2017 est.) |
| Birth rate: | 36.3 births/1,000 population (2017 est.) |
| Death rate: | 10.4 deaths/1,000 population (2017 est.) |
| Net migration rate: | -2.1 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population clusters are found in the lower elevations of the south and west; the northern third of the country is less populated |
| Urbanization: | urban population: 40.7% of total population (2017) |
| Urbanization: | rate of urbanization: 2.72% annual rate of change (2015-20 est.) |
| Major urban areas - population: | FREETOWN (capital) 1.007 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.94 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.2 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013 est.) |
| Maternal mortality rate: | 1,360 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 68.4 deaths/1,000 live births |
| Infant mortality rate: | male: 76.6 deaths/1,000 live births |
| Infant mortality rate: | female: 59.8 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 58.6 years |
| Life expectancy at birth: | male: 56 years |
| Life expectancy at birth: | female: 61.3 years (2017 est.) |
| Total fertility rate: | 4.73 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 16.6% (2013) |
| Health expenditures: | 11.1% of GDP (2014) |
| Physicians density: | 0.02 physicians/1,000 population (2010) |
| Hospital bed density: | 0.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 84.9% of population |
| Drinking water source: | rural: 47.8% of population |
| Drinking water source: | total: 62.6% of population |
| unimproved: | urban: 15.1% of population |
| unimproved: | rural: 52.2% of population |
| unimproved: | total: 37.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 22.8% of population |
| Sanitation facility access: | rural: 6.9% of population |
