| People | Sierra Leone |
| --- | --- |
| Population: | 6,294,774 (July 2008 est.) |
| Age structure: | 0-14 years: 44.6% (male 1,377,981/female 1,429,993) |
| Age structure: | 15-64 years: 52.2% (male 1,573,990/female 1,708,840) |
| Age structure: | 65 years and over: 3.2% (male 94,359/female 109,611) (2008 est.) |
| Median age: | total: 17.5 years |
| Median age: | male: 17.2 years |
| Median age: | female: 17.8 years (2008 est.) |
| Population growth rate: | 2.282% (2008 est.) |
| Birth rate: | 45.08 births/1,000 population (2008 est.) |
| Death rate: | 22.26 deaths/1,000 population (2008 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population |
| Net migration rate: | note: refugees currently in surrounding countries are slowly returning (2008 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 0.96 male(s)/female |
| Sex ratio: | 15-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 156.48 deaths/1,000 live births |
| Infant mortality rate: | male: 173.59 deaths/1,000 live births |
| Infant mortality rate: | female: 138.85 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 40.93 years |
| Life expectancy at birth: | male: 38.64 years |
| Life expectancy at birth: | female: 43.28 years (2008 est.) |
| Total fertility rate: | 5.95 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 7% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 170,000 (2001 est.) |
| HIV/AIDS - deaths: | 11,000 (2001 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever (2008) |
| Nationality: | noun: Sierra Leonean(s) |
| Nationality: | adjective: Sierra Leonean |
| Ethnic groups: | 20 African ethnic groups 90% (Temne 30%, Mende 30%, other 30%), Creole (Krio) 10% (descendants of freed Jamaican slaves who were settled in the Freetown area in the late-18th century), refugees from Liberia's recent civil war, small numbers of Europeans, Lebanese, Pakistanis, and Indians |
| Religions: | Muslim 60%, Christian 10%, indigenous beliefs 30% |
| Languages: | English (official, regular use limited to literate minority), Mende (principal vernacular in the south), Temne (principal vernacular in the north), Krio (English-based Creole, spoken by the descendants of freed Jamaican slaves who were settled in the Freetown area, a lingua franca and a first language for 10% of the population but understood by 95%) |
| Literacy: | definition: age 15 and over can read and write English, Mende, Temne, or Arabic |
| Literacy: | total population: 35.1% |
| Literacy: | male: 46.9% |
| Literacy: | female: 24.4% (2004 est.) |
| School life expectancy (primary to tertiary education): | total: 7 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 6 years (2001) |
| Education expenditures: | 3.8% of GDP (2005) |
