| People and Society | Sierra Leone |
| --- | --- |
| Population: | 6,624,933 (July 2020 est.) |
| Nationality: | noun: Sierra Leonean(s) |
| Nationality: | adjective: Sierra Leonean |
| Ethnic groups: | Temne 35.5%, Mende 33.2%, Limba 6.4%, Kono 4.4%, Fullah 3.4%, Loko 2.9%, Koranko 2.8%, Sherbro 2.6%, Mandingo 2.4%, Creole 1.2% (descendants of freed Jamaican slaves who were settled in the Freetown area in the late-18th century; also known as Krio), other Sierra Leone 4.7%, other foreign 0.3% (includes refugees from Liberia's civil war, and small numbers of Europeans, Lebanese, Pakistanis, and Indians), unspecified 0.2% (2013 est.) |
| Languages: | English (official, regular use limited to literate minority), Mende (principal vernacular in the south), Temne (principal vernacular in the north), Krio (English-based Creole, spoken by the descendants of freed Jamaican slaves who were settled in the Freetown area, a lingua franca and a first language for 10% of the population but understood by 95%) |
| Religions: | Muslim 78.6%, Christian 20.8%, other 0.3%, unspecified 0.2% (2013 est.) |
| Demographic profile: | Sierra Leoneâ€™s youthful and growing population is driven by its high total fertility rate (TFR) of almost 5 children per woman, which has declined little over the last two decades. Its elevated TFR is sustained by the continued desire for large families, the low level of contraceptive use, and the early start of childbearing. Despite its high TFR, Sierra Leoneâ€™s population growth is somewhat tempered by high infant, child, and maternal mortality rates that are among the worldâ€™s highest and are a result of poverty, a lack of potable water and sanitation, poor nutrition, limited access to quality health care services, and the prevalence of female genital cutting. |
| Demographic profile: | Sierra Leoneâ€™s large youth cohort â€“ about 60% of the population is under the age of 25 â€“ continues to struggle with high levels of unemployment, which was one of the major causes of the countryâ€™s 1991-2002 civil war and remains a threat to stability today. Its estimated 60% youth unemployment rate is attributed to high levels of illiteracy and unskilled labor, a lack of private sector jobs, and low pay. |
| Demographic profile: | Sierra Leone has been a source of and destination for refugees. Sierra Leoneâ€™s civil war internally displaced as many as 2 million people, or almost half the population, and forced almost another half million to seek refuge in neighboring countries (370,000 Sierra Leoneans fled to Guinea and 120,000 to Liberia). The UNHCR has helped almost 180,000 Sierra Leoneans to return home, while more than 90,000 others have repatriated on their own. Of the more than 65,000 Liberians who took refuge in Sierra Leone during their countryâ€™s civil war (1989-2003), about 50,000 have been voluntarily repatriated by the UNHCR and others have returned home independently. As of 2015, less than 1,000 Liberians still reside in Sierra Leone. |
| Age structure: | 0-14 years: 41.38% (male 1,369,942/female 1,371,537) |
| Age structure: | 15-24 years: 18.83% (male 610,396/female 636,880) |
| Age structure: | 25-54 years: 32.21% (male 1,020,741/female 1,112,946) |
| Age structure: | 55-64 years: 3.89% (male 121,733/female 135,664) |
| Age structure: | 65 years and over: 3.7% (male 100,712/female 144,382) (2020 est.) |
| Dependency ratios: | total dependency ratio: 76.3 |
| Dependency ratios: | youth dependency ratio: 71.1 |
| Dependency ratios: | elderly dependency ratio: 5.2 |
| Dependency ratios: | potential support ratio: 19.4 (2020 est.) |
| Median age: | total: 19.1 years |
| Median age: | male: 18.5 years |
| Median age: | female: 19.7 years (2020 est.) |
| Population growth rate: | 2.43% (2020 est.) |
| Birth rate: | 35.4 births/1,000 population (2020 est.) |
| Death rate: | 9.8 deaths/1,000 population (2020 est.) |
| Net migration rate: | -1.2 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population clusters are found in the lower elevations of the south and west; the northern third of the country is less populated as shown on this population distribution map |
| Urbanization: | urban population: 42.9% of total population (2020) |
| Urbanization: | rate of urbanization: 3.12% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1.202 million FREETOWN (capital) (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.96 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.7 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 19.2 years (2013 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 1,120 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 63.6 deaths/1,000 live births |
| Infant mortality rate: | male: 71.6 deaths/1,000 live births |
| Infant mortality rate: | female: 55.4 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 59.8 years |
| Life expectancy at birth: | male: 57.1 years |
| Life expectancy at birth: | female: 62.6 years (2020 est.) |
| Total fertility rate: | 4.62 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 21.2% (2019) |
| Drinking water source: | improved: urban: 89.5% of population |
| Drinking water source: | rural: 55.7% of population |
| Drinking water source: | total: 69.8% of population |
| Drinking water source: | unimproved: urban: 10.5% of population |
| Drinking water source: | rural: 44.3% of population |
| Drinking water source: | total: 30.2% of population (2017 est.) |
| Current Health Expenditure: | 13.4% (2017) |
| Physicians density: | 0.03 physicians/1,000 population (2011) |
| Sanitation facility access: | improved: urban: 74.3% of population |
| Sanitation facility access: | rural: 31.9% of population |
| Sanitation facility access: | total: 49.6% of population |
| Sanitation facility access: | unimproved: urban: 25.7% of population |
| Sanitation facility access: | rural: 68.1% of population |
| Sanitation facility access: | total: 50.4% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 1.5% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 78,000 (2019 est.) |
| HIV/AIDS - deaths: | 2,600 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria andÂ dengue fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
