| People and Society | Sierra Leone |
| --- | --- |
| Nationality: | noun: Sierra Leonean(s) |
| Nationality: | adjective: Sierra Leonean |
| Ethnic groups: | Temne 35%, Mende 31%, Limba 8%, Kono 5%, Kriole 2% (descendants of freed Jamaican slaves who were settled in the Freetown area in the late-18th century; also known as Krio), Mandingo 2%, Loko 2%, other 15% (includes refugees from Liberia's recent civil war, and small numbers of Europeans, Lebanese, Pakistanis, and Indians) (2008 census) |
| Languages: | English (official, regular use limited to literate minority), Mende (principal vernacular in the south), Temne (principal vernacular in the north), Krio (English-based Creole, spoken by the descendants of freed Jamaican slaves who were settled in the Freetown area, a lingua franca and a first language for 10% of the population but understood by 95%) |
| Religions: | Muslim 60%, Christian 10%, indigenous beliefs 30% |
| Population: | 5,612,685 (July 2013 est.) |
| Age structure: | 0-14 years: 41.9% (male 1,169,343/female 1,181,669) |
| Age structure: | 15-24 years: 19% (male 517,107/female 549,500) |
| Age structure: | 25-54 years: 31.4% (male 847,115/female 914,650) |
| Age structure: | 55-64 years: 4% (male 101,069/female 124,673) |
| Age structure: | 65 years and over: 3.7% (male 89,643/female 117,916) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 79.3 % |
| population pyramid: | youth dependency ratio: 74.5 % |
| population pyramid: | elderly dependency ratio: 4.8 % |
| population pyramid: | potential support ratio: 20.9 (2013) |
| Median age: | total: 19 years |
| Median age: | male: 18.5 years |
| Median age: | female: 19.6 years (2013 est.) |
| Population growth rate: | 2.3% (2013 est.) |
| Birth rate: | 37.77 births/1,000 population (2013 est.) |
| Death rate: | 11.26 deaths/1,000 population (2013 est.) |
| Net migration rate: | -3.48 migrant(s)/1,000 population |
| Net migration rate: | note: refugees currently in surrounding countries are slowly returning (2013 est.) |
| Urbanization: | urban population: 39.2% of total population (2011) |
| Urbanization: | rate of urbanization: 3.04% annual rate of change (2010-15 est.) |
| Major urban areas - population: | FREETOWN (capital) 875,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 0.94 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.8 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 19 (2008 est.) |
| Maternal mortality rate: | 890 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 74.95 deaths/1,000 live births |
| Infant mortality rate: | male: 83.59 deaths/1,000 live births |
| Infant mortality rate: | female: 66.06 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 56.98 years |
| Life expectancy at birth: | male: 54.47 years |
| Life expectancy at birth: | female: 59.56 years (2013 est.) |
| Total fertility rate: | 4.87 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 11% (2010) |
| Health expenditures: | 18.8% of GDP (2011) |
| Physicians density: | 0.02 physicians/1,000 population (2010) |
| Hospital bed density: | 0.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 87% of population |
| Drinking water source: | rural: 35% of population |
| Drinking water source: | total: 55% of population |
| unimproved: | urban: 13% of population |
| unimproved: | rural: 65% of population |
| unimproved: | total: 45% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 23% of population |
| Sanitation facility access: | rural: 6% of population |
| Sanitation facility access: | total: 13% of population |
| unimproved: | urban: 77% of population |
| unimproved: | rural: 94% of population |
| unimproved: | total: 87% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.6% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 49,000 (2009 est.) |
| HIV/AIDS - deaths: | 2,800 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever (2013) |
| Obesity - adult prevalence rate: | 6.8% (2008) |
| Children under the age of 5 years underweight: | 21.3% (2008) |
| Education expenditures: | 3.6% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write English, Mende, Temne, or Arabic |
| Literacy: | total population: 43.3% |
| Literacy: | male: 54.7% |
| Literacy: | female: 32.6% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2007) |
| Child labor - children ages 5-14: | total number: 573,287 |
| Child labor - children ages 5-14: | percentage: 48 % (2005 est.) |
