| People | Sierra Leone |
| --- | --- |
| Population: | 5,245,695 (July 2010 est.) |
| Age structure: | 0-14 years: 41.7% (male 1,060,463/female 1,081,333) |
| Age structure: | 15-64 years: 54.7% (male 1,344,650/female 1,461,203) |
| Age structure: | 65 years and over: 3.6% (male 83,595/female 100,894) (2010 est.) |
| Median age: | total: 19 years |
| Median age: | male: 18.6 years |
| Median age: | female: 19.5 years (2010 est.) |
| Population growth rate: | 2.216% (2010 est.) |
| Birth rate: | 38.79 births/1,000 population (2010 est.) |
| Death rate: | 11.97 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | -4.66 migrant(s)/1,000 population |
| Net migration rate: | note: refugees currently in surrounding countries are slowly returning (2010 est.) |
| Urbanization: | urban population: 38% of total population (2008) |
| Urbanization: | rate of urbanization: 2.9% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 0.98 male(s)/female |
| Sex ratio: | 15-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 80.16 deaths/1,000 live births |
| Infant mortality rate: | male: 89.06 deaths/1,000 live births |
| Infant mortality rate: | female: 70.99 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 55.69 years |
| Life expectancy at birth: | male: 53.27 years |
| Life expectancy at birth: | female: 58.18 years (2010 est.) |
| Total fertility rate: | 4.97 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.7% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 55,000 (2007 est.) |
| HIV/AIDS - deaths: | 3,300 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever (2009) |
| Nationality: | noun: Sierra Leonean(s) |
| Nationality: | adjective: Sierra Leonean |
| Ethnic groups: | Temne 35%, Mende 31%, Limba 8%, Kono 5%, Kriole 2% (descendants of freed Jamaican slaves who were settled in the Freetown area in the late-18th century; also known as Krio), Mandingo 2%, Loko 2%, other 15% (includes refugees from Liberia's recent civil war, and small numbers of Europeans, Lebanese, Pakistanis, and Indians) (2008 census) |
| Religions: | Muslim 60%, Christian 10%, indigenous beliefs 30% |
| Languages: | English (official, regular use limited to literate minority), Mende (principal vernacular in the south), Temne (principal vernacular in the north), Krio (English-based Creole, spoken by the descendants of freed Jamaican slaves who were settled in the Freetown area, a lingua franca and a first language for 10% of the population but understood by 95%) |
| Literacy: | definition: age 15 and over can read and write English, Mende, Temne, or Arabic |
| Literacy: | total population: 35.1% |
| Literacy: | male: 46.9% |
| Literacy: | female: 24.4% (2004 est.) |
| School life expectancy (primary to tertiary education): | total: 7 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 6 years (2001) |
| Education expenditures: | 3.8% of GDP (2005) |
