| People and Society | Guam |
| --- | --- |
| Population: | 167,772 (July 2018 est.) |
| Nationality: | noun: Guamanian(s) (US citizens) |
| Nationality: | adjective: Guamanian |
| Ethnic groups: | Chamorro 37.3%, Filipino 26.3%, white 7.1%, Chuukese 7%, Korean 2.2%, other Pacific Islander 2%, other Asian 2%, Chinese 1.6%, Palauan 1.6%, Japanese 1.5%, Pohnpeian 1.4%, mixed 9.4%, other 0.6% (2010 est.) |
| Languages: | English 43.6%, Filipino 21.2%, Chamorro 17.8%, other Pacific island languages 10%, Asian languages 6.3%, other 1.1% (2010 est.) |
| Religions: | Roman Catholic 85%, other 15% (1999 est.) |
| Age structure: | 0-14 years: 27.48% (male 23,893 /female 22,207) |
| Age structure: | 15-24 years: 16.4% (male 14,692 /female 12,816) |
| Age structure: | 25-54 years: 37.18% (male 32,170 /female 30,207) |
| Age structure: | 55-64 years: 10.05% (male 8,627 /female 8,236) |
| Age structure: | 65 years and over: 8.9% (male 6,947 /female 7,977) (2018 est.) |
| Dependency ratios: | total dependency ratio: 52.3 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 38.8 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 13.6 (2015 est.) |
| Dependency ratios: | potential support ratio: 7.4 (2015 est.) |
| Median age: | total: 29.1 years (2018 est.) |
| Median age: | male: 28.4 years |
| Median age: | female: 29.9 years |
| Population growth rate: | 0.23% (2018 est.) |
| Birth rate: | 19.4 births/1,000 population (2018 est.) |
| Death rate: | 6 deaths/1,000 population (2018 est.) |
| Net migration rate: | -11 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | no large cities exist on the island, though large villages (municipalities) attract much of the population; the largest of these is Dededo |
| Urbanization: | urban population: 94.9% of total population (2019) |
| Urbanization: | rate of urbanization: 0.92% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 147,000 HAGATNA (capital) (2018) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.08 male(s)/female |
| Sex ratio: | 15-24 years: 1.15 male(s)/female |
| Sex ratio: | 25-54 years: 1.06 male(s)/female |
| Sex ratio: | 55-64 years: 1.05 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 1.06 male(s)/female (2018 est.) |
| Infant mortality rate: | total: 11.9 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 11.8 deaths/1,000 live births |
| Infant mortality rate: | female: 12.1 deaths/1,000 live births |
| Life expectancy at birth: | total population: 76.4 years (2018 est.) |
| Life expectancy at birth: | male: 73.9 years |
| Life expectancy at birth: | female: 78.9 years |
| Total fertility rate: | 2.92 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 99.5% of population |
| Drinking water source: | rural: 99.5% of population |
| Drinking water source: | total: 99.5% of population |
| Drinking water source: | unimproved: urban: 0.5% of population |
| Drinking water source: | rural: 0.5% of population |
| Drinking water source: | total: 0.5% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 89.8% of population (2015 est.) |
| Sanitation facility access: | rural: 89.8% of population (2015 est.) |
| Sanitation facility access: | total: 89.8% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 10.2% of population (2015 est.) |
| Sanitation facility access: | rural: 10.2% of population (2015 est.) |
| Sanitation facility access: | total: 10.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Unemployment, youth ages 15-24: | total: 29.4% |
| Unemployment, youth ages 15-24: | male: 29.7% |
| Unemployment, youth ages 15-24: | female: 28.9% (2011 est.) |
