| People and Society | GUAM |
| --- | --- |
| Nationality: | noun: Guamanian(s) (US citizens) |
| Nationality: | adjective: Guamanian |
| Ethnic groups: | Chamorro 37.3%, Filipino 26.3%, white 7.1%, Chuukese 7%, Korean 2.2%, other Pacific Islander 2%, other Asian 2%, Chinese 1.6%, Palauan 1.6%, Japanese 1.5%, Pohnpeian 1.4%, mixed 9.4%, other 0.6% (2010 est.) |
| Languages: | English 43.6%, Filipino 21.2%, Chamorro 17.8%, other Pacific island languages 10%, Asian languages 6.3%, other 1.1% (2010 est.) |
| Religions: | Roman Catholic 85%, other 15% (1999 est.) |
| Population: | 161,785 (July 2015 est.) |
| Age structure: | 0-14 years: 25.47% (male 21,189/female 20,017) |
| Age structure: | 15-24 years: 17% (male 14,267/female 13,241) |
| Age structure: | 25-54 years: 39.23% (male 32,315/female 31,159) |
| Age structure: | 55-64 years: 9.4% (male 7,655/female 7,560) |
| Age structure: | 65 years and over: 8.89% (male 6,552/female 7,830) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 52% |
| population pyramid: | youth dependency ratio: 38.7% |
| population pyramid: | elderly dependency ratio: 13.3% |
| population pyramid: | potential support ratio: 7.5% (2015 est.) |
| Median age: | total: 30.1 years |
| Median age: | male: 29.6 years |
| Median age: | female: 30.7 years (2015 est.) |
| Population growth rate: | 0.54% (2015 est.) |
| Birth rate: | 16.82 births/1,000 population (2015 est.) |
| Death rate: | 5.12 deaths/1,000 population (2015 est.) |
| Net migration rate: | -6.34 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 94.5% of total population (2015) |
| Urbanization: | rate of urbanization: 1.36% annual rate of change (2010-15 est.) |
| Major urban areas - population: | HAGATNA (capital) 143,000 (2014) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.08 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.84 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 5.41 deaths/1,000 live births |
| Infant mortality rate: | male: 5.81 deaths/1,000 live births |
| Infant mortality rate: | female: 4.99 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 78.98 years |
| Life expectancy at birth: | male: 75.94 years |
| Life expectancy at birth: | female: 82.21 years (2015 est.) |
| Total fertility rate: | 2.34 children born/woman (2015 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.5% of population |
| Drinking water source: | rural: 99.5% of population |
| Drinking water source: | total: 99.5% of population |
| unimproved: | urban: 0.5% of population |
| unimproved: | rural: 0.5% of population |
| unimproved: | total: 0.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 89.8% of population |
| Sanitation facility access: | rural: 89.8% of population |
| Sanitation facility access: | total: 89.8% of population |
| unimproved: | urban: 10.2% of population |
| unimproved: | rural: 10.2% of population |
| unimproved: | total: 10.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Unemployment, youth ages 15-24: | total: 29.4% |
| Unemployment, youth ages 15-24: | male: 29.7% |
| Unemployment, youth ages 15-24: | female: 28.9% (2011 est.) |
