| People and Society | Guam |
| --- | --- |
| Population: | 168,485 (July 2020 est.) |
| Nationality: | noun: Guamanian(s) (US citizens) |
| Nationality: | adjective: Guamanian |
| Ethnic groups: | Chamorro 37.3%, Filipino 26.3%, white 7.1%, Chuukese 7%, Korean 2.2%, other Pacific Islander 2%, other Asian 2%, Chinese 1.6%, Palauan 1.6%, Japanese 1.5%, Pohnpeian 1.4%, mixed 9.4%, other 0.6% (2010 est.) |
| Languages: | English 43.6%, Filipino 21.2%, Chamorro 17.8%, other Pacific island languages 10%, Asian languages 6.3%, other 1.1% (2010 est.) |
| Religions: | Roman Catholic 85%, other 15% (1999 est.) |
| Age structure: | 0-14 years: 27.22% (male 23,748/female 22,122) |
| Age structure: | 15-24 years: 16.08% (male 14,522/female 12,572) |
| Age structure: | 25-54 years: 36.65% (male 31,880/female 29,871) |
| Age structure: | 55-64 years: 10.5% (male 9,079/female 8,610) |
| Age structure: | 65 years and over: 9.54% (male 7,504/female 8,577) (2020 est.) |
| Dependency ratios: | total dependency ratio: 52.4 |
| Dependency ratios: | youth dependency ratio: 36.4 |
| Dependency ratios: | elderly dependency ratio: 16.1 |
| Dependency ratios: | potential support ratio: 6.2 (2020 est.) |
| Median age: | total: 29.4 years |
| Median age: | male: 28.7 years |
| Median age: | female: 30.2 years (2020 est.) |
| Population growth rate: | 0.2% (2020 est.) |
| Birth rate: | 18.9 births/1,000 population (2020 est.) |
| Death rate: | 6 deaths/1,000 population (2020 est.) |
| Net migration rate: | -11 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | no large cities exist on the island, though large villages (municipalities) attract much of the population; the largest of these is Dededo |
| Urbanization: | urban population: 94.9% of total population (2020) |
| Urbanization: | rate of urbanization: 0.92% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 147,000 HAGATNA (capital) (2018) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.16 male(s)/female |
| Sex ratio: | 25-54 years: 1.07 male(s)/female |
| Sex ratio: | 55-64 years: 1.05 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 1.06 male(s)/female (2020 est.) |
| Infant mortality rate: | total: 10.8 deaths/1,000 live births |
| Infant mortality rate: | male: 10.7 deaths/1,000 live births |
| Infant mortality rate: | female: 10.8 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 77 years |
| Life expectancy at birth: | male: 74.6 years |
| Life expectancy at birth: | female: 79.6 years (2020 est.) |
| Total fertility rate: | 2.84 children born/woman (2020 est.) |
| Drinking water source: | improved: total: 100% of population |
| Drinking water source: | unimproved: total: 0% of population (2017 est.) |
| Sanitation facility access: | improved: urban: 89.8% of population (2015 est.) |
| Sanitation facility access: | rural: 89.8% of population (2015 est.) |
| Sanitation facility access: | total: 89.8% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 10.2% of population (2015 est.) |
| Sanitation facility access: | rural: 10.2% of population (2015 est.) |
| Sanitation facility access: | total: 10.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Unemployment, youth ages 15-24: | total: 29.4% |
| Unemployment, youth ages 15-24: | male: 29.7% |
| Unemployment, youth ages 15-24: | female: 28.9% (2011 est.) |
