| People and Society | Tonga |
| --- | --- |
| Population: | 106,398 (July 2018 est.) |
| Nationality: | noun: Tongan(s) |
| Nationality: | adjective: Tongan |
| Ethnic groups: | Tongan 97%, part-Tongan 0.8%, other 2.2%, unspecified (2016 est.) |
| Languages: | Tongan and English 76.8%, Tongan, English, and other language 10.6%, Tongan only (official) 8.7%, English only (official) 0.7%, other 1.7%, none 2.2% (2016 est.) |
| Languages: | note: data represent persons aged 5 and older who can read and write a simple sentence in Tongan, English, or another language |
| Religions: | Protestant 64.1% (includes Free Wesleyan Church 35%, Free Church of Tonga 11.9%, Church of Tonga 6.8%, Assembly of God 2.3%, Seventh Day Adventist 2.2%, Tokaikolo Christian Church 1.6%, other 4.3%), Mormon 18.6%, Roman Catholic 14.2%, other 2.4%, none 0.5%, unspecified 0.1% (2016 est.) |
| Age structure: | 0-14 years: 33.26% (male 17,979 /female 17,404) |
| Age structure: | 15-24 years: 19.69% (male 10,725 /female 10,223) |
| Age structure: | 25-54 years: 34.69% (male 18,436 /female 18,469) |
| Age structure: | 55-64 years: 5.81% (male 3,098 /female 3,089) |
| Age structure: | 65 years and over: 6.56% (male 3,140 /female 3,835) (2018 est.) |
| Dependency ratios: | total dependency ratio: 74.2 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 63.9 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 10.2 (2015 est.) |
| Dependency ratios: | potential support ratio: 9.8 (2015 est.) |
| Median age: | total: 23.3 years |
| Median age: | male: 22.9 years |
| Median age: | female: 23.8 years (2018 est.) |
| Population growth rate: | -0.1% (2018 est.) |
| Birth rate: | 21.8 births/1,000 population (2018 est.) |
| Death rate: | 4.9 deaths/1,000 population (2018 est.) |
| Net migration rate: | -17.8 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | over two-thirds of the population lives on the island of Tongatapu; only 45 of the nation's 171 islands are occupied |
| Urbanization: | urban population: 23.1% of total population (2018) |
| Urbanization: | rate of urbanization: 0.71% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 23,000 NUKU'ALOFA (2018) |
| Sex ratio: | at birth: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.98 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.84 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.01 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 24.9 years (2012 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-49 |
| Maternal mortality rate: | 124 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 10.9 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 11.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 10.5 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 76.6 years (2018 est.) |
| Life expectancy at birth: | male: 75 years (2018 est.) |
| Life expectancy at birth: | female: 78.3 years (2018 est.) |
| Total fertility rate: | 3.03 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 34.1% (2012) |
| Health expenditures: | 5.2% of GDP (2014) |
| Physicians density: | 0.56 physicians/1,000 population (2010) |
| Hospital bed density: | 2.6 beds/1,000 population (2010) |
| Drinking water source: | improved: urban: 99.7% of population |
| Drinking water source: | rural: 99.6% of population |
| Drinking water source: | total: 99.6% of population |
| Drinking water source: | unimproved: urban: 0.3% of population |
| Drinking water source: | rural: 0.4% of population |
| Drinking water source: | total: 0.4% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 97.6% of population (2015 est.) |
| Sanitation facility access: | rural: 89% of population (2015 est.) |
| Sanitation facility access: | total: 91% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 2.4% of population (2015 est.) |
| Sanitation facility access: | rural: 11% of population (2015 est.) |
| Sanitation facility access: | total: 9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 48.2% (2016) |
| Children under the age of 5 years underweight: | 1.9% (2012) |
| Literacy: | definition: can read and write Tongan and/or English (2015 est.) |
| Literacy: | total population: 99.4% (2015 est.) |
| Literacy: | male: 99.3% (2015 est.) |
| Literacy: | female: 99.4% (2015 est.) |
