| People and Society | TONGA |
| --- | --- |
| Population: | 106,513 (July 2016 est.) |
| Nationality: | noun: Tongan(s) |
| Nationality: | adjective: Tongan |
| Ethnic groups: | Tongan 96.6%, part-Tongan 1.7%, other 1.7%, unspecified 0.03% (2006 est.) |
| Languages: | English and Tongan 87%, Tongan (official) 10.7%, English (official) 1.2%, other 1.1%, unspecified 0.03% (2006 est.) |
| Religions: | Protestant 64.9% (includes Free Wesleyan Church 37.3%, Free Church of Tonga 11.4%, Church of Tonga 7.2%, Tokaikolo Christian Church 2.6%, Assembly of God 2.3%, Seventh Day Adventist 2.2%, Constitutional Church of Tonga 0.9%, Anglican 0.8% and Full Gospel Church 0.2%), Mormon 16.8%, Roman Catholic 15.6%, other 1.1%, none 0.03%, unspecified 1.7% (2006 est.) |
| Age structure: | 0-14 years: 34.47% (male 18,656/female 18,061) |
| Age structure: | 15-24 years: 19.57% (male 10,671/female 10,169) |
| Age structure: | 25-54 years: 33.92% (male 18,045/female 18,080) |
| Age structure: | 55-64 years: 5.7% (male 3,000/female 3,072) |
| Age structure: | 65 years and over: 6.35% (male 3,064/female 3,695) (2016 est.) |
| Dependency ratios: | total dependency ratio: 74.3% |
| Dependency ratios: | youth dependency ratio: 64.1% |
| Dependency ratios: | elderly dependency ratio: 10.2% |
| Dependency ratios: | potential support ratio: 9.8% (2015 est.) |
| Median age: | total: 22.6 years |
| Median age: | male: 22.2 years |
| Median age: | female: 23.1 years (2016 est.) |
| Population growth rate: | -0.01% (2016 est.) |
| Birth rate: | 22.6 births/1,000 population (2016 est.) |
| Death rate: | 4.9 deaths/1,000 population (2016 est.) |
| Net migration rate: | -17.8 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 23.7% of total population (2015) |
| Urbanization: | rate of urbanization: 0.71% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NUKU'ALOFA 25,000 (2014) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.84 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 24.9 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-49 (2012 est.) |
| Maternal mortality rate: | 124 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 11.6 deaths/1,000 live births |
| Infant mortality rate: | male: 12 deaths/1,000 live births |
| Infant mortality rate: | female: 11.2 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 76.2 years |
| Life expectancy at birth: | male: 74.7 years |
| Life expectancy at birth: | female: 77.8 years (2016 est.) |
| Total fertility rate: | 3.18 children born/woman (2016 est.) |
| Health expenditures: | 5.2% of GDP (2014) |
| Physicians density: | 0.56 physicians/1,000 population (2010) |
| Hospital bed density: | 2.6 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.7% of population |
| Drinking water source: | rural: 99.6% of population |
| Drinking water source: | total: 99.6% of population |
| unimproved: | urban: 0.3% of population |
| unimproved: | rural: 0.4% of population |
| unimproved: | total: 0.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.6% of population |
| Sanitation facility access: | rural: 89% of population |
| Sanitation facility access: | total: 91% of population |
| unimproved: | urban: 2.4% of population |
| unimproved: | rural: 11% of population |
| unimproved: | total: 9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 41.1% (2014) |
| Children under the age of 5 years underweight: | 1.9% (2012) |
| Literacy: | definition: can read and write Tongan and/or English |
| Literacy: | total population: 99.4% |
| Literacy: | male: 99.3% |
| Literacy: | female: 99.4% (2015 est.) |
