| People and Society | Spain |
| --- | --- |
| Population: | 50,015,792 (July 2020 est.) |
| Nationality: | noun: Spaniard(s) |
| Nationality: | adjective: Spanish |
| Ethnic groups: | Spanish 86.4%, Moroccan 1.8%, Romanian 1.3%, other 10.5% (2018 est.) |
| Ethnic groups: | note: data represent population by country of birth |
| Languages: | Castilian Spanish (official nationwide) 74%, Catalan (official in Catalonia, the Balearic Islands, and the Valencian Community (where it is known as Valencian)) 17%, Galician (official in Galicia) 7%, Basque (official in the Basque Country and in the Basque-speaking area of Navarre) 2%, Aranese (official in the northwest corner of Catalonia (Vall d'Aran) along with Catalan, <5,000 speakers) |
| Languages: | note: Aragonese, Aranese Asturian, Basque, Calo, Catalan, Galician, and Valencian are recognized as regional languages under the European Charter for Regional or Minority Languages |
| Religions: | Roman Catholic 68.9%, atheist 11.3%, agnostic 7.6%, other 2.8%, non-believer 8.2%, unspecified 1.1% (2019 est.) |
| Age structure: | 0-14 years: 15.02% (male 3,861,522/female 3,650,085) |
| Age structure: | 15-24 years: 9.9% (male 2,557,504/female 2,392,498) |
| Age structure: | 25-54 years: 43.61% (male 11,134,006/female 10,675,873) |
| Age structure: | 55-64 years: 12.99% (male 3,177,080/female 3,319,823) |
| Age structure: | 65 years and over: 18.49% (male 3,970,417/female 5,276,984) (2020 est.) |
| Dependency ratios: | total dependency ratio: 52.4 |
| Dependency ratios: | youth dependency ratio: 21.9 |
| Dependency ratios: | elderly dependency ratio: 30.4 |
| Dependency ratios: | potential support ratio: 3.3 (2020 est.) |
| Median age: | total: 43.9 years |
| Median age: | male: 42.7 years |
| Median age: | female: 45.1 years (2020 est.) |
| Population growth rate: | 0.67% (2020 est.) |
| Birth rate: | 8.7 births/1,000 population (2020 est.) |
| Death rate: | 9.3 deaths/1,000 population (2020 est.) |
| Net migration rate: | 7 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | with the notable exception of Madrid, Sevilla, and Zaragoza, the largest urban agglomerations are found along the Mediterranean and Atlantic coasts; numerous smaller cities are spread throughout the interior reflecting Spain's agrarian heritage; very dense settlement around the capital of Madrid, as well as the port city of Barcelona |
| Urbanization: | urban population: 80.8% of total population (2020) |
| Urbanization: | rate of urbanization: 0.33% annual rate of change (2015-20 est.) |
| Urbanization: | note: data include Canary Islands, Ceuta, and Melilla |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 6.618 million MADRID (capital), 5.586 million Barcelona, 834,000 Valencia (2020) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 30.9 years (2017 est.) |
| Maternal mortality rate: | 4 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 3.2 deaths/1,000 live births |
| Infant mortality rate: | male: 3.5 deaths/1,000 live births |
| Infant mortality rate: | female: 2.9 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 82 years |
| Life expectancy at birth: | male: 79 years |
| Life expectancy at birth: | female: 85.2 years (2020 est.) |
| Total fertility rate: | 1.51 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 62.1% (2018) |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 8.9% (2017) |
| Physicians density: | 3.87 physicians/1,000 population (2017) |
| Hospital bed density: | 3 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 100% of population (5 est.) |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0% of population |
| Sanitation facility access: | total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 150,000 (2019 est.) |
| HIV/AIDS - deaths: | <1000 (2019) |
| Major infectious diseases: | Covid-19 (see note) (2020) |
| Major infectious diseases: | note: widespread ongoing transmission of a respiratory illness caused by the novel coronavirus (COVID-19) is occurring throughout Spain; as of 8 December 2020, Spain has reported a total of 1,684,647 cases of COVID-19 or 36,032 cumulative cases of COVID-19 per 1 million population with 989 cumulative deaths per 1 million population; the Spanish Government is gradually relaxing confinement measures in phases over the next several weeks; these measures will vary from region to region within Spain; the Department of Homeland Security has issued instructions requiring US passengers who have been in Spain to travel through select airports where the US Government has implemented enhanced screening procedures |
| Obesity - adult prevalence rate: | 23.8% (2016) |
| Education expenditures: | 4.2% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.4% |
| Literacy: | male: 98.9% |
| Literacy: | female: 98% (2018) |
| School life expectancy (primary to tertiary education): | total: 18 years |
| School life expectancy (primary to tertiary education): | male: 17 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2018) |
| Unemployment, youth ages 15-24: | total: 34.3% |
| Unemployment, youth ages 15-24: | male: 35.2% |
| Unemployment, youth ages 15-24: | female: 33.3% (2018 est.) |
