| People and Society | DOMINICAN REPUBLIC |
| --- | --- |
| Population: | 10,734,247 (July 2017 est.) |
| Nationality: | noun: Dominican(s) |
| Nationality: | adjective: Dominican |
| Ethnic groups: | mixed 70.4% (mestizo/indio 58%, mulatto 12.4%), black 15.8%, white 13.5%, other 0.3% |
| Ethnic groups: | note: respondents self-identified their race; the term "indio" in the Dominican Republic is not associated with people of indigenous ancestry but people of mixed ancestry or skin color between light and dark (2014 est.) |
| Languages: | Spanish (official) |
| Religions: | Roman Catholic 95%, other 5% |
| Age structure: | 0-14 years: 26.63% (male 1,454,527/female 1,404,538) |
| Age structure: | 15-24 years: 18.18% (male 993,642/female 957,466) |
| Age structure: | 25-54 years: 39.66% (male 2,178,477/female 2,078,371) |
| Age structure: | 55-64 years: 7.9% (male 426,810/female 421,727) |
| Age structure: | 65 years and over: 7.63% (male 378,226/female 440,463) (2017 est.) |
| Dependency ratios: | total dependency ratio: 57.8 |
| Dependency ratios: | youth dependency ratio: 47.3 |
| Dependency ratios: | elderly dependency ratio: 10.5 |
| Dependency ratios: | potential support ratio: 9.5 (2015 est.) |
| Median age: | total: 28.1 years |
| Median age: | male: 27.9 years |
| Median age: | female: 28.3 years (2017 est.) |
| Population growth rate: | 1.18% (2017 est.) |
| Birth rate: | 18.4 births/1,000 population (2017 est.) |
| Death rate: | 4.7 deaths/1,000 population (2017 est.) |
| Net migration rate: | -1.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | coastal development is significant, especially in the southern coastal plains and the Cibao Valley, where population density is highest; smaller population clusters exist in the interior mountains (Cordillera Central) |
| Urbanization: | urban population: 80.6% of total population (2017) |
| Urbanization: | rate of urbanization: 2% annual rate of change (2015-20 est.) |
| Major urban areas - population: | SANTO DOMINGO (capital) 2.945 million (2015) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 21.3 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013 est.) |
| Maternal mortality rate: | 92 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 17.5 deaths/1,000 live births |
| Infant mortality rate: | male: 19.3 deaths/1,000 live births |
| Infant mortality rate: | female: 15.5 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 78.3 years |
| Life expectancy at birth: | male: 76 years |
| Life expectancy at birth: | female: 80.6 years (2017 est.) |
| Total fertility rate: | 2.29 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 69.5% (2014) |
| Health expenditures: | 4.4% of GDP (2014) |
| Physicians density: | 1.49 physicians/1,000 population (2011) |
| Hospital bed density: | 1.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 85.4% of population |
| Drinking water source: | rural: 81.9% of population |
| Drinking water source: | total: 84.7% of population |
| unimproved: | urban: 14.6% of population |
| unimproved: | rural: 18.1% of population |
| unimproved: | total: 15.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 86.2% of population |
| Sanitation facility access: | rural: 75.7% of population |
| Sanitation facility access: | total: 84% of population |
| unimproved: | urban: 13.8% of population |
| unimproved: | rural: 24.3% of population |
| unimproved: | total: 16% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 67,000 (2016 est.) |
| HIV/AIDS - deaths: | 2,200 (2016 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 27.6% (2016) |
| Children under the age of 5 years underweight: | 4% (2013) |
| Education expenditures: | 2.1% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 91.8% |
| Literacy: | male: 91.2% |
| Literacy: | female: 92.3% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2014) |
| Unemployment, youth ages 15-24: | total: 10.8% |
| Unemployment, youth ages 15-24: | male: 7.7% |
| Unemployment, youth ages 15-24: | female: 15.8% (2015 est.) |
