| People and Society | Dominican Republic |
| --- | --- |
| Nationality: | noun: Dominican(s) |
| Nationality: | adjective: Dominican |
| Ethnic groups: | mixed 73%, white 16%, black 11% |
| Languages: | Spanish (official) |
| Religions: | Roman Catholic 95%, other 5% |
| Population: | 10,349,741 (July 2014 est.) |
| Age structure: | 0-14 years: 28% (male 1,474,170/female 1,423,573) |
| Age structure: | 15-24 years: 18.5% (male 974,688/female 937,103) |
| Age structure: | 25-54 years: 39.3% (male 2,078,915/female 1,984,585) |
| Age structure: | 55-64 years: 7.2% (male 376,175/female 371,152) |
| Age structure: | 65 years and over: 6.9% (male 336,712/female 392,668) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 57.1 % |
| population pyramid: | youth dependency ratio: 47 % |
| population pyramid: | elderly dependency ratio: 10.1 % |
| population pyramid: | potential support ratio: 9.9 (2014 est.) |
| Median age: | total: 27.1 years |
| Median age: | male: 26.9 years |
| Median age: | female: 27.3 years (2014 est.) |
| Population growth rate: | 1.25% (2014 est.) |
| Birth rate: | 18.97 births/1,000 population (2014 est.) |
| Death rate: | 4.5 deaths/1,000 population (2014 est.) |
| Net migration rate: | -1.93 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 69.7% of total population (2011) |
| Urbanization: | rate of urbanization: 2.03% annual rate of change (2010-15 est.) |
| Major urban areas - population: | SANTO DOMINGO (capital) 2.191 million (2011) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 20.3 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2007 est.) |
| Maternal mortality rate: | 150 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 19.63 deaths/1,000 live births |
| Infant mortality rate: | male: 21.56 deaths/1,000 live births |
| Infant mortality rate: | female: 17.62 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 77.8 years |
| Life expectancy at birth: | male: 75.6 years |
| Life expectancy at birth: | female: 80.08 years (2014 est.) |
| Total fertility rate: | 2.36 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 72.9% (2007) |
| Health expenditures: | 5.4% of GDP (2011) |
| Physicians density: | 1.88 physicians/1,000 population (2000) |
| Hospital bed density: | 1.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 82.5% of population |
| Drinking water source: | rural: 77.2% of population |
| Drinking water source: | total: 80.9% of population |
| unimproved: | urban: 17.5% of population |
| unimproved: | rural: 22.8% of population |
| unimproved: | total: 19.1% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 85.5% of population |
| Sanitation facility access: | rural: 73.8% of population |
| Sanitation facility access: | total: 82% of population |
| unimproved: | urban: 14.5% of population |
| unimproved: | rural: 26.2% of population |
| unimproved: | total: 18% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.7% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 45,000 (2012 est.) |
| HIV/AIDS - deaths: | 1,900 (2012 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever (2013) |
| Obesity - adult prevalence rate: | 21.2% (2008) |
| Children under the age of 5 years underweight: | 3.4% (2007) |
| Education expenditures: | 2.2% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 90.1% |
| Literacy: | male: 90% |
| Literacy: | female: 90.2% (2011 est.) |
| Child labor - children ages 5-14: | total number: 180,423 |
| Child labor - children ages 5-14: | percentage: 10 % (2000 est.) |
| Unemployment, youth ages 15-24: | total: 29.4% |
| Unemployment, youth ages 15-24: | male: 22.6% |
| Unemployment, youth ages 15-24: | female: 40.8% (2011) |
