| People and Society | JORDAN |
| --- | --- |
| Population: | 8,185,384 |
| Population: | note: increased estimate reflects revised assumptions about the net migration rate due to the increased flow of Syrian refugees (July 2016 est.) |
| Nationality: | noun: Jordanian(s) |
| Nationality: | adjective: Jordanian |
| Ethnic groups: | Arab 98%, Circassian 1%, Armenian 1% |
| Languages: | Arabic (official), English (widely understood among upper and middle classes) |
| Religions: | Muslim 97.2% (official; predominantly Sunni), Christian 2.2% (majority Greek Orthodox, but some Greek and Roman Catholics, Syrian Orthodox, Coptic Orthodox, Armenian Orthodox, and Protestant denominations), Buddhist 0.4%, Hindu 0.1%, Jewish <0.1, folk religionist <0.1, unaffiliated <0.1, other <0.1 (2010 est.) |
| Age structure: | 0-14 years: 35.04% (male 1,470,865/female 1,397,057) |
| Age structure: | 15-24 years: 20.12% (male 842,202/female 804,557) |
| Age structure: | 25-54 years: 36.44% (male 1,491,855/female 1,491,302) |
| Age structure: | 55-64 years: 4.46% (male 177,720/female 187,181) |
| Age structure: | 65 years and over: 3.94% (male 151,071/female 171,574) (2016 est.) |
| Dependency ratios: | total dependency ratio: 64.8% |
| Dependency ratios: | youth dependency ratio: 58.5% |
| Dependency ratios: | elderly dependency ratio: 6.2% |
| Dependency ratios: | potential support ratio: 16% (2015 est.) |
| Median age: | total: 22.3 years |
| Median age: | male: 21.9 years |
| Median age: | female: 22.7 years (2016 est.) |
| Population growth rate: | 0.83% (2016 est.) |
| Birth rate: | 25.5 births/1,000 population (2016 est.) |
| Death rate: | 3.8 deaths/1,000 population (2016 est.) |
| Net migration rate: | -13.4 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | population heavily concentrated in the west, and particularly the northwest, in and around the capital of Amman; a sizeable, but smaller population is located in the southwest along the shore of the Gulf of Aqaba |
| Urbanization: | urban population: 83.7% of total population (2015) |
| Urbanization: | rate of urbanization: 3.79% annual rate of change (2010-15 est.) |
| Major urban areas - population: | AMMAN (capital) 1.155 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 24.7 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2012 est.) |
| Maternal mortality rate: | 58 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 14.7 deaths/1,000 live births |
| Infant mortality rate: | male: 15.5 deaths/1,000 live births |
| Infant mortality rate: | female: 13.8 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 74.6 years |
| Life expectancy at birth: | male: 73.2 years |
| Life expectancy at birth: | female: 76.1 years (2016 est.) |
| Total fertility rate: | 3.18 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 61.2% (2012) |
| Health expenditures: | 7.5% of GDP (2014) |
| Physicians density: | 2.56 physicians/1,000 population (2010) |
| Hospital bed density: | 1.8 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.8% of population |
| Drinking water source: | rural: 92.3% of population |
| Drinking water source: | total: 96.9% of population |
| unimproved: | urban: 2.2% of population |
| unimproved: | rural: 7.7% of population |
| unimproved: | total: 3.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98.6% of population |
| Sanitation facility access: | rural: 98.9% of population |
| Sanitation facility access: | total: 98.6% of population |
| unimproved: | urban: 1.4% of population |
| unimproved: | rural: 1.1% of population |
| unimproved: | total: 1.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 28.1% (2014) |
| Children under the age of 5 years underweight: | 3% (2012) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.4% |
| Literacy: | male: 97.7% |
| Literacy: | female: 92.9% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2012) |
| Unemployment, youth ages 15-24: | total: 29.3% |
| Unemployment, youth ages 15-24: | male: 25.2% |
| Unemployment, youth ages 15-24: | female: 48.8% (2012 est.) |
