| People and Society | Jordan |
| --- | --- |
| Population: | 10,820,644 (July 2020 est.) |
| Population: | note: increased estimate reflects revised assumptions about the net migration rate due to the increased flow of Syrian refugees |
| Nationality: | noun: Jordanian(s) |
| Nationality: | adjective: Jordanian |
| Ethnic groups: | Jordanian 69.3%, Syrian 13.3%, Palestinian 6.7%, Egyptian 6.7%, Iraqi 1.4%, other 2.6% (includes Armenian, Circassian) (2015 est.) |
| Ethnic groups: | note: data represent population by self-identified nationality |
| Languages: | Arabic (official), English (widely understood among upper and middle classes) |
| Religions: | Muslim 97.2% (official; predominantly Sunni), Christian 2.2% (majority Greek Orthodox, but some Greek and Roman Catholics, Syrian Orthodox, Coptic Orthodox, Armenian Orthodox, and Protestant denominations), Buddhist 0.4%, Hindu 0.1%, Jewish <0.1, folk <0.1, unaffiliated <0.1, other <0.1 (2010 est.) |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Age structure: | 0-14 years: 33.05% (male 1,837,696/female 1,738,935) |
| Age structure: | 15-24 years: 19.77% (male 1,126,567/female 1,012,812) |
| Age structure: | 25-54 years: 38.39% (male 2,250,328/female 1,903,996) |
| Age structure: | 55-64 years: 5.11% (male 290,633/female 262,827) |
| Age structure: | 65 years and over: 3.67% (male 194,464/female 202,386) (2020 est.) |
| Dependency ratios: | total dependency ratio: 58.2 |
| Dependency ratios: | youth dependency ratio: 52 |
| Dependency ratios: | elderly dependency ratio: 6.3 |
| Dependency ratios: | potential support ratio: 16 (2020 est.) |
| Median age: | total: 23.5 years |
| Median age: | male: 23.9 years |
| Median age: | female: 22.9 years (2020 est.) |
| Population growth rate: | 1.4% (2020 est.) |
| Birth rate: | 23 births/1,000 population (2020 est.) |
| Death rate: | 3.4 deaths/1,000 population (2020 est.) |
| Net migration rate: | -11.3 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population heavily concentrated in the west, and particularly the northwest, in and around the capital of Amman; a sizeable, but smaller population is located in the southwest along the shore of the Gulf of Aqaba |
| Urbanization: | urban population: 91.4% of total population (2020) |
| Urbanization: | rate of urbanization: 2.43% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 2.148 million AMMAN (capital) (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.11 male(s)/female |
| Sex ratio: | 25-54 years: 1.18 male(s)/female |
| Sex ratio: | 55-64 years: 1.11 male(s)/female |
| Sex ratio: | 65 years and over: 0.96 male(s)/female |
| Sex ratio: | total population: 1.11 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 24.8 years (2017/18 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 30-34 |
| Maternal mortality rate: | 46 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 12.8 deaths/1,000 live births |
| Infant mortality rate: | male: 13.6 deaths/1,000 live births |
| Infant mortality rate: | female: 12 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 75.5 years |
| Life expectancy at birth: | male: 74 years |
| Life expectancy at birth: | female: 77.1 years (2020 est.) |
| Total fertility rate: | 3.04 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 51.8% (2017/18) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 97.7% of population |
| Drinking water source: | total: 98.9% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 2.2% of population |
| Drinking water source: | total: 1.1% of population (2017 est.) |
| Current Health Expenditure: | 8.1% (2017) |
| Physicians density: | 2.32 physicians/1,000 population (2017) |
| Hospital bed density: | 1.5 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 98.6% of population |
| Sanitation facility access: | rural: 96.6% of population |
| Sanitation facility access: | total: 98.5% of population |
| Sanitation facility access: | unimproved: urban: 1.4% of population |
| Sanitation facility access: | rural: 3.7% of population |
| Sanitation facility access: | total: 1.5% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <500 (2018 est.) |
| HIV/AIDS - deaths: | <100 (2018 est.) |
| Obesity - adult prevalence rate: | 35.5% (2016) |
| Children under the age of 5 years underweight: | 3% (2012) |
| Education expenditures: | 3.1% of GDP (2019) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.2% |
| Literacy: | male: 98.6% |
| Literacy: | female: 97.8% (2018) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2012) |
| Unemployment, youth ages 15-24: | total: 35.6% |
| Unemployment, youth ages 15-24: | male: 31.5% |
| Unemployment, youth ages 15-24: | female: 57% (2016 est.) |
