| People | Malaysia |
| --- | --- |
| Population: | 25,274,132 (July 2008 est.) |
| Age structure: | 0-14 years: 31.8% (male 4,135,013/female 3,898,761) |
| Age structure: | 15-64 years: 63.3% (male 8,026,755/female 7,965,332) |
| Age structure: | 65 years and over: 4.9% (male 548,970/female 699,302) (2008 est.) |
| Median age: | total: 24.6 years |
| Median age: | male: 24 years |
| Median age: | female: 25.3 years (2008 est.) |
| Population growth rate: | 1.742% (2008 est.) |
| Birth rate: | 22.44 births/1,000 population (2008 est.) |
| Death rate: | 5.02 deaths/1,000 population (2008 est.) |
| Net migration rate: | NA |
| Net migration rate: | note: does not reflect net flow of an unknown number of illegal immigrants from other countries in the region (2008 est.) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | under 15 years: 1.06 male(s)/female |
| Sex ratio: | 15-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 16.39 deaths/1,000 live births |
| Infant mortality rate: | male: 18.92 deaths/1,000 live births |
| Infant mortality rate: | female: 13.68 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 73.03 years |
| Life expectancy at birth: | male: 70.32 years |
| Life expectancy at birth: | female: 75.94 years (2008 est.) |
| Total fertility rate: | 2.98 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 52,000 (2003 est.) |
| HIV/AIDS - deaths: | 2,000 (2003 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2008) |
| Nationality: | noun: Malaysian(s) |
| Nationality: | adjective: Malaysian |
| Ethnic groups: | Malay 50.4%, Chinese 23.7%, indigenous 11%, Indian 7.1%, others 7.8% (2004 est.) |
| Religions: | Muslim 60.4%, Buddhist 19.2%, Christian 9.1%, Hindu 6.3%, Confucianism, Taoism, other traditional Chinese religions 2.6%, other or unknown 1.5%, none 0.8% (2000 census) |
| Languages: | Bahasa Malaysia (official), English, Chinese (Cantonese, Mandarin, Hokkien, Hakka, Hainan, Foochow), Tamil, Telugu, Malayalam, Panjabi, Thai |
| Languages: | note: in East Malaysia there are several indigenous languages; most widely spoken are Iban and Kadazan |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 88.7% |
| Literacy: | male: 92% |
| Literacy: | female: 85.4% (2000 census) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2005) |
| Education expenditures: | 6.2% of GDP (2004) |
