| People and Society | MALAYSIA |
| --- | --- |
| Population: | 30,949,962 (July 2016 est.) |
| Nationality: | noun: Malaysian(s) |
| Nationality: | adjective: Malaysian |
| Ethnic groups: | Malay 50.1%, Chinese 22.6%, indigenous 11.8%, Indian 6.7%, other 0.7%, non-citizens 8.2% (2010 est.) |
| Languages: | Bahasa Malaysia (official), English, Chinese (Cantonese, Mandarin, Hokkien, Hakka, Hainan, Foochow), Tamil, Telugu, Malayalam, Panjabi, Thai |
| Languages: | note: in East Malaysia there are several indigenous languages; most widely spoken are Iban and Kadazan |
| Religions: | Muslim (official) 61.3%, Buddhist 19.8%, Christian 9.2%, Hindu 6.3%, Confucianism, Taoism, other traditional Chinese religions 1.3%, other 0.4%, none 0.8%, unspecified 1% (2010 est.) |
| Age structure: | 0-14 years: 28.16% (male 4,484,188/female 4,231,557) |
| Age structure: | 15-24 years: 16.86% (male 2,647,105/female 2,571,883) |
| Age structure: | 25-54 years: 41.06% (male 6,430,455/female 6,276,427) |
| Age structure: | 55-64 years: 8.06% (male 1,266,415/female 1,227,690) |
| Age structure: | 65 years and over: 5.86% (male 861,151/female 953,091) (2016 est.) |
| Dependency ratios: | total dependency ratio: 43.6% |
| Dependency ratios: | youth dependency ratio: 35.2% |
| Dependency ratios: | elderly dependency ratio: 8.4% |
| Dependency ratios: | potential support ratio: 11.9% (2015 est.) |
| Median age: | total: 28.2 years |
| Median age: | male: 28 years |
| Median age: | female: 28.5 years (2016 est.) |
| Population growth rate: | 1.4% (2016 est.) |
| Birth rate: | 19.4 births/1,000 population (2016 est.) |
| Death rate: | 5.1 deaths/1,000 population (2016 est.) |
| Net migration rate: | -0.3 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 74.7% of total population (2015) |
| Urbanization: | rate of urbanization: 2.66% annual rate of change (2010-15 est.) |
| Major urban areas - population: | KUALA LUMPUR (capital) 6.837 million; Johor Bahru 912,000 (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2016 est.) |
| Maternal mortality rate: | 40 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 12.9 deaths/1,000 live births |
| Infant mortality rate: | male: 14.9 deaths/1,000 live births |
| Infant mortality rate: | female: 10.8 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 75 years |
| Life expectancy at birth: | male: 72.2 years |
| Life expectancy at birth: | female: 78 years (2016 est.) |
| Total fertility rate: | 2.53 children born/woman (2016 est.) |
| Health expenditures: | 4.2% of GDP (2014) |
| Physicians density: | 1.2 physicians/1,000 population (2010) |
| Hospital bed density: | 1.9 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 93% of population |
| Drinking water source: | total: 98.2% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 7% of population |
| unimproved: | total: 1.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.1% of population |
| Sanitation facility access: | rural: 95.9% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | urban: 3.9% of population |
| unimproved: | rural: 4.1% of population |
| unimproved: | total: 4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 91,600 (2015 est.) |
| HIV/AIDS - deaths: | 7,200 (2015 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever |
| Major infectious diseases: | water contact disease: leptospirosis (2016) |
| Obesity - adult prevalence rate: | 12.9% (2014) |
| Children under the age of 5 years underweight: | 12.9% (2006) |
| Education expenditures: | 6.1% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.6% |
| Literacy: | male: 96.2% |
| Literacy: | female: 93.2% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: NA |
| School life expectancy (primary to tertiary education): | female: NA (2014) |
| Unemployment, youth ages 15-24: | total: 10.2% |
| Unemployment, youth ages 15-24: | male: 9.3% |
| Unemployment, youth ages 15-24: | female: 11.6% (2014 est.) |
