| People and Society | Malaysia |
| --- | --- |
| Nationality: | noun: Malaysian(s) |
| Nationality: | adjective: Malaysian |
| Ethnic groups: | Malay 50.1%, Chinese 22.6%, indigenous 11.8%, Indian 6.7%, other 0.7%, non-citizens 8.2% (2010 est.) |
| Languages: | Bahasa Malaysia (official), English, Chinese (Cantonese, Mandarin, Hokkien, Hakka, Hainan, Foochow), Tamil, Telugu, Malayalam, Panjabi, Thai |
| Languages: | note: in East Malaysia there are several indigenous languages; most widely spoken are Iban and Kadazan |
| Religions: | Muslim (official) 61.3%, Buddhist 19.8%, Christian 9.2%, Hindu 6.3%, Confucianism, Taoism, other traditional Chinese religions 1.3%, other 0.4%, none 0.8%, unspecified 1% (2010 est.) |
| Population: | 30,073,353 (July 2014 est.) |
| Age structure: | 0-14 years: 28.8% (male 4,456,033/female 4,206,727) |
| Age structure: | 15-24 years: 16.9% (male 2,580,486/female 2,511,579) |
| Age structure: | 25-54 years: 41.2% (male 6,277,694/female 6,114,312) |
| Age structure: | 55-64 years: 7.6% (male 1,163,861/female 1,122,746) |
| Age structure: | 65 years and over: 5.3% (male 777,338/female 862,577) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 45.5 % |
| population pyramid: | youth dependency ratio: 37.4 % |
| population pyramid: | elderly dependency ratio: 8.1 % |
| population pyramid: | potential support ratio: 12.4 (2014 est.) |
| Median age: | total: 27.7 years |
| Median age: | male: 27.4 years |
| Median age: | female: 27.9 years (2014 est.) |
| Population growth rate: | 1.47% (2014 est.) |
| Birth rate: | 20.06 births/1,000 population (2014 est.) |
| Death rate: | 5 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.34 migrant(s)/1,000 population |
| Net migration rate: | note: does not reflect net flow of an unknown number of illegal immigrants from other countries in the region (2014 est.) |
| Urbanization: | urban population: 72.8% of total population (2011) |
| Urbanization: | rate of urbanization: 2.49% annual rate of change (2010-15 est.) |
| Major urban areas - population: | KUALA LUMPUR (capital) 1.556 million; Klang 1.19 million; Johor Bahru 1.045 million (2011) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2014 est.) |
| Maternal mortality rate: | 29 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 13.69 deaths/1,000 live births |
| Infant mortality rate: | male: 15.82 deaths/1,000 live births |
| Infant mortality rate: | female: 11.42 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 74.52 years |
| Life expectancy at birth: | male: 71.74 years |
| Life expectancy at birth: | female: 77.48 years (2014 est.) |
| Total fertility rate: | 2.58 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 49% (2004) |
| Health expenditures: | 3.6% of GDP (2011) |
| Physicians density: | 1.2 physicians/1,000 population (2010) |
| Hospital bed density: | 1.8 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 98.5% of population |
| Drinking water source: | total: 99.6% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 1.5% of population |
| unimproved: | total: 0.4% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.1% of population |
| Sanitation facility access: | rural: 94.6% of population |
| Sanitation facility access: | total: 95.7% of population |
| unimproved: | urban: 3.9% of population |
| unimproved: | rural: 5.4% of population |
| unimproved: | total: 4.3% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 82,000 (2012 est.) |
| HIV/AIDS - deaths: | 5,200 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 14% (2008) |
| Children under the age of 5 years underweight: | 12.9% (2006) |
| Education expenditures: | 5.9% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.1% |
| Literacy: | male: 95.4% |
| Literacy: | female: 90.7% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2005) |
| Unemployment, youth ages 15-24: | total: 10.3% |
| Unemployment, youth ages 15-24: | male: 9.8% |
| Unemployment, youth ages 15-24: | female: 11% (2012) |
