| People and Society | Mongolia |
| --- | --- |
| Nationality: | noun: Mongolian(s) |
| Nationality: | adjective: Mongolian |
| Ethnic groups: | Mongol (mostly Khalkha) 94.9%, Turkic (mostly Kazakh) 5%, other (including Chinese and Russian) 0.1% (2000) |
| Languages: | Khalkha Mongol 90% (official), Turkic, Russian (1999) |
| Religions: | Buddhist Lamaist 50%, Shamanist and Christian 6%, Muslim 4%, none 40% (2004) |
| Population: | 3,226,516 (July 2013 est.) |
| Age structure: | 0-14 years: 26.9% (male 442,850/female 425,017) |
| Age structure: | 15-24 years: 19% (male 311,460/female 302,286) |
| Age structure: | 25-54 years: 44.5% (male 716,893/female 719,508) |
| Age structure: | 55-64 years: 5.5% (male 85,545/female 93,234) |
| Age structure: | 65 years and over: 4% (male 56,241/female 73,482) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 45.1 % |
| population pyramid: | youth dependency ratio: 39.6 % |
| population pyramid: | elderly dependency ratio: 5.5 % |
| population pyramid: | potential support ratio: 18.1 (2013) |
| Median age: | total: 26.9 years |
| Median age: | male: 26.5 years |
| Median age: | female: 27.3 years (2013 est.) |
| Population growth rate: | 1.44% (2013 est.) |
| Birth rate: | 20.34 births/1,000 population (2013 est.) |
| Death rate: | 5.98 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 68.5% of total population (2011) |
| Urbanization: | rate of urbanization: 2.81% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ULAANBAATAR (capital) 949,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2013 est.) |
| Maternal mortality rate: | 63 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 34.78 deaths/1,000 live births |
| Infant mortality rate: | male: 37.66 deaths/1,000 live births |
| Infant mortality rate: | female: 31.76 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 68.95 years |
| Life expectancy at birth: | male: 66.46 years |
| Life expectancy at birth: | female: 71.56 years (2013 est.) |
| Total fertility rate: | 2.18 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 55% (2010) |
| Health expenditures: | 5.3% of GDP (2011) |
| Physicians density: | 2.76 physicians/1,000 population (2008) |
| Hospital bed density: | 6.8 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 53% of population |
| Drinking water source: | total: 82% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 47% of population |
| unimproved: | total: 18% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 64% of population |
| Sanitation facility access: | rural: 29% of population |
| Sanitation facility access: | total: 51% of population |
| unimproved: | urban: 36% of population |
| unimproved: | rural: 71% of population |
| unimproved: | total: 49% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 500 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 14.4% (2008) |
| Children under the age of 5 years underweight: | 5.3% (2005) |
| Education expenditures: | 5.5% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.4% |
| Literacy: | male: 96.8% |
| Literacy: | female: 97.9% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2011) |
| Child labor - children ages 5-14: | total number: 106,203 |
| Child labor - children ages 5-14: | percentage: 18 % (2005 est.) |
| Unemployment, youth ages 15-24: | total: 20% |
| Unemployment, youth ages 15-24: | male: 19.5% |
| Unemployment, youth ages 15-24: | female: 20.7% (2003) |
