| People and Society | Mongolia |
| --- | --- |
| Population: | 3,168,026 (July 2020 est.) |
| Population: | note: Mongolia is one of the least densely populated countries in the world (2 people per sq km); twice as many ethnic Mongols (some 6 million) live in Inner Mongolia (Nei Mongol) in neighboring China |
| Nationality: | noun: Mongolian(s) |
| Nationality: | adjective: Mongolian |
| Ethnic groups: | Khalkh 84.5%, Kazak 3.9%, Dorvod 2.4%, Bayad 1.7%, Buryat-Bouriates 1.3%, Zakhchin 1%, other 5.2% (2015 est.) |
| Languages: | Mongolian 90% (official) (Khalkha dialect is predominant), Turkic, Russian (1999) |
| Religions: | Buddhist 53%, Muslim 3%, Shamanist 2.9%, Christian 2.2%, other 0.4%, none 38.6% (2010 est.) |
| Age structure: | 0-14 years: 26.96% (male 435,596/female 418,524) |
| Age structure: | 15-24 years: 14.93% (male 239,495/female 233,459) |
| Age structure: | 25-54 years: 45.29% (male 694,481/female 740,334) |
| Age structure: | 55-64 years: 8.04% (male 115,560/female 139,129) |
| Age structure: | 65 years and over: 4.78% (male 60,966/female 90,482) (2020 est.) |
| Dependency ratios: | total dependency ratio: 54.8 |
| Dependency ratios: | youth dependency ratio: 48.1 |
| Dependency ratios: | elderly dependency ratio: 6.7 |
| Dependency ratios: | potential support ratio: 15 (2020 est.) |
| Median age: | total: 29.8 years |
| Median age: | male: 28.8 years |
| Median age: | female: 30.7 years (2020 est.) |
| Population growth rate: | 0.99% (2020 est.) |
| Birth rate: | 16.6 births/1,000 population (2020 est.) |
| Death rate: | 6.3 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.8 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | sparsely distributed population throughout the country; the capital of Ulaanbaatar and the northern city of Darhan support the highest population densities |
| Urbanization: | urban population: 68.7% of total population (2020) |
| Urbanization: | rate of urbanization: 1.63% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1.584 million ULAANBAATAR (capital) (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.94 male(s)/female |
| Sex ratio: | 55-64 years: 0.83 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 20.5 years (2008 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 20-24 |
| Maternal mortality rate: | 45 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 19.2 deaths/1,000 live births |
| Infant mortality rate: | male: 22.2 deaths/1,000 live births |
| Infant mortality rate: | female: 16.2 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 70.8 years |
| Life expectancy at birth: | male: 66.6 years |
| Life expectancy at birth: | female: 75.2 years (2020 est.) |
| Total fertility rate: | 1.95 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 48.1% (2018) |
| Drinking water source: | improved: urban: 97.6% of population |
| Drinking water source: | rural: 59.2% of population |
| Drinking water source: | total: 85.4% of population |
| Drinking water source: | unimproved: urban: 2.4% of population |
| Drinking water source: | rural: 40.8% of population |
| Drinking water source: | total: 14.6% of population (2017 est.) |
| Current Health Expenditure: | 4% (2017) |
| Physicians density: | 2.86 physicians/1,000 population (2016) |
| Hospital bed density: | 8 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 96.4% of population |
| Sanitation facility access: | rural: 65.1% of population |
| Sanitation facility access: | total: 86.5% of population |
| Sanitation facility access: | unimproved: urban: 3.6% of population |
| Sanitation facility access: | rural: 34.9% of population |
| Sanitation facility access: | total: 13.5% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <1000 (2019 est.) |
| HIV/AIDS - deaths: | <100 (2019 est.) |
| Obesity - adult prevalence rate: | 20.6% (2016) |
| Children under the age of 5 years underweight: | 1.9% (2018) |
| Education expenditures: | 4.1% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.4% |
| Literacy: | male: 98.2% |
| Literacy: | female: 98.6% (2018) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2015) |
| Unemployment, youth ages 15-24: | total: 16.8% |
| Unemployment, youth ages 15-24: | male: 15.8% |
| Unemployment, youth ages 15-24: | female: 18.4% (2018 est.) |
