| People and Society | Kazakhstan |
| --- | --- |
| Nationality: | noun: Kazakhstani(s) |
| Nationality: | adjective: Kazakhstani |
| Ethnic groups: | Kazakh (Qazaq) 63.1%, Russian 23.7%, Uzbek 2.8%, Ukrainian 2.1%, Uighur 1.4%, Tatar 1.3%, German 1.1%, other 4.5% (2009 census) |
| Languages: | Kazakh (Qazaq, state language) 64.4%, Russian (official, used in everyday business, designated the "language of interethnic communication") 95% (2001 est.) |
| Religions: | Muslim 47%, Russian Orthodox 44%, Protestant 2%, other 7% |
| Population: | 15,522,373 (July 2011 est.) |
| Age structure: | 0-14 years: 21.6% (male 1,709,929/female 1,637,132) |
| Age structure: | 15-64 years: 71% (male 5,373,755/female 5,654,461) |
| Age structure: | 65 years and over: 7.4% (male 392,689/female 754,407) (2011 est.) |
| Median age: | total: 30.2 years |
| Median age: | male: 28.7 years |
| Median age: | female: 31.9 years (2011 est.) |
| Population growth rate: | 0.4% (2011 est.) |
| Birth rate: | 16.65 births/1,000 population (2011 est.) |
| Death rate: | 9.38 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -3.27 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 59% of total population (2010) |
| Urbanization: | rate of urbanization: 1.3% annual rate of change (2010-15 est.) |
| Major cities - population: | Almaty 1.383 million; ASTANA (capital) 650,000 (2009) |
| Sex ratio: | at birth: 1.058 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.53 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2011 est.) |
| Maternal mortality rate: | 45 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 24.15 deaths/1,000 live births |
| Infant mortality rate: | male: 28.44 deaths/1,000 live births |
| Infant mortality rate: | female: 19.62 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 68.51 years |
| Life expectancy at birth: | male: 63.24 years |
| Life expectancy at birth: | female: 74.08 years (2011 est.) |
| Total fertility rate: | 1.87 children born/woman (2011 est.) |
| Health expenditures: | 4.3% of GDP (2009) |
| Physicians density: | 3.877 physicians/1,000 population (2007) |
| Hospital bed density: | 7.6 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 90% of population |
| Drinking water source: | total: 95% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 10% of population |
| unimproved: | total: 5% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97% of population |
| Sanitation facility access: | rural: 98% of population |
| Sanitation facility access: | total: 97% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 2% of population |
| unimproved: | total: 3% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 13,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Children under the age of 5 years underweight: | 4.9% (2006) |
| Education expenditures: | 2.8% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.5% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.3% (1999 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2010) |
| Unemployment, youth ages 15-24: | total: 6.7% |
| Unemployment, youth ages 15-24: | male: 6.8% |
| Unemployment, youth ages 15-24: | female: 8.2% (2008) |
