| People | Congo, Democratic Republic of the |
| --- | --- |
| Population: | 70,916,439 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2010 est.) |
| Age structure: | 0-14 years: 46.9% (male 16,161,301/female 16,038,024) |
| Age structure: | 15-64 years: 50.6% (male 17,289,453/female 17,483,027) |
| Age structure: | 65 years and over: 2.5% (male 699,667/female 1,021,070) (2010 est.) |
| Median age: | total: 16.5 years |
| Median age: | male: 16.3 years |
| Median age: | female: 16.7 years (2010 est.) |
| Population growth rate: | 3.165% (2010 est.) |
| Birth rate: | 42.26 births/1,000 population (2010 est.) |
| Death rate: | 11.39 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | 0.77 migrant(s)/1,000 population (2010 est.) |
| Urbanization: | urban population: 34% of total population (2008) |
| Urbanization: | rate of urbanization: 5.1% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 79.36 deaths/1,000 live births |
| Infant mortality rate: | male: 87.13 deaths/1,000 live births |
| Infant mortality rate: | female: 71.36 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 54.73 years |
| Life expectancy at birth: | male: 52.93 years |
| Life expectancy at birth: | female: 56.59 years (2010 est.) |
| Total fertility rate: | 6.11 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 4.2% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.1 million (2003 est.) |
| HIV/AIDS - deaths: | 100,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, plague, and African trypanosomiasis (sleeping sickness) |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Nationality: | noun: Congolese (singular and plural) |
| Nationality: | adjective: Congolese or Congo |
| Ethnic groups: | over 200 African ethnic groups of which the majority are Bantu; the four largest tribes - Mongo, Luba, Kongo (all Bantu), and the Mangbetu-Azande (Hamitic) make up about 45% of the population |
| Religions: | Roman Catholic 50%, Protestant 20%, Kimbanguist 10%, Muslim 10%, other (includes syncretic sects and indigenous beliefs) 10% |
| Languages: | French (official), Lingala (a lingua franca trade language), Kingwana (a dialect of Kiswahili or Swahili), Kikongo, Tshiluba |
| Literacy: | definition: age 15 and over can read and write French, Lingala, Kingwana, or Tshiluba |
| Literacy: | total population: 67.2% |
| Literacy: | male: 80.9% |
| Literacy: | female: 54.1% (2001 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 6 years (2008) |
| Education expenditures: | NA |
