| People and Society | CONGO, DEMOCRATIC REPUBLIC OF THE |
| --- | --- |
| Nationality: | noun: Congolese (singular and plural) |
| Nationality: | adjective: Congolese or Congo |
| Ethnic groups: | over 200 African ethnic groups of which the majority are Bantu; the four largest tribes - Mongo, Luba, Kongo (all Bantu), and the Mangbetu-Azande (Hamitic) make up about 45% of the population |
| Languages: | French (official), Lingala (a lingua franca trade language), Kingwana (a dialect of Kiswahili or Swahili), Kikongo, Tshiluba |
| Religions: | Roman Catholic 50%, Protestant 20%, Kimbanguist 10%, Muslim 10%, other (includes syncretic sects and indigenous beliefs) 10% |
| Population: | 79,375,136 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 42.65% (male 17,061,640/female 16,793,575) |
| Age structure: | 15-24 years: 21.41% (male 8,522,085/female 8,474,212) |
| Age structure: | 25-54 years: 29.75% (male 11,783,887/female 11,829,078) |
| Age structure: | 55-64 years: 3.56% (male 1,329,384/female 1,495,329) |
| Age structure: | 65 years and over: 2.63% (male 879,823/female 1,206,123) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 95.9% |
| population pyramid: | youth dependency ratio: 90.1% |
| population pyramid: | elderly dependency ratio: 5.8% |
| population pyramid: | potential support ratio: 17.2% (2015 est.) |
| Median age: | total: 18.1 years |
| Median age: | male: 17.9 years |
| Median age: | female: 18.4 years (2015 est.) |
| Population growth rate: | 2.45% (2015 est.) |
| Birth rate: | 34.88 births/1,000 population (2015 est.) |
| Death rate: | 10.07 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.27 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 42.5% of total population (2015) |
| Urbanization: | rate of urbanization: 3.96% annual rate of change (2010-15 est.) |
| Major urban areas - population: | KINSHASA (capital) 11.587 million; Lubumbashi 2.015 million; Mbuji-Mayi 20.007 million; Kananga 1.169 million; Kisangani 1.04 million; Bukavu 832,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2015 est.) |
| Maternal mortality rate: | 693 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 71.47 deaths/1,000 live births |
| Infant mortality rate: | male: 75.07 deaths/1,000 live births |
| Infant mortality rate: | female: 67.75 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 56.93 years |
| Life expectancy at birth: | male: 55.39 years |
| Life expectancy at birth: | female: 58.51 years (2015 est.) |
| Total fertility rate: | 4.66 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 17.7% (2010) |
| Health expenditures: | 3.5% of GDP (2013) |
| Hospital bed density: | 0.8 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 81.1% of population |
| Drinking water source: | rural: 31.2% of population |
| Drinking water source: | total: 52.4% of population |
| unimproved: | urban: 18.9% of population |
| unimproved: | rural: 68.8% of population |
| unimproved: | total: 47.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 28.5% of population |
| Sanitation facility access: | rural: 28.7% of population |
| Sanitation facility access: | total: 28.7% of population |
| unimproved: | urban: 71.5% of population |
| unimproved: | rural: 71.3% of population |
| unimproved: | total: 71.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.04% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 446,600 (2014 est.) |
| HIV/AIDS - deaths: | 24,100 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and trypanosomiasis-gambiense (African sleeping sickness) |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 3.7% (2014) |
| Children under the age of 5 years underweight: | 23.4% (2014) |
| Education expenditures: | 1.6% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write French, Lingala, Kingwana, or Tshiluba |
| Literacy: | total population: 63.8% |
| Literacy: | male: 78.1% |
| Literacy: | female: 50% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2012) |
| Child labor - children ages 5-14: | total number: 8,284,395 |
| Child labor - children ages 5-14: | percentage: 42% (2010 est.) |
