| People | Congo, Democratic Republic of the |
| --- | --- |
| Population: | 65,751,512 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2007 est.) |
| Age structure: | 0-14 years: 47.6% (male 15,718,614/female 15,557,058) |
| Age structure: | 15-64 years: 49.9% (male 16,224,734/female 16,571,549) |
| Age structure: | 65 years and over: 2.6% (male 680,313/female 999,244) (2007 est.) |
| Median age: | total: 16.1 years |
| Median age: | male: 15.8 years |
| Median age: | female: 16.4 years (2007 est.) |
| Population growth rate: | 3.39% (2007 est.) |
| Birth rate: | 42.96 births/1,000 population (2007 est.) |
| Death rate: | 10.34 deaths/1,000 population (2007 est.) |
| Net migration rate: | 1.28 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.979 male(s)/female |
| Sex ratio: | 65 years and over: 0.681 male(s)/female |
| Sex ratio: | total population: 0.985 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 65.52 deaths/1,000 live births |
| Infant mortality rate: | male: 71.55 deaths/1,000 live births |
| Infant mortality rate: | female: 59.32 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 57.2 years |
| Life expectancy at birth: | male: 54.97 years |
| Life expectancy at birth: | female: 59.5 years (2007 est.) |
| Total fertility rate: | 6.37 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 4.2% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.1 million (2003 est.) |
| HIV/AIDS - deaths: | 100,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, plague, and African trypanosomiasis (sleeping sickness) are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis (2007) |
| Nationality: | noun: Congolese (singular and plural) |
| Nationality: | adjective: Congolese or Congo |
| Ethnic groups: | over 200 African ethnic groups of which the majority are Bantu; the four largest tribes - Mongo, Luba, Kongo (all Bantu), and the Mangbetu-Azande (Hamitic) make up about 45% of the population |
| Religions: | Roman Catholic 50%, Protestant 20%, Kimbanguist 10%, Muslim 10%, other (includes syncretic sects and indigenous beliefs) 10% |
| Languages: | French (official), Lingala (a lingua franca trade language), Kingwana (a dialect of Kiswahili or Swahili), Kikongo, Tshiluba |
| Literacy: | definition: age 15 and over can read and write French, Lingala, Kingwana, or Tshiluba |
| Literacy: | total population: 65.5% |
| Literacy: | male: 76.2% |
| Literacy: | female: 55.1% (2003 est.) |
