| People and Society | Congo, Democratic Republic of the |
| --- | --- |
| Population: | 101,780,263 (July 2020 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Congolese (singular and plural) |
| Nationality: | adjective: Congolese or Congo |
| Ethnic groups: | more than 200 African ethnic groups of which the majority are Bantu; the four largest tribes - Mongo, Luba, Kongo (all Bantu), and the Mangbetu-Azande (Hamitic) - make up about 45% of the population |
| Languages: | French (official), Lingala (a lingua franca trade language), Kingwana (a dialect of Kiswahili or Swahili), Kikongo, Tshiluba |
| Religions: | Roman Catholic 29.9%, Protestant 26.7%, Kimbanguist 2.8%, other Christian 36.5%, Muslim 1.3%, other (includes syncretic sects and indigenous beliefs) 1.2%, none 1.3%, unspecified .2% (2014 est.) |
| Demographic profile: | Despite a wealth of fertile soil, hydroelectric power potential, and mineral resources, the Democratic Republic of the Congo (DRC) struggles with many socioeconomic problems, including high infant and maternal mortality rates, malnutrition, poor vaccination coverage, lack of access to improved water sources and sanitation, and frequent and early fertility. Ongoing conflict, mismanagement of resources, and a lack of investment have resulted in food insecurity; almost 30 percent of children under the age of 5 are malnourished. The overall coverage of basic public services â€“ education, health, sanitation, and potable water â€“ is very limited and piecemeal, with substantial regional and rural/urban disparities. Fertility remains high at almost 5 children per woman and is likely to remain high because of the low use of contraception and the cultural preference for larger families. |
| Demographic profile: | The DRC is a source and host country for refugees. Between 2012 and 2014, more than 119,000 Congolese refugees returned from the Republic of Congo to the relative stability of northwest DRC, but more than 540,000 Congolese refugees remained abroad as of year-end 2015. In addition, an estimated 3.9 million Congolese were internally displaced as of October 2017, the vast majority fleeing violence between rebel group and Congolese armed forces. Thousands of refugees have come to the DRC from neighboring countries, including Rwanda, the Central African Republic, and Burundi. |
| Age structure: | 0-14 years: 46.38% (male 23,757,297/female 23,449,057) |
| Age structure: | 15-24 years: 19.42% (male 9,908,686/female 9,856,841) |
| Age structure: | 25-54 years: 28.38% (male 14,459,453/female 14,422,912) |
| Age structure: | 55-64 years: 3.36% (male 1,647,267/female 1,769,429) |
| Age structure: | 65 years and over: 2.47% (male 1,085,539/female 1,423,782) (2020 est.) |
| Dependency ratios: | total dependency ratio: 95.4 |
| Dependency ratios: | youth dependency ratio: 89.5 |
| Dependency ratios: | elderly dependency ratio: 5.9 |
| Dependency ratios: | potential support ratio: 17 (2020 est.) |
| Median age: | total: 16.7 years |
| Median age: | male: 16.5 years |
| Median age: | female: 16.8 years (2020 est.) |
| Population growth rate: | 3.18% (2020 est.) |
| Birth rate: | 41 births/1,000 population (2020 est.) |
| Death rate: | 8.4 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.9 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | urban clusters are spread throughout the country, particularly in the northeast along the boarder with Uganda, Rwanda, and Burundi; the largest city is the capital, Kinshasha, located in the west along the Congo River; the south is least densely populated as shown in this population distribution map |
| Urbanization: | urban population: 45.6% of total population (2020) |
| Urbanization: | rate of urbanization: 4.53% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 14.342 million KINSHASA (capital), 2.525 million Mbuji-Mayi, 2.478 million Lubumbashi, 1.458 million Kananga, 1.261 million Kisangani, 1.078 millionÂ Bukavu (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 19.9 years (2013/14 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 473 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 64.5 deaths/1,000 live births |
| Infant mortality rate: | male: 70.3 deaths/1,000 live births |
| Infant mortality rate: | female: 58.4 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 61 years |
| Life expectancy at birth: | male: 59.3 years |
| Life expectancy at birth: | female: 62.8 years (2020 est.) |
| Total fertility rate: | 5.77 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 20.4% (2013/14) |
| Drinking water source: | improved: urban: 84.3% of population |
| Drinking water source: | rural: 32.4% of population |
| Drinking water source: | total: 55.2% of population |
| Drinking water source: | unimproved: urban: 15.7% of population |
| Drinking water source: | rural: 67.6% of population |
| Drinking water source: | total: 44.8% of population (2017 est.) |
| Current Health Expenditure: | 4% (2017) |
| Physicians density: | 0.07 physicians/1,000 population (201) |
| Sanitation facility access: | improved: urban: 54.7% of population |
