| People and Society | SPAIN |
| --- | --- |
| Population: | 48,563,476 (July 2016 est.) |
| Nationality: | noun: Spaniard(s) |
| Nationality: | adjective: Spanish |
| Ethnic groups: | composite of Mediterranean and Nordic types |
| Languages: | Castilian Spanish (official nationwide) 74%, Catalan (official in Catalonia, the Balearic Islands, and the Valencian Community (where it is known as Valencian)) 17%, Galician (official in Galicia) 7%, Basque (official in the Basque Country and in the Basque-speaking area of Navarre) 2%, Aranese (official in the northwest corner of Catalonia (Vall d'Aran) along with Catalan; <5,000 speakers) |
| Languages: | note: Aragonese, Aranese Asturian, Basque, Calo, Catalan, Galician, and Valencian are recognized as regional languages under the European Charter for Regional or Minority Languages |
| Religions: | Roman Catholic 94%, other 6% |
| Age structure: | 0-14 years: 15.43% (male 3,854,687/female 3,638,288) |
| Age structure: | 15-24 years: 9.56% (male 2,400,188/female 2,243,311) |
| Age structure: | 25-54 years: 45.24% (male 11,200,786/female 10,771,652) |
| Age structure: | 55-64 years: 11.91% (male 2,820,933/female 2,963,050) |
| Age structure: | 65 years and over: 17.85% (male 3,700,832/female 4,969,749) (2016 est.) |
| Dependency ratios: | total dependency ratio: 50.8% |
| Dependency ratios: | youth dependency ratio: 22.4% |
| Dependency ratios: | elderly dependency ratio: 28.3% |
| Dependency ratios: | potential support ratio: 3.5% (2015 est.) |
| Median age: | total: 42.3 years |
| Median age: | male: 41.2 years |
| Median age: | female: 43.6 years (2016 est.) |
| Population growth rate: | 0.84% (2016 est.) |
| Birth rate: | 9.4 births/1,000 population (2016 est.) |
| Death rate: | 9.1 deaths/1,000 population (2016 est.) |
| Net migration rate: | 8 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | with the notable exception of Madrid, Sevilla, and Zaragoza, the largest urban agglomerations are found along the Mediterranean and Atlantic coasts; numerous smaller cities are spread throughout the interior reflecting Spain's agrarian heritage; dense settlement is found around the capital of Madrid, as well as the port city of Barcelona |
| Urbanization: | urban population: 79.6% of total population (2015) |
| Urbanization: | rate of urbanization: 0.52% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MADRID (capital) 6.199 million; Barcelona 5.258 million; Valencia 810,000 (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 29.8 (2010 est.) |
| Maternal mortality rate: | 5 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.3 deaths/1,000 live births |
| Infant mortality rate: | male: 3.6 deaths/1,000 live births |
| Infant mortality rate: | female: 2.9 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 81.7 years |
| Life expectancy at birth: | male: 78.7 years |
| Life expectancy at birth: | female: 84.9 years (2016 est.) |
| Total fertility rate: | 1.49 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 65.7% (2006) |
| Health expenditures: | 9% of GDP (2014) |
| Physicians density: | 4.95 physicians/1,000 population (2013) |
| Hospital bed density: | 3.1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.8% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 99.9% of population |
| unimproved: | urban: 0.2% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.39% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 148,900 (2015 est.) |
| HIV/AIDS - deaths: | 1,200 (2015 est.) |
| Obesity - adult prevalence rate: | 26.5% (2014) |
| Education expenditures: | 4.3% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.1% |
| Literacy: | male: 98.7% |
| Literacy: | female: 97.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 18 years |
| School life expectancy (primary to tertiary education): | male: 17 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2014) |
| Unemployment, youth ages 15-24: | total: 53.2% |
| Unemployment, youth ages 15-24: | male: 53.4% |
| Unemployment, youth ages 15-24: | female: 52.9% (2014 est.) |
