| People and Society | WEST BANK |
| --- | --- |
| Population: | 2,697,687 (represents Palestinian population only) (July 2016 est.) |
| Population: | note: approximately 371,000 Israeli settlers live in the West Bank; approximately 211,640 Israeli settlers live in East Jerusalem (2014) |
| Nationality: | noun: NA |
| Nationality: | adjective: NA |
| Ethnic groups: | Palestinian Arab and other 83%, Jewish 17% |
| Languages: | Arabic, Hebrew (spoken by Israeli settlers and many Palestinians), English (widely understood) |
| Religions: | Muslim 80-85% (predominantly Sunni), Jewish 12-14%, Christian 1-2.5% (mainly Greek Orthodox), other, unaffiliated, unspecified <1% |
| Religions: | note: the proportion of Christians continues to fall mainly as a result of the growth of the Muslim population but also because of migration and the declining birth rate of the Christian population (2012 est.) |
| Age structure: | 0-14 years: 36.91% (male 511,026/female 484,808) |
| Age structure: | 15-24 years: 21.56% (male 297,058/female 284,677) |
| Age structure: | 25-54 years: 33.71% (male 462,201/female 447,200) |
| Age structure: | 55-64 years: 4.35% (male 60,360/female 56,936) |
| Age structure: | 65 years and over: 3.46% (male 41,587/female 51,834) (2016 est.) |
| Dependency ratios: | total dependency ratio: 76% |
| Dependency ratios: | youth dependency ratio: 70.8% |
| Dependency ratios: | elderly dependency ratio: 5.2% |
| Dependency ratios: | potential support ratio: 19.2% |
| Dependency ratios: | note: data represent Gaza Strip and the West Bank (2015 est.) |
| Median age: | total: 20.8 years |
| Median age: | male: 20.7 years |
| Median age: | female: 21 years (2016 est.) |
| Population growth rate: | 1.86% (2016 est.) |
| Birth rate: | 26.7 births/1,000 population (2016 est.) |
| Death rate: | 3.5 deaths/1,000 population (2016 est.) |
| Net migration rate: | -4.6 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | Palestinian settlements are primarily located in the central to western half of the territory; Jewish colonies are found in pockets throughout, particularly in the northeast, north-central, and around Jerusalem |
| Urbanization: | urban population: 75.3% of total population (2015) |
| Urbanization: | rate of urbanization: 2.81% annual rate of change (2010-15 est.) |
| Urbanization: | note: data represent Gaza Strip and West Bank |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 1.06 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2016 est.) |
| Maternal mortality rate: | 45 deaths/100,000 live births |
| Maternal mortality rate: | note: data represent Gaza Strip and West Bank (2015 est.) |
| Infant mortality rate: | total: 14.6 deaths/1,000 live births |
| Infant mortality rate: | male: 16.4 deaths/1,000 live births |
| Infant mortality rate: | female: 12.7 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 75 years |
| Life expectancy at birth: | male: 73 years |
| Life expectancy at birth: | female: 77.1 years (2016 est.) |
| Total fertility rate: | 3.33 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 52.5% (includes Gaza Strip and West Bank) (2010) |
| Physicians density: | 1.3 physicians/1,000 population (2013) |
| Hospital bed density: | 1.2 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 50.7% of population |
| Drinking water source: | rural: 81.5% of population |
| Drinking water source: | total: 58.4% of population |
| unimproved: | urban: 49.3% of population |
| unimproved: | rural: 18.5% of population |
| unimproved: | total: 41.6% of population |
| unimproved: | note: includes Gaza Strip and the West Bank (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93% of population |
| Sanitation facility access: | rural: 90.2% of population |
| Sanitation facility access: | total: 92.3% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 9.8% of population |
| unimproved: | total: 7.7% of population |
| unimproved: | note: includes Gaza Strip and the West Bank (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.5% |
| Literacy: | male: 98.4% |
| Literacy: | female: 94.5% |
| Literacy: | notes: estimates are for Gaza and West Bank (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 14 years |
| School life expectancy (primary to tertiary education): | note: data represent Gaza and West Bank (2014) |
| Unemployment, youth ages 15-24: | total: 41% |
| Unemployment, youth ages 15-24: | male: 37% |
| Unemployment, youth ages 15-24: | female: 64.7% |
| Unemployment, youth ages 15-24: | note: includes Gaza Strip (2013 est.) |
