| People and Society | WEST BANK |
| --- | --- |
| Nationality: | noun: NA |
| Nationality: | adjective: NA |
| Ethnic groups: | Palestinian Arab and other 83%, Jewish 17% |
| Languages: | Arabic, Hebrew (spoken by Israeli settlers and many Palestinians), English (widely understood) |
| Religions: | Muslim 80.0 - 85.0% (predominantly Sunni), Jewish 12.0 - 14.0%, Christian 1.0 - 2.5% (mainly Greek Orthodox), other, unaffiliated, unspecified |
| Religions: | note: the proportion of Christians continues to fall mainly as a result of the growth of the Muslim population but also because of the migration and the declining birth rate of the Christian population (2012 est.) |
| Population: | 2,785,366 (represents Palestinian population only) (July 2014 est.) |
| Population: | note: approximately 356,000 Israeli settlers live in the West Bank; approximately 200,000 Israeli settlers live in East Jerusalem (2013) (July 2015 est.) |
| Age structure: | 0-14 years: 33.09% (male 473,108/female 448,612) |
| Age structure: | 15-24 years: 21.52% (male 307,020/female 292,465) |
| Age structure: | 25-54 years: 36.96% (male 529,094/female 500,375) |
| Age structure: | 55-64 years: 4.57% (male 64,093/female 63,289) |
| Age structure: | 65 years and over: 3.85% (male 45,303/female 62,007) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 76% |
| population pyramid: | youth dependency ratio: 70.8% |
| population pyramid: | elderly dependency ratio: 5.2% |
| population pyramid: | potential support ratio: 19.2% |
| population pyramid: | note: data represents the Gaza and the West Bank (2015 est.) |
| Median age: | total: 22.7 years |
| Median age: | male: 22.6 years |
| Median age: | female: 22.9 years (2015 est.) |
| Population growth rate: | 1.95% (2015 est.) |
| Birth rate: | 22.99 births/1,000 population (2015 est.) |
| Death rate: | 3.5 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 75.3% of total population (2015) |
| Urbanization: | rate of urbanization: 2.81% annual rate of change (2005-10 est.) |
| Urbanization: | note: data represents Gaza Strip and West Bank |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.06 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 13.08 deaths/1,000 live births |
| Infant mortality rate: | male: 14.7 deaths/1,000 live births |
| Infant mortality rate: | female: 11.37 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 75.91 years |
| Life expectancy at birth: | male: 73.79 years |
| Life expectancy at birth: | female: 78.17 years (2015 est.) |
| Total fertility rate: | 2.76 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 52.5% (includes Gaza Strip and the West Bank) (2010) |
| Physicians density: | 1.3 physicians/1,000 population (2013) |
| Hospital bed density: | 1.2 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 50.7% of population |
| Drinking water source: | rural: 81.5% of population |
| Drinking water source: | total: 58.4% of population |
| unimproved: | urban: 49.3% of population |
| unimproved: | rural: 18.5% of population |
| unimproved: | total: 41.6% of population |
| unimproved: | note: includes Gaza and the West Bank (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93% of population |
| Sanitation facility access: | rural: 90.2% of population |
| Sanitation facility access: | total: 92.3% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 9.8% of population |
| unimproved: | total: 7.7% of population |
| unimproved: | note: includes Gaza and the West Bank (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.5% |
| Literacy: | male: 98.4% |
| Literacy: | female: 94.5% |
| Literacy: | notes: estimates are for the Palestinian Territories (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 14 years |
| School life expectancy (primary to tertiary education): | note: data represents Gaza and West Bank (2013) |
| Unemployment, youth ages 15-24: | total: 38.8% |
| Unemployment, youth ages 15-24: | male: 34.5% |
| Unemployment, youth ages 15-24: | female: 62.2% |
| Unemployment, youth ages 15-24: | note: includes Gaza Strip (2012 est.) |
