| People and Society | ARUBA |
| --- | --- |
| Population: | 113,648 (July 2016 est.) |
| Nationality: | noun: Aruban(s) |
| Nationality: | adjective: Aruban; Dutch |
| Ethnic groups: | Dutch 82.1%, Colombian 6.6%, Venezuelan 2.2%, Dominican 2.2%, Haitian 1.2%, other 5.5%, unspecified 0.1% (2010 est.) |
| Languages: | Papiamento (official) (a creole language that is a mixture of Portuguese, Spanish, Dutch, English, and, to a lesser extent, French, as well as elements of African languages and the language of the Arawak) 69.4%, Spanish 13.7%, English (widely spoken) 7.1%, Dutch (official) 6.1%, Chinese 1.5%, other 1.7%, unspecified 0.4% (2010 est.) |
| Religions: | Roman Catholic 75.3%, Protestant 4.9% (includes Methodist 0.9%, Adventist 0.9%, Anglican 0.4%, other Protestant 2.7%), Jehovah's Witness 1.7%, other 12%, none 5.5%, unspecified 0.5% (2010 est.) |
| Age structure: | 0-14 years: 17.66% (male 10,068/female 9,999) |
| Age structure: | 15-24 years: 13.03% (male 7,441/female 7,366) |
| Age structure: | 25-54 years: 42.16% (male 23,068/female 24,847) |
| Age structure: | 55-64 years: 14.01% (male 7,398/female 8,525) |
| Age structure: | 65 years and over: 13.14% (male 5,853/female 9,083) (2016 est.) |
| Dependency ratios: | total dependency ratio: 44% |
| Dependency ratios: | youth dependency ratio: 26.4% |
| Dependency ratios: | elderly dependency ratio: 17.6% |
| Dependency ratios: | potential support ratio: 5.7% (2015 est.) |
| Median age: | total: 39.1 years |
| Median age: | male: 37.3 years |
| Median age: | female: 40.9 years (2016 est.) |
| Population growth rate: | 1.3% (2016 est.) |
| Birth rate: | 12.5 births/1,000 population (2016 est.) |
| Death rate: | 8.3 deaths/1,000 population (2016 est.) |
| Net migration rate: | 8.8 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | most residents live in or around Oranjestad and San Nicolaas; most settlments tend to be located on the less mountainous western side of the island |
| Urbanization: | urban population: 41.5% of total population (2015) |
| Urbanization: | rate of urbanization: -0.28% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ORANJESTAD (capital) 29,000 (2014) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.9 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 11 deaths/1,000 live births |
| Infant mortality rate: | male: 14.5 deaths/1,000 live births |
| Infant mortality rate: | female: 7.5 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 76.8 years |
| Life expectancy at birth: | male: 73.7 years |
| Life expectancy at birth: | female: 79.9 years (2016 est.) |
| Total fertility rate: | 1.84 children born/woman (2016 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.1% of population |
| Drinking water source: | rural: 98.1% of population |
| Drinking water source: | total: 98.1% of population |
| unimproved: | urban: 1.9% of population |
| unimproved: | rural: 1.9% of population |
| unimproved: | total: 1.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.7% of population |
| Sanitation facility access: | rural: 97.7% of population |
| Sanitation facility access: | total: 97.7% of population |
| unimproved: | urban: 2.3% of population |
| unimproved: | rural: 2.3% of population |
| unimproved: | total: 2.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Education expenditures: | 6% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.5% |
| Literacy: | male: 97.5% |
| Literacy: | female: 97.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2012) |
| Unemployment, youth ages 15-24: | total: 28.9% |
| Unemployment, youth ages 15-24: | male: 29.9% |
| Unemployment, youth ages 15-24: | female: 27.5% (2010 est.) |
