| People and Society | CANADA |
| --- | --- |
| Population: | 35,362,905 (July 2016 est.) |
| Nationality: | noun: Canadian(s) |
| Nationality: | adjective: Canadian |
| Ethnic groups: | Canadian 32.2%, English 19.8%, French 15.5%, Scottish 14.4%, Irish 13.8%, German 9.8%, Italian 4.5%, Chinese 4.5%, North American Indian 4.2%, other 50.9% |
| Ethnic groups: | note: percentages add up to more than 100% because respondents were able to identify more than one ethnic origin (2011 est.) |
| Languages: | English (official) 58.7%, French (official) 22%, Punjabi 1.4%, Italian 1.3%, Spanish 1.3%, German 1.3%, Cantonese 1.2%, Tagalog 1.2%, Arabic 1.1%, other 10.5% (2011 est.) |
| Religions: | Catholic 39% (includes Roman Catholic 38.8%, other Catholic .2%), Protestant 20.3% (includes United Church 6.1%, Anglican 5%, Baptist 1.9%, Lutheran 1.5%, Pentecostal 1.5%, Presbyterian 1.4%, other Protestant 2.9%), Orthodox 1.6%, other Christian 6.3%, Muslim 3.2%, Hindu 1.5%, Sikh 1.4%, Buddhist 1.1%, Jewish 1%, other 0.6%, none 23.9% (2011 est.) |
| Age structure: | 0-14 years: 15.44% (male 2,799,758/female 2,661,645) |
| Age structure: | 15-24 years: 12.12% (male 2,204,127/female 2,080,587) |
| Age structure: | 25-54 years: 40.32% (male 7,231,200/female 7,028,692) |
| Age structure: | 55-64 years: 13.94% (male 2,443,452/female 2,484,788) |
| Age structure: | 65 years and over: 18.18% (male 2,863,114/female 3,565,542) (2016 est.) |
| Dependency ratios: | total dependency ratio: 47.3% |
| Dependency ratios: | youth dependency ratio: 23.5% |
| Dependency ratios: | elderly dependency ratio: 23.8% |
| Dependency ratios: | potential support ratio: 4.2% (2015 est.) |
| Median age: | total: 42 years |
| Median age: | male: 40.8 years |
| Median age: | female: 43.3 years (2016 est.) |
| Population growth rate: | 0.74% (2016 est.) |
| Birth rate: | 10.3 births/1,000 population (2016 est.) |
| Death rate: | 8.5 deaths/1,000 population (2016 est.) |
| Net migration rate: | 5.7 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | vast majority of Canadians are positioned in a discontinuous band within approximately 300 km of the southern border with the United States; the most populated province is Ontario, followed by Quebec and British Columbia |
| Urbanization: | urban population: 81.8% of total population (2015) |
| Urbanization: | rate of urbanization: 1.22% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Toronto 5.993 million; Montreal 3.981 million; Vancouver 2.485 million; Calgary 1.337 million; OTTAWA (capital) 1.326 million; Edmonton 1.272 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 28.1 (2011 est.) |
| Maternal mortality rate: | 7 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 4.6 deaths/1,000 live births |
| Infant mortality rate: | male: 4.9 deaths/1,000 live births |
| Infant mortality rate: | female: 4.3 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 81.9 years |
| Life expectancy at birth: | male: 79.2 years |
| Life expectancy at birth: | female: 84.6 years (2016 est.) |
| Total fertility rate: | 1.6 children born/woman (2016 est.) |
| Health expenditures: | 10.4% of GDP (2014) |
| Physicians density: | 2.07 physicians/1,000 population (2010) |
| Hospital bed density: | 2.7 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99.8% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 0.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 99% of population |
| Sanitation facility access: | total: 99.8% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 0.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | fewer than 400 (2013 est.) |
| Obesity - adult prevalence rate: | 30.1% (2014) |
| Education expenditures: | 5.3% of GDP (2011) |
| Unemployment, youth ages 15-24: | total: 13.5% |
| Unemployment, youth ages 15-24: | male: 15% |
| Unemployment, youth ages 15-24: | female: 11.9% (2014 est.) |
