| People and Society | United Arab Emirates |
| --- | --- |
| Nationality: | noun: Emirati(s) |
| Nationality: | adjective: Emirati |
| Ethnic groups: | Emirati 19%, other Arab and Iranian 23%, South Asian 50%, other expatriates (includes Westerners and East Asians) 8% (1982) |
| Ethnic groups: | note: less than 20% are UAE citizens (1982) |
| Languages: | Arabic (official), Persian, English, Hindi, Urdu |
| Religions: | Muslim (Islam - official) 96% (Shia 16%), other (includes Christian, Hindu) 4% |
| Population: | 5,314,317 (July 2012 est.) |
| Population: | note: estimate is based on the results of the 2005 census that included a significantly higher estimate of net immigration of non-citizens than previous estimates |
| Age structure: | 0-14 years: 20.5% (male 557,603/ female 532,303) |
| Age structure: | 15-64 years: 78.5% (male 3,060,518/ female 1,113,867) |
| Age structure: | 65 years and over: 0.9% (male 31,942/ female 18,084) |
| Age structure: | population pyramid: [] |
| Age structure: | note: 73.9% of the population in the 15-64 age group is non-national (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 30.2 years |
| Median age: | male: 32.1 years |
| Median age: | female: 25 years (2012 est.) |
| Population growth rate: | 3.055% (2012 est.) |
| Birth rate: | 15.76 births/1,000 population (2012 est.) |
| Death rate: | 2.04 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | 16.82 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 84% of total population (2010) |
| Urbanization: | rate of urbanization: 2.3% annual rate of change (2010-15 est.) |
| Major cities - population: | ABU DHABI (capital) 666,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 2.75 male(s)/female |
| Sex ratio: | 65 years and over: 1.77 male(s)/female |
| Sex ratio: | total population: 2.19 male(s)/female (2011 est.) |
| Maternal mortality rate: | 12 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 11.59 deaths/1,000 live births |
| Infant mortality rate: | male: 13.54 deaths/1,000 live births |
| Infant mortality rate: | female: 9.55 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 76.71 years |
| Life expectancy at birth: | male: 74.12 years |
| Life expectancy at birth: | female: 79.42 years (2012 est.) |
| Total fertility rate: | 2.38 children born/woman (2012 est.) |
| Health expenditures: | 2.8% of GDP (2009) |
| Physicians density: | 1.93 physicians/1,000 population (2007) |
| Hospital bed density: | 1.9 beds/1,000 population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98% of population |
| Sanitation facility access: | rural: 95% of population |
| Sanitation facility access: | total: 97% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 5% of population |
| unimproved: | total: 3% of population |
| HIV/AIDS - adult prevalence rate: | 0.2% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 33.7% (2000) |
| Education expenditures: | 1.2% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 77.9% |
| Literacy: | male: 76.1% |
| Literacy: | female: 81.7% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2009) |
| Unemployment, youth ages 15-24: | total: 12.1% |
| Unemployment, youth ages 15-24: | male: 7.9% |
| Unemployment, youth ages 15-24: | female: 21.8% (2008) |
