| People and Society | Albania |
| --- | --- |
| Nationality: | noun: Albanian(s) |
| Nationality: | adjective: Albanian |
| Ethnic groups: | Albanian 82.6%, Greek 0.9%, other 1% (including Vlach, Roma (Gypsy), Macedonian, Montenegrin, and Egyptian), unspecified 15.5% (2011 est.) |
| Languages: | Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Roma, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.) |
| Religions: | Muslim 56.7%, Roman Catholic 10%, Orthodox 6.8%, atheist 2.5%, Bektashi (a Sufi order) 2.1%, other 5.7%, unspecified 16.2% |
| Religions: | note: all mosques and churches were closed in 1967 and religious observances prohibited; in November 1990, Albania began allowing private religious practice (2011 est.) |
| Population: | 3,020,209 (July 2014 est.) |
| Age structure: | 0-14 years: 19.3% (male 307,275/female 274,634) |
| Age structure: | 15-24 years: 19.2% (male 297,851/female 282,498) |
| Age structure: | 25-54 years: 40% (male 574,820/female 633,729) |
| Age structure: | 55-64 years: 10.5% (male 157,014/female 158,602) |
| Age structure: | 65 years and over: 11.1% (male 157,143/female 176,643) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 44.9 % |
| population pyramid: | youth dependency ratio: 29 % |
| population pyramid: | elderly dependency ratio: 15.9 % |
| population pyramid: | potential support ratio: 6.3 (2014 est.) |
| Median age: | total: 31.6 years |
| Median age: | male: 30.3 years |
| Median age: | female: 32.9 years (2014 est.) |
| Population growth rate: | 0.3% (2014 est.) |
| Birth rate: | 12.73 births/1,000 population (2014 est.) |
| Death rate: | 6.47 deaths/1,000 population (2014 est.) |
| Net migration rate: | -3.31 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 53.4% of total population (2011) |
| Urbanization: | rate of urbanization: 2.27% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TIRANA (capital) 419,000 (2011) |
| Sex ratio: | at birth: 1.11 male(s)/female |
| Sex ratio: | 0-14 years: 1.12 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 0.91 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 23.4 (2010 est.) |
| Maternal mortality rate: | 27 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 13.19 deaths/1,000 live births |
| Infant mortality rate: | male: 14.68 deaths/1,000 live births |
| Infant mortality rate: | female: 11.54 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 77.96 years |
| Life expectancy at birth: | male: 75.33 years |
| Life expectancy at birth: | female: 80.86 years (2014 est.) |
| Total fertility rate: | 1.5 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 69.3% (2008/09) |
| Health expenditures: | 6.3% of GDP (2011) |
| Physicians density: | 1.11 physicians/1,000 population (2011) |
| Hospital bed density: | 2.4 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.3% of population |
| Drinking water source: | rural: 93.8% of population |
| Drinking water source: | total: 95.7% of population |
| unimproved: | urban: 2.7% of population |
| unimproved: | rural: 6.2% of population |
| unimproved: | total: 4.3% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95.3% of population |
| Sanitation facility access: | rural: 86.3% of population |
| Sanitation facility access: | total: 91.2% of population |
| unimproved: | urban: 4.7% of population |
| unimproved: | rural: 13.7% of population |
| unimproved: | total: 8.8% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 21.3% (2008) |
| Children under the age of 5 years underweight: | 6.3% (2009) |
| Education expenditures: | 3.3% of GDP (2007) |
| Literacy: | definition: age 9 and over can read and write |
| Literacy: | total population: 96.8% |
| Literacy: | male: 98% |
| Literacy: | female: 95.7% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2001) |
| Child labor - children ages 5-14: | total number: 72,818 |
| Child labor - children ages 5-14: | percentage: 12 % (2005 est.) |
| Unemployment, youth ages 15-24: | total: 22.5% |
| Unemployment, youth ages 15-24: | male: 23.8% |
| Unemployment, youth ages 15-24: | female: 20.7% (2011) |
