| People and Society | TUNISIA |
| --- | --- |
| Population: | 11,134,588 (July 2016 est.) |
| Nationality: | noun: Tunisian(s) |
| Nationality: | adjective: Tunisian |
| Ethnic groups: | Arab 98%, European 1%, Jewish and other 1% |
| Languages: | Arabic (official, one of the languages of commerce), French (commerce), Berber (Tamazight) |
| Languages: | note: despite having no official status, French plays a major role in the country and is spoken by about two-thirds of the population |
| Religions: | Muslim (official; Sunni) 99.1%, other (includes Christian, Jewish, Shia Muslim, and Baha'i) 1% |
| Demographic profile: | The Tunisian Government took steps in the 1960s to decrease population growth and gender inequality in order to improve socioeconomic development. Through its introduction of a national family planning program (the first in Africa) and by raising the legal age of marriage, Tunisia rapidly reduced its total fertility rate from about 7 children per woman in 1960 to 2 today. Unlike many of its North African and Middle Eastern neighbors, Tunisia will soon be shifting from being a youth-bulge country to having a transitional age structure, characterized by lower fertility and mortality rates, a slower population growth rate, a rising median age, and a longer average life expectancy. |
| Demographic profile: | Currently, the sizable young working-age population is straining Tunisia’s labor market and education and health care systems. Persistent high unemployment among Tunisia’s growing workforce, particularly its increasing number of university graduates and women, was a key factor in the uprisings that led to the overthrow of the BEN ALI regime in 2011. In the near term, Tunisia’s large number of jobless young, working-age adults; deficiencies in primary and secondary education; and the ongoing lack of job creation and skills mismatches could contribute to future unrest. In the longer term, a sustained low fertility rate will shrink future youth cohorts and alleviate demographic pressure on Tunisia’s labor market, but employment and education hurdles will still need to be addressed. |
| Demographic profile: | Tunisia has a history of labor emigration. In the 1960s, workers migrated to European countries to escape poor economic conditions and to fill Europe’s need for low-skilled labor in construction and manufacturing. The Tunisian Government signed bilateral labor agreements with France, Germany, Belgium, Hungary, and the Netherlands, with the expectation that Tunisian workers would eventually return home. At the same time, growing numbers of Tunisians headed to Libya, often illegally, to work in the expanding oil industry. In the mid-1970s, with European countries beginning to restrict immigration and Tunisian-Libyan tensions brewing, Tunisian economic migrants turned toward the Gulf countries. After mass expulsions from Libya in 1983, Tunisian migrants increasingly sought family reunification in Europe or moved illegally to southern Europe, while Tunisia itself developed into a transit point for sub-Saharan migrants heading to Europe. |
| Demographic profile: | Following the ousting of BEN ALI in 2011, the illegal migration of unemployed Tunisian youths to Italy and onward to France soared into the tens of thousands. Thousands more Tunisian and foreign workers escaping civil war in Libya flooded into Tunisia and joined the exodus. A readmission agreement signed by Italy and Tunisia in April 2011 helped stem the outflow, leaving Tunisia and international organizations to repatriate, resettle, or accommodate some 1 million Libyans and third-country nationals. |
| Age structure: | 0-14 years: 23.02% (male 1,320,426/female 1,243,287) |
| Age structure: | 15-24 years: 15.05% (male 840,907/female 834,320) |
| Age structure: | 25-54 years: 44.52% (male 2,402,272/female 2,554,362) |
| Age structure: | 55-64 years: 9.21% (male 520,305/female 505,612) |
| Age structure: | 65 years and over: 8.2% (male 448,870/female 464,227) (2016 est.) |
| Dependency ratios: | total dependency ratio: 44.8% |
| Dependency ratios: | youth dependency ratio: 33.8% |
| Dependency ratios: | elderly dependency ratio: 11% |
| Dependency ratios: | potential support ratio: 9.1% (2015 est.) |
| Median age: | total: 32.4 years |
| Median age: | male: 31.9 years |
| Median age: | female: 32.7 years (2016 est.) |
| Population growth rate: | 0.86% (2016 est.) |
| Birth rate: | 16.4 births/1,000 population (2016 est.) |
| Death rate: | 6 deaths/1,000 population (2016 est.) |
