| People and Society | Puerto Rico |
| --- | --- |
| Population: | 3,294,626 (July 2018 est.) |
| Nationality: | noun: Puerto Rican(s) (US citizens) |
| Nationality: | adjective: Puerto Rican |
| Ethnic groups: | white 75.8%, black/African American 12.4%, other 8.5% (includes American Indian, Alaskan Native, Native Hawaiian, other Pacific Islander, and others), mixed 3.3% (2010 est.) |
| Ethnic groups: | note: 99% of the population is Latino |
| Languages: | Spanish, English |
| Religions: | Roman Catholic 85%, Protestant and other 15% |
| Age structure: | 0-14 years: 15.25% (male 256,866 /female 245,518) |
| Age structure: | 15-24 years: 13.39% (male 224,434 /female 216,664) |
| Age structure: | 25-54 years: 37.99% (male 595,818 /female 655,890) |
| Age structure: | 55-64 years: 13.14% (male 198,577 /female 234,490) |
| Age structure: | 65 years and over: 20.23% (male 286,630 /female 379,739) (2018 est.) |
| Dependency ratios: | total dependency ratio: 49.6 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 27.9 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 21.7 (2015 est.) |
| Dependency ratios: | potential support ratio: 4.6 (2015 est.) |
| Median age: | total: 42.2 years |
| Median age: | male: 40.2 years |
| Median age: | female: 43.9 years (2018 est.) |
| Population growth rate: | -1.7% (2018 est.) |
| Birth rate: | 8 births/1,000 population (2018 est.) |
| Death rate: | 8.9 deaths/1,000 population (2018 est.) |
| Net migration rate: | -16.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population clusters tend to be found along the coast, the largest of these is found in and around San Juan; an exception to this is a sizeable population located in the interior of the island immediately south of the capital around Caguas; most of the interior, particularly in the western half of the island, is dominated by the Cordillera Central mountains, where population density is low |
| Urbanization: | urban population: 93.6% of total population (2018) |
| Urbanization: | rate of urbanization: -0.14% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 2.454 million SAN JUAN (capital) (2018) |
| Sex ratio: | at birth: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.92 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.83 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.76 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.91 male(s)/female (2017 est.) |
| Maternal mortality rate: | 14 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 6.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 6.9 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 5.6 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 81 years (2018 est.) |
| Life expectancy at birth: | male: 77.7 years (2018 est.) |
| Life expectancy at birth: | female: 84.5 years (2018 est.) |
| Total fertility rate: | 1.21 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 93.6% of population |
| Drinking water source: | rural: 93.6% of population |
| Drinking water source: | total: 93.6% of population |
| Drinking water source: | unimproved: urban: 6.4% of population |
| Drinking water source: | rural: 6.4% of population |
| Drinking water source: | total: 6.4% of population (2001 est.) |
| Sanitation facility access: | improved: urban: 99.3% of population (2015 est.) |
| Sanitation facility access: | rural: 99.3% of population (2015 est.) |
| Sanitation facility access: | total: 99.3% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0.7% of population (2015 est.) |
| Sanitation facility access: | rural: 0.7% of population (2015 est.) |
| Sanitation facility access: | total: 0.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Education expenditures: | 6% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 93.3% (2015 est.) |
| Literacy: | male: 92.8% (2015 est.) |
| Literacy: | female: 93.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years (2014) |
| School life expectancy (primary to tertiary education): | male: 13 years (2014) |
| School life expectancy (primary to tertiary education): | female: 15 years (2014) |
| Unemployment, youth ages 15-24: | total: 26.6% (2012 est.) |
| Unemployment, youth ages 15-24: | male: 28.9% (2012 est.) |
| Unemployment, youth ages 15-24: | female: 23.1% (2012 est.) |
