| People and Society | PUERTO RICO |
| --- | --- |
| Population: | 3,351,827 (July 2017 est.) |
| Nationality: | noun: Puerto Rican(s) (US citizens) |
| Nationality: | adjective: Puerto Rican |
| Ethnic groups: | white 75.8%, black/African American 12.4%, other 8.5% (includes American Indian, Alaskan Native, Native Hawaiian, other Pacific Islander, and others), mixed 3.3% |
| Ethnic groups: | note: 99% of the population is Latino (2010 est.) |
| Languages: | Spanish, English |
| Religions: | Roman Catholic 85%, Protestant and other 15% |
| Age structure: | 0-14 years: 15.77% (male 270,656/female 258,073) |
| Age structure: | 15-24 years: 13.71% (male 233,667/female 225,812) |
| Age structure: | 25-54 years: 38.1% (male 607,954/female 669,149) |
| Age structure: | 55-64 years: 12.93% (male 198,720/female 234,713) |
| Age structure: | 65 years and over: 19.48% (male 281,413/female 371,670) (2017 est.) |
| Dependency ratios: | total dependency ratio: 49.6 |
| Dependency ratios: | youth dependency ratio: 27.9 |
| Dependency ratios: | elderly dependency ratio: 21.7 |
| Dependency ratios: | potential support ratio: 4.6 (2015 est.) |
| Median age: | total: 41.5 years |
| Median age: | male: 39.5 years |
| Median age: | female: 43.2 years (2017 est.) |
| Population growth rate: | -1.74% (2017 est.) |
| Birth rate: | 8.1 births/1,000 population (2017 est.) |
| Death rate: | 8.6 deaths/1,000 population (2017 est.) |
| Net migration rate: | -16.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population clusters tend to be found along the coast, the largest of these is found in and around San Juan; an exception to this is a sizeable population located in the interior of the island immediately south of the capital around Caguas; most of the interior, particularly in the western half of the island, is dominated by the Cordillera Central mountains, where population density is low |
| Urbanization: | urban population: 93.5% of total population (2017) |
| Urbanization: | rate of urbanization: -0.03% annual rate of change (2015-20 est.) |
| Major urban areas - population: | SAN JUAN (capital) 2.463 million (2015) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.83 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.91 male(s)/female (2016 est.) |
| Maternal mortality rate: | 14 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 6.4 deaths/1,000 live births |
| Infant mortality rate: | male: 7 deaths/1,000 live births |
| Infant mortality rate: | female: 5.8 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 80.9 years |
| Life expectancy at birth: | male: 77.6 years |
| Life expectancy at birth: | female: 84.4 years (2017 est.) |
| Total fertility rate: | 1.22 children born/woman (2017 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93.6% of population |
| Drinking water source: | rural: 93.6% of population |
| Drinking water source: | total: 93.6% of population |
| unimproved: | urban: 6.4% of population |
| unimproved: | rural: 6.4% of population |
| unimproved: | total: 6.4% of population (2001 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.3% of population |
| Sanitation facility access: | rural: 99.3% of population |
| Sanitation facility access: | total: 99.3% of population |
| unimproved: | urban: 0.7% of population |
| unimproved: | rural: 0.7% of population |
| unimproved: | total: 0.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Education expenditures: | 6.4% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.3% |
| Literacy: | male: 92.8% |
| Literacy: | female: 93.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2014) |
| Unemployment, youth ages 15-24: | total: 26.6% |
| Unemployment, youth ages 15-24: | male: 28.9% |
| Unemployment, youth ages 15-24: | female: 23.1% (2012 est.) |
