| People and Society | Puerto Rico |
| --- | --- |
| Population: | 3,189,068 (July 2020 est.) |
| Nationality: | noun: Puerto Rican(s) (US citizens) |
| Nationality: | adjective: Puerto Rican |
| Ethnic groups: | white 75.8%, Black/African American 12.4%, other 8.5% (includes American Indian, Alaskan Native, Native Hawaiian, other Pacific Islander, and others), mixed 3.3% (2010 est.) |
| Ethnic groups: | note: 99% of the population is Latino |
| Languages: | Spanish, English |
| Religions: | Roman Catholic 85%, Protestant and other 15% |
| Age structure: | 0-14 years: 14.22% (male 231,406/female 222,061) |
| Age structure: | 15-24 years: 12.78% (male 207,169/female 200,373) |
| Age structure: | 25-54 years: 37.73% (male 573,114/female 630,276) |
| Age structure: | 55-64 years: 13.5% (male 197,438/female 232,931) |
| Age structure: | 65 years and over: 21.77% (male 297,749/female 396,551) (2020 est.) |
| Dependency ratios: | total dependency ratio: 57.7 |
| Dependency ratios: | youth dependency ratio: 24.8 |
| Dependency ratios: | elderly dependency ratio: 32.8 |
| Dependency ratios: | potential support ratio: 3 (2020 est.) |
| Median age: | total: 43.6 years |
| Median age: | male: 41.6 years |
| Median age: | female: 45.3 years (2020 est.) |
| Population growth rate: | -1.59% (2020 est.) |
| Birth rate: | 8 births/1,000 population (2020 est.) |
| Death rate: | 9.5 deaths/1,000 population (2020 est.) |
| Net migration rate: | -14.1 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population clusters tend to be found along the coast, the largest of these is found in and around San Juan; an exception to this is a sizeable population located in the interior of the island immediately south of the capital around Caguas; most of the interior, particularly in the western half of the island, is dominated by the Cordillera Central mountains, where population density is low |
| Urbanization: | urban population: 93.6% of total population (2020) |
| Urbanization: | rate of urbanization: -0.14% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 2.448 million SAN JUAN (capital) (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.91 male(s)/female |
| Sex ratio: | 55-64 years: 0.85 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.9 male(s)/female (2020 est.) |
| Maternal mortality rate: | 21 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 6 deaths/1,000 live births |
| Infant mortality rate: | male: 6.6 deaths/1,000 live births |
| Infant mortality rate: | female: 5.4 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 81.3 years |
| Life expectancy at birth: | male: 78 years |
| Life expectancy at birth: | female: 84.7 years (2020 est.) |
| Total fertility rate: | 1.24 children born/woman (2020 est.) |
| Drinking water source: | improved: total: 97% of population |
| Drinking water source: | unimproved: total: 0% of population (2017 est.) |
| Physicians density: | 3.06 physicians/1,000 population (2018) |
| Sanitation facility access: | improved: total: 97.2% of population |
| Sanitation facility access: | unimproved: total: 2.8% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 6.1% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.4% |
| Literacy: | male: 92.4% |
| Literacy: | female: 92.4% (2017) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2018) |
| Unemployment, youth ages 15-24: | total: 26.6% |
| Unemployment, youth ages 15-24: | male: 28.9% |
| Unemployment, youth ages 15-24: | female: 23.1% (2012 est.) |
