| People and Society | Cameroon |
| --- | --- |
| Population: | 25,640,965 (July 2018 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Cameroonian(s) |
| Nationality: | adjective: Cameroonian |
| Ethnic groups: | Cameroon Highlanders 31%, Equatorial Bantu 19%, Kirdi 11%, Fulani 10%, Northwestern Bantu 8%, Eastern Nigritic 7%, other African 13%, non-African less than 1% |
| Languages: | 24 major African language groups, English (official), French (official) |
| Religions: | Roman Catholic 38.4%, Protestant 26.3%, other Christian 4.5%, Muslim 20.9%, animist 5.6%, other 1%, non-believer 3.2% (2005 est.) |
| Demographic profile: | Cameroon has a large youth population, with more than 60% of the populace under the age of 25. Fertility is falling but remains at a high level, especially among poor, rural, and uneducated women, in part because of inadequate access to contraception. Life expectancy remains low at about 55 years due to the prevalence of HIV and AIDs and an elevated maternal mortality rate, which has remained high since 1990. Cameroon, particularly the northern region, is vulnerable to food insecurity largely because of government mismanagement, corruption, high production costs, inadequate infrastructure, and natural disasters. Despite economic growth in some regions, poverty is on the rise, and is most prevalent in rural areas, which are especially affected by a shortage of jobs, declining incomes, poor school and health care infrastructure, and a lack of clean water and sanitation. Underinvestment in social safety nets and ineffective public financial management also contribute to Cameroonâ€™s high rate of poverty. |
| Demographic profile: | International migration has been driven by unemployment (including fewer government jobs), poverty, the search for educational opportunities, and corruption. The US and Europe are preferred destinations, but, with tighter immigration restrictions in these countries, young Cameroonians are increasingly turning to neighboring states, such as Gabon and Nigeria, South Africa, other parts of Africa, and the Near and Far East. Cameroonâ€™s limited resources make it dependent on UN support to host more than 320,000 refugees and asylum seekers as of September 2017. These refugees and asylum seekers are primarily from the Central African Republic and more recently Nigeria. |
| Age structure: | 0-14 years: 42.15% (male 5,445,142 /female 5,362,166) |
| Age structure: | 15-24 years: 19.6% (male 2,524,031 /female 2,502,072) |
| Age structure: | 25-54 years: 31.03% (male 4,001,963 /female 3,954,258) |
| Age structure: | 55-64 years: 3.99% (male 499,101 /female 524,288) |
| Age structure: | 65 years and over: 3.23% (male 384,845 /female 443,099) (2018 est.) |
| Dependency ratios: | total dependency ratio: 85.9 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 80 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.9 (2015 est.) |
| Dependency ratios: | potential support ratio: 17 (2015 est.) |
| Median age: | total: 18.6 years (2018 est.) |
| Median age: | male: 18.5 years |
| Median age: | female: 18.7 years |
| Population growth rate: | 2.54% (2018 est.) |
| Birth rate: | 35 births/1,000 population (2018 est.) |
| Death rate: | 9.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.1 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | population concentrated in the west and north, with the interior of the country sparsely populated |
| Urbanization: | urban population: 57% of total population (2019) |
| Urbanization: | rate of urbanization: 3.63% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 3.822 million YAOUNDE (capital), 3.536 million Douala, (2019) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 19.7 years (2011 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 529 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 49.8 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 53.4 deaths/1,000 live births |
| Infant mortality rate: | female: 46.2 deaths/1,000 live births |
| Life expectancy at birth: | total population: 59.4 years (2018 est.) |
| Life expectancy at birth: | male: 58 years |
| Life expectancy at birth: | female: 60.9 years |
| Total fertility rate: | 4.58 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 34.4% (2014) |
| Drinking water source: | improved: urban: 94.8% of population |
| Drinking water source: | rural: 52.7% of population |
| Drinking water source: | total: 75.6% of population |
| Drinking water source: | unimproved: urban: 5.2% of population |
| Drinking water source: | rural: 47.3% of population |
| Drinking water source: | total: 24.4% of population (2015 est.) |
| Current Health Expenditure: | 4.7% (2016) |
| Physicians density: | 0.09 physicians/1,000 population (2011) |
| Hospital bed density: | 1.3 beds/1,000 population (2010) |
| Sanitation facility access: | improved: urban: 61.8% of population (2015 est.) |
| Sanitation facility access: | rural: 26.8% of population (2015 est.) |
| Sanitation facility access: | total: 45.8% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 38.2% of population (2015 est.) |
| Sanitation facility access: | rural: 73.2% of population (2015 est.) |
| Sanitation facility access: | total: 54.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 3.6% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 540,000 (2018 est.) |
| HIV/AIDS - deaths: | 18,000 (2018 est.) |
| Major infectious diseases: | degree of risk: very high (2019) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever (2019) |
| Major infectious diseases: | vectorborne diseases: malaria andÂ dengue fever (2019) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2019) |
| Major infectious diseases: | animal contact diseases: rabies (2019) |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis (2019) |
| Obesity - adult prevalence rate: | 11.4% (2016) |
| Children under the age of 5 years underweight: | 14.8% (2014) |
| Education expenditures: | 3.1% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 75% |
| Literacy: | male: 81.2% |
| Literacy: | female: 68.9% (2015) |
| School life expectancy (primary to tertiary education): | total: 13 years |
