| People | Thailand |
| --- | --- |
| Population: | 65,493,296 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2008 est.) |
| Age structure: | 0-14 years: 21.2% (male 7,104,776/female 6,781,453) |
| Age structure: | 15-64 years: 70.3% (male 22,763,274/female 23,304,793) |
| Age structure: | 65 years and over: 8.5% (male 2,516,721/female 3,022,281) (2008 est.) |
| Median age: | total: 32.8 years |
| Median age: | male: 32 years |
| Median age: | female: 33.7 years (2008 est.) |
| Population growth rate: | 0.64% (2008 est.) |
| Birth rate: | 13.57 births/1,000 population (2008 est.) |
| Death rate: | 7.17 deaths/1,000 population (2008 est.) |
| Net migration rate: | NA (2008 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 18.23 deaths/1,000 live births |
| Infant mortality rate: | male: 19.5 deaths/1,000 live births |
| Infant mortality rate: | female: 16.89 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 72.83 years |
| Life expectancy at birth: | male: 70.51 years |
| Life expectancy at birth: | female: 75.27 years (2008 est.) |
| Total fertility rate: | 1.64 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 1.5% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 570,000 (2003 est.) |
| HIV/AIDS - deaths: | 58,000 (2003 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea and hepatitis A |
| Major infectious diseases: | vectorborne diseases: dengue fever, Japanese encephalitis, and malaria |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2008) |
| Nationality: | noun: Thai (singular and plural) |
| Nationality: | adjective: Thai |
| Ethnic groups: | Thai 75%, Chinese 14%, other 11% |
| Religions: | Buddhist 94.6%, Muslim 4.6%, Christian 0.7%, other 0.1% (2000 census) |
| Languages: | Thai, English (secondary language of the elite), ethnic and regional dialects |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.6% |
| Literacy: | male: 94.9% |
| Literacy: | female: 90.5% (2000 census) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2006) |
| Education expenditures: | 4.2% of GDP (2005) |
