| People | Thailand |
| --- | --- |
| Population: | 65,905,410 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2009 est.) |
| Age structure: | 0-14 years: 20.8% (male 7,009,845/female 6,691,470) |
| Age structure: | 15-64 years: 70.5% (male 22,977,945/female 23,512,538) |
| Age structure: | 65 years and over: 8.7% (male 2,594,387/female 3,119,225) (2009 est.) |
| Median age: | total: 33.3 years |
| Median age: | male: 32.4 years |
| Median age: | female: 34.2 years (2009 est.) |
| Population growth rate: | 0.615% (2009 est.) |
| Birth rate: | 13.4 births/1,000 population (2009 est.) |
| Death rate: | 7.25 deaths/1,000 population (July 2009 est.) |
| Net migration rate: | NA (2009 est.) |
| Urbanization: | urban population: 33% of total population (2008) |
| Urbanization: | rate of urbanization: 1.7% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2009 est.) |
| Infant mortality rate: | total: 17.63 deaths/1,000 live births |
| Infant mortality rate: | male: 18.9 deaths/1,000 live births |
| Infant mortality rate: | female: 16.3 deaths/1,000 live births (2009 est.) |
| Life expectancy at birth: | total population: 73.1 years |
| Life expectancy at birth: | male: 70.77 years |
| Life expectancy at birth: | female: 75.55 years (2009 est.) |
| Total fertility rate: | 1.65 children born/woman (2009 est.) |
| HIV/AIDS - adult prevalence rate: | 1.4% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 610,000 (2007 est.) |
| HIV/AIDS - deaths: | 30,000 (2007 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever, Japanese encephalitis, and malaria |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Nationality: | noun: Thai (singular and plural) |
| Nationality: | adjective: Thai |
| Ethnic groups: | Thai 75%, Chinese 14%, other 11% |
| Religions: | Buddhist 94.6%, Muslim 4.6%, Christian 0.7%, other 0.1% (2000 census) |
| Languages: | Thai, English (secondary language of the elite), ethnic and regional dialects |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.6% |
| Literacy: | male: 94.9% |
| Literacy: | female: 90.5% (2000 census) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2006) |
| Education expenditures: | 4.2% of GDP (2005) |
