| People | Thailand |
| --- | --- |
| Population: | 65,068,149 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2007 est.) |
| Age structure: | 0-14 years: 21.6% (male 7,195,750/female 6,870,858) |
| Age structure: | 15-64 years: 70.1% (male 22,547,238/female 23,092,881) |
| Age structure: | 65 years and over: 8.2% (male 2,437,640/female 2,923,782) (2007 est.) |
| Median age: | total: 32.4 years |
| Median age: | male: 31.6 years |
| Median age: | female: 33.2 years (2007 est.) |
| Population growth rate: | 0.663% (2007 est.) |
| Birth rate: | 13.73 births/1,000 population (2007 est.) |
| Death rate: | 7.1 deaths/1,000 population (2007 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.047 male(s)/female |
| Sex ratio: | 15-64 years: 0.976 male(s)/female |
| Sex ratio: | 65 years and over: 0.834 male(s)/female |
| Sex ratio: | total population: 0.979 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 18.85 deaths/1,000 live births |
| Infant mortality rate: | male: 20.13 deaths/1,000 live births |
| Infant mortality rate: | female: 17.51 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 72.55 years |
| Life expectancy at birth: | male: 70.24 years |
| Life expectancy at birth: | female: 74.98 years (2007 est.) |
| Total fertility rate: | 1.64 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 1.5% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 570,000 (2003 est.) |
| HIV/AIDS - deaths: | 58,000 (2003 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea and hepatitis A |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, Japanese encephalitis, and plague are high risks in some locations |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified among birds in this country or surrounding region; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2007) |
| Nationality: | noun: Thai (singular and plural) |
| Nationality: | adjective: Thai |
| Ethnic groups: | Thai 75%, Chinese 14%, other 11% |
| Religions: | Buddhist 94.6%, Muslim 4.6%, Christian 0.7%, other 0.1% (2000 census) |
| Languages: | Thai, English (secondary language of the elite), ethnic and regional dialects |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.6% |
| Literacy: | male: 94.9% |
| Literacy: | female: 90.5% (2000 census) |
