| People and Society | THAILAND |
| --- | --- |
| Population: | 68,200,824 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2016 est.) |
| Nationality: | noun: Thai (singular and plural) |
| Nationality: | adjective: Thai |
| Ethnic groups: | Thai 95.9%, Burmese 2%, other 1.3%, unspecified 0.9% (2010 est.) |
| Languages: | Thai (official) 90.7%, Burmese 1.3%, other 8% |
| Languages: | note: English is a secondary language of the elite (2010 est.) |
| Religions: | Buddhist (official) 93.6%, Muslim 4.9%, Christian 1.2%, other 0.2%, none 0.1% (2010 est.) |
| Age structure: | 0-14 years: 17.18% (male 6,000,434/female 5,714,464) |
| Age structure: | 15-24 years: 14.47% (male 5,030,930/female 4,839,931) |
| Age structure: | 25-54 years: 46.5% (male 15,678,250/female 16,038,155) |
| Age structure: | 55-64 years: 11.64% (male 3,728,028/female 4,208,624) |
| Age structure: | 65 years and over: 10.21% (male 3,047,938/female 3,914,070) (2016 est.) |
| Dependency ratios: | total dependency ratio: 39.2% |
| Dependency ratios: | youth dependency ratio: 24.7% |
| Dependency ratios: | elderly dependency ratio: 14.6% |
| Dependency ratios: | potential support ratio: 6.9% (2015 est.) |
| Median age: | total: 37.2 years |
| Median age: | male: 36.2 years |
| Median age: | female: 38.2 years (2016 est.) |
| Population growth rate: | 0.32% (2016 est.) |
| Birth rate: | 11.1 births/1,000 population (2016 est.) |
| Death rate: | 7.9 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 50.4% of total population (2015) |
| Urbanization: | rate of urbanization: 2.97% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BANGKOK (capital) 9.27 million; Samut Prakan 1.814 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 23.3 (2009 est.) |
| Maternal mortality rate: | 20 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 9.4 deaths/1,000 live births |
| Infant mortality rate: | male: 10.4 deaths/1,000 live births |
| Infant mortality rate: | female: 8.4 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 74.7 years |
| Life expectancy at birth: | male: 71.5 years |
| Life expectancy at birth: | female: 78 years (2016 est.) |
| Total fertility rate: | 1.51 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 79.3% (2012) |
| Health expenditures: | 6.5% of GDP (2014) |
| Physicians density: | 0.39 physicians/1,000 population (2010) |
| Hospital bed density: | 2.1 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.6% of population |
| Drinking water source: | rural: 98% of population |
| Drinking water source: | total: 97.8% of population |
| unimproved: | urban: 2.4% of population |
| unimproved: | rural: 2% of population |
| unimproved: | total: 2.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 89.9% of population |
| Sanitation facility access: | rural: 96.1% of population |
| Sanitation facility access: | total: 93% of population |
| unimproved: | urban: 10.1% of population |
| unimproved: | rural: 3.9% of population |
| unimproved: | total: 7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.12% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 438,100 (2015 est.) |
| HIV/AIDS - deaths: | 14,200 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever, Japanese encephalitis, and malaria (2016) |
| Obesity - adult prevalence rate: | 9.2% (2014) |
| Children under the age of 5 years underweight: | 9.2% (2012) |
| Education expenditures: | 4.1% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.7% |
| Literacy: | male: 96.6% |
| Literacy: | female: 96.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2013) |
| Child labor - children ages 5-14: | total number: 818,399 |
| Child labor - children ages 5-14: | percentage: 8% (2006 est.) |
| Unemployment, youth ages 15-24: | total: 3.4% |
| Unemployment, youth ages 15-24: | male: 2.8% |
| Unemployment, youth ages 15-24: | female: 4.4% (2013 est.) |
