| People and Society | Thailand |
| --- | --- |
| Nationality: | noun: Thai (singular and plural) |
| Nationality: | adjective: Thai |
| Ethnic groups: | Thai 75%, Chinese 14%, other 11% |
| Languages: | Thai, English (secondary language of the elite), ethnic and regional dialects |
| Religions: | Buddhist (official) 94.6%, Muslim 4.6%, Christian 0.7%, other 0.1% (2000 census) |
| Population: | 67,448,120 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 19.2% (male 6,620,873/female 6,313,188) |
| Age structure: | 15-24 years: 15.1% (male 5,181,468/female 4,975,083) |
| Age structure: | 25-54 years: 45.6% (male 15,192,334/female 15,569,761) |
| Age structure: | 55-64 years: 10.4% (male 3,345,493/female 3,661,867) |
| Age structure: | 65 years and over: 9.8% (male 2,971,426/female 3,616,627) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 38.6 % |
| population pyramid: | youth dependency ratio: 25.2 % |
| population pyramid: | elderly dependency ratio: 13.5 % |
| population pyramid: | potential support ratio: 7.4 (2013) |
| Median age: | total: 35.1 years |
| Median age: | male: 34.2 years |
| Median age: | female: 36.1 years (2013 est.) |
| Population growth rate: | 0.52% (2013 est.) |
| Birth rate: | 12.66 births/1,000 population (2013 est.) |
| Death rate: | 7.47 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 34.1% of total population (2011) |
| Urbanization: | rate of urbanization: 1.6% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BANGKOK (capital) 6.902 million (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.97 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 23 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (1987 est.) |
| Maternal mortality rate: | 48 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 15.41 deaths/1,000 live births |
| Infant mortality rate: | male: 16.38 deaths/1,000 live births |
| Infant mortality rate: | female: 14.39 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 74.05 years |
| Life expectancy at birth: | male: 71.66 years |
| Life expectancy at birth: | female: 76.58 years (2013 est.) |
| Total fertility rate: | 1.66 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 79.6% (2009) |
| Health expenditures: | 4.1% of GDP (2011) |
| Physicians density: | 0.3 physicians/1,000 population (2004) |
| Hospital bed density: | 2.1 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97% of population |
| Drinking water source: | rural: 95% of population |
| Drinking water source: | total: 96% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 5% of population |
| unimproved: | total: 4% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95% of population |
| Sanitation facility access: | rural: 96% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | urban: 5% of population |
| unimproved: | rural: 4% of population |
| unimproved: | total: 4% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 530,000 (2009 est.) |
| HIV/AIDS - deaths: | 28,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever, Japanese encephalitis, and malaria |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 8.8% (2008) |
| Children under the age of 5 years underweight: | 7% (2006) |
| Education expenditures: | 3.8% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.5% |
| Literacy: | male: 95.6% |
| Literacy: | female: 91.5% (2005 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2009) |
| Child labor - children ages 5-14: | total number: 818,399 |
| Child labor - children ages 5-14: | percentage: 8 % (2006 est.) |
| Unemployment, youth ages 15-24: | total: 2.7% |
| Unemployment, youth ages 15-24: | male: 2.5% |
| Unemployment, youth ages 15-24: | female: 3% (2011) |
