| People and Society | Greece |
| --- | --- |
| Nationality: | noun: Greek(s) |
| Nationality: | adjective: Greek |
| Ethnic groups: | population: Greek 93%, other (foreign citizens) 7% (2001 census) |
| Ethnic groups: | note: percents represent citizenship, since Greece does not collect data on ethnicity |
| Languages: | Greek (official) 99%, other (includes English and French) 1% |
| Religions: | Greek Orthodox (official) 98%, Muslim 1.3%, other 0.7% |
| Population: | 10,760,136 (July 2011 est.) |
| Age structure: | 0-14 years: 14.2% (male 787,143/female 741,356) |
| Age structure: | 15-64 years: 66.2% (male 3,555,447/female 3,567,383) |
| Age structure: | 65 years and over: 19.6% (male 923,177/female 1,185,630) (2011 est.) |
| Median age: | total: 42.5 years |
| Median age: | male: 41.4 years |
| Median age: | female: 43.6 years (2011 est.) |
| Population growth rate: | 0.083% (2011 est.) |
| Birth rate: | 9.21 births/1,000 population (2011 est.) |
| Death rate: | 10.7 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 2.32 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 61% of total population (2010) |
| Urbanization: | rate of urbanization: 0.6% annual rate of change (2010-15 est.) |
| Major cities - population: | ATHENS (capital) 3.252 million; Thessaloniki 834,000 (2009) |
| Sex ratio: | at birth: 1.064 male(s)/female |
| Sex ratio: | under 15 years: 1.06 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2011 est.) |
| Maternal mortality rate: | 2 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 5 deaths/1,000 live births |
| Infant mortality rate: | male: 5.49 deaths/1,000 live births |
| Infant mortality rate: | female: 4.48 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 79.92 years |
| Life expectancy at birth: | male: 77.36 years |
| Life expectancy at birth: | female: 82.65 years (2011 est.) |
| Total fertility rate: | 1.38 children born/woman (2011 est.) |
| Health expenditures: | 7.4% of GDP (2009) |
| Physicians density: | 6.043 physicians/1,000 population (2008) |
| Hospital bed density: | 4.77 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 0% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99% of population |
| Sanitation facility access: | rural: 97% of population |
| Sanitation facility access: | total: 98% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 3% of population |
| unimproved: | total: 2% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,800 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Obesity - adult prevalence rate: | 22.5% (2003) |
| Education expenditures: | 4% of GDP (2005) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96% |
| Literacy: | male: 97.8% |
| Literacy: | female: 94.2% (2001 census) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2007) |
| Unemployment, youth ages 15-24: | total: 25.8% |
| Unemployment, youth ages 15-24: | male: 19.4% |
| Unemployment, youth ages 15-24: | female: 33.9% (2009) |
