| People and Society | Gibraltar |
| --- | --- |
| Nationality: | noun: Gibraltarian(s) |
| Nationality: | adjective: Gibraltar |
| Ethnic groups: | Spanish, Italian, English, Maltese, Portuguese, German, North Africans |
| Languages: | English (used in schools and for official purposes), Spanish, Italian, Portuguese |
| Religions: | Roman Catholic 78.1%, Church of England 7%, other Christian 3.2%, Muslim 4%, Jewish 2.1%, Hindu 1.8%, other or unspecified 0.9%, none 2.9% (2001 census) |
| Population: | 29,185 (July 2014 est.) |
| Age structure: | 0-14 years: 20.1% (male 3,009/female 2,862) |
| Age structure: | 15-24 years: 16% (male 2,433/female 2,225) |
| Age structure: | 25-54 years: 38.1% (male 5,593/female 5,524) |
| Age structure: | 55-64 years: 10.8% (male 1,488/female 1,664) |
| Age structure: | 65 years and over: 14.6% (male 2,156/female 2,231) (2014 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 34 years |
| population pyramid: | male: 33.1 years |
| population pyramid: | female: 35 years (2014 est.) |
| Population growth rate: | 0.25% (2014 est.) |
| Birth rate: | 14.15 births/1,000 population (2014 est.) |
| Death rate: | 8.33 deaths/1,000 population (2014 est.) |
| Net migration rate: | -3.29 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 100% of total population (2011) |
| Urbanization: | rate of urbanization: 0.08% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.09 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.95 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2014 est.) |
| Infant mortality rate: | total: 6.29 deaths/1,000 live births |
| Infant mortality rate: | male: 6.99 deaths/1,000 live births |
| Infant mortality rate: | female: 5.53 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 79.13 years |
| Life expectancy at birth: | male: 76.28 years |
| Life expectancy at birth: | female: 82.18 years (2014 est.) |
| Total fertility rate: | 1.92 children born/woman (2014 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: NA |
| Literacy: | total population: above 80% |
| Literacy: | male: NA |
| Literacy: | female: NA |
