| People and Society | KUWAIT |
| --- | --- |
| Population: | 2,875,422 (July 2017 est.) |
| Population: | note: Kuwait's Public Authority for Civil Information estimates the country's total population to be 4,183,658 for 2015, with immigrants accounting more than 69% |
| Nationality: | noun: Kuwaiti(s) |
| Nationality: | adjective: Kuwaiti |
| Ethnic groups: | Kuwaiti 31.3%, other Arab 27.9%, Asian 37.8%, African 1.9%, other 1.1% (includes European, North American, South American, and Australian) (2013 est.) |
| Languages: | Arabic (official), English widely spoken |
| Religions: | Muslim (official) 76.7%, Christian 17.3%, other and unspecified 5.9% |
| Religions: | note: represents the total population; about 69% of the population consists of immigrants (2013 est.) |
| Age structure: | 0-14 years: 25.02% (male 374,259/female 345,104) |
| Age structure: | 15-24 years: 15.1% (male 238,451/female 195,700) |
| Age structure: | 25-54 years: 52.27% (male 948,902/female 554,050) |
| Age structure: | 55-64 years: 5.07% (male 82,366/female 63,505) |
| Age structure: | 65 years and over: 2.54% (male 33,561/female 39,524) (2017 est.) |
| Dependency ratios: | total dependency ratio: 29.8 |
| Dependency ratios: | youth dependency ratio: 27.1 |
| Dependency ratios: | elderly dependency ratio: 2.7 |
| Dependency ratios: | potential support ratio: 37.3 (2015 est.) |
| Median age: | total: 29.3 years |
| Median age: | male: 30.4 years |
| Median age: | female: 27.4 years (2017 est.) |
| Population growth rate: | 1.46% (2017 est.) |
| Birth rate: | 19.2 births/1,000 population (2017 est.) |
| Death rate: | 2.2 deaths/1,000 population (2017 est.) |
| Net migration rate: | -2.4 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | densest settlement is along the Persian Gulf, particularly in Kuwait City and on Bubiyan Island; significant population threads extend south and west along highways that radiate from the capital, particularly in the southern half of the country |
| Urbanization: | urban population: 98.4% of total population (2017) |
| Urbanization: | rate of urbanization: 2.29% annual rate of change (2015-20 est.) |
| Major urban areas - population: | KUWAIT (capital) 2.779 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.08 male(s)/female |
| Sex ratio: | 15-24 years: 1.22 male(s)/female |
| Sex ratio: | 25-54 years: 1.72 male(s)/female |
| Sex ratio: | 55-64 years: 1.31 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1.41 male(s)/female (2016 est.) |
| Maternal mortality rate: | 4 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 7 deaths/1,000 live births |
| Infant mortality rate: | male: 6.8 deaths/1,000 live births |
| Infant mortality rate: | female: 7.2 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 78.2 years |
| Life expectancy at birth: | male: 76.8 years |
| Life expectancy at birth: | female: 79.6 years (2017 est.) |
| Total fertility rate: | 2.4 children born/woman (2017 est.) |
| Health expenditures: | 3% of GDP (2014) |
| Physicians density: | 1.95 physicians/1,000 population (2014) |
| Hospital bed density: | 2.2 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <500 (2016 est.) |
| HIV/AIDS - deaths: | <100 (2016 est.) |
| Obesity - adult prevalence rate: | 37.9% (2016) |
| Children under the age of 5 years underweight: | 3% (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.7% |
| Literacy: | male: 96.4% |
| Literacy: | female: 94.5% (2016 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2013) |
| Unemployment, youth ages 15-24: | total: 14.6% |
| Unemployment, youth ages 15-24: | male: N/A |
| Unemployment, youth ages 15-24: | female: N/A (2011 est.) |
