| People and Society | KUWAIT |
| --- | --- |
| Nationality: | noun: Kuwaiti(s) |
| Nationality: | adjective: Kuwaiti |
| Ethnic groups: | Kuwaiti 31.3%, other Arab 27.9%, Asian 37.8%, African 1.9%, other 1.1% (includes European, North American, South American, and Australian) (2013 est.) |
| Languages: | Arabic (official), English widely spoken |
| Religions: | Muslim (official) 76.7%, Christian 17.3%, other and unspecified 5.9% |
| Religions: | note: represents the total population; about 69% of the population consists of immigrants (2013 est.) |
| religious affiliation: | Population: |
| religious affiliation: | 2,788,534 |
| religious affiliation: | note: Kuwait's Public Authority for Civil Information estimates the country's total population to be 3,996,899 for 2014, with immigrants accounting for almost 69% (July 2015 est.) |
| Age structure: | 0-14 years: 25.32% (male 367,176/female 338,883) |
| Age structure: | 15-24 years: 15.21% (male 233,306/female 190,903) |
| Age structure: | 25-54 years: 52.32% (male 924,103/female 534,769) |
| Age structure: | 55-64 years: 4.82% (male 76,707/female 57,663) |
| Age structure: | 65 years and over: 2.33% (male 30,681/female 34,343) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 32.1% |
| population pyramid: | youth dependency ratio: 29.5% |
| population pyramid: | elderly dependency ratio: 2.6% |
| population pyramid: | potential support ratio: 38.4% (2015 est.) |
| Median age: | total: 29 years |
| Median age: | male: 30.2 years |
| Median age: | female: 27 years (2015 est.) |
| Population growth rate: | 1.62% |
| Population growth rate: | note: this rate reflects a return to pre-Gulf crisis immigration of expatriates (2015 est.) |
| Birth rate: | 19.91 births/1,000 population (2015 est.) |
| Death rate: | 2.18 deaths/1,000 population (2015 est.) |
| Net migration rate: | -1.58 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 98.3% of total population (2015) |
| Urbanization: | rate of urbanization: 3.63% annual rate of change (2010-15 est.) |
| Major urban areas - population: | KUWAIT (capital) 2.779 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.08 male(s)/female |
| Sex ratio: | 15-24 years: 1.22 male(s)/female |
| Sex ratio: | 25-54 years: 1.73 male(s)/female |
| Sex ratio: | 55-64 years: 1.33 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1.41 male(s)/female (2015 est.) |
| Maternal mortality rate: | 4 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 7.31 deaths/1,000 live births |
| Infant mortality rate: | male: 7.09 deaths/1,000 live births |
| Infant mortality rate: | female: 7.54 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 77.82 years |
| Life expectancy at birth: | male: 76.51 years |
| Life expectancy at birth: | female: 79.19 years (2015 est.) |
| Total fertility rate: | 2.48 children born/woman (2015 est.) |
| Health expenditures: | 2.9% of GDP (2013) |
| Physicians density: | 1.79 physicians/1,000 population (2009) |
| Hospital bed density: | 2.2 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: |
