| People | Burundi |
| --- | --- |
| Population: | 9,863,117 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2010 est.) |
| Age structure: | 0-14 years: 46.3% (male 2,213,667/female 2,189,197) |
| Age structure: | 15-64 years: 51.2% (male 2,399,466/female 2,470,743) |
| Age structure: | 65 years and over: 2.5% (male 95,324/female 142,933) (2010 est.) |
| Median age: | total: 16.8 years |
| Median age: | male: 16.5 years |
| Median age: | female: 17.2 years (2010 est.) |
| Population growth rate: | 3.561% (2010 est.) |
| Birth rate: | 41.43 births/1,000 population (2010 est.) |
| Death rate: | 9.87 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | 4.06 migrant(s)/1,000 population (2010 est.) |
| Urbanization: | urban population: 10% of total population (2008) |
| Urbanization: | rate of urbanization: 6.8% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 63.38 deaths/1,000 live births |
| Infant mortality rate: | male: 68.02 deaths/1,000 live births |
| Infant mortality rate: | female: 58.6 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 58.29 years |
| Life expectancy at birth: | male: 56.65 years |
| Life expectancy at birth: | female: 59.98 years (2010 est.) |
| Total fertility rate: | 6.25 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 2% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 110,000 (2007 est.) |
| HIV/AIDS - deaths: | 11,000 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Nationality: | noun: Burundian(s) |
| Nationality: | adjective: Burundian |
| Ethnic groups: | Hutu (Bantu) 85%, Tutsi (Hamitic) 14%, Twa (Pygmy) 1%, Europeans 3,000, South Asians 2,000 |
| Religions: | Christian 67% (Roman Catholic 62%, Protestant 5%), indigenous beliefs 23%, Muslim 10% |
| Languages: | Kirundi (official), French (official), Swahili (along Lake Tanganyika and in the Bujumbura area) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 59.3% |
| Literacy: | male: 67.3% |
| Literacy: | female: 52.2% (2000 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2008) |
| Education expenditures: | 7.2% of GDP (2008) |
