| People and Society | Burundi |
| --- | --- |
| Population: | 11,844,520 (July 2018 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Burundian(s) |
| Nationality: | adjective: Burundian |
| Ethnic groups: | Hutu 85%, Tutsi 14%, Twa (Pygmy) 1%, Europeans 3,000, South Asians 2,000 |
| Languages: | Kirundi 29.7% (official), Kirundi and other language 9.1%, French (official); French and other language 0.3%, Swahili; Swahili and other language 0.2% (along Lake Tanganyika and in the Bujumbura area), English (official); English and other language 0.06%, more than 2 languages 3.7%, unspecified 56.9% (2008 est.) |
| Languages: | note: data represent language read and written by people 10 years of age or older; spoken Kirundi is nearly universal |
| Religions: | Roman Catholic 62.1%, Protestant 23.9% (includes Adventist 2.3% and other Protestant 21.6%), Muslim 2.5%, other 3.6%, unspecified 7.9% (2008 est.) |
| Demographic profile: | Burundi is a densely populated country with a high population growth rate, factors that combined with land scarcity and poverty place a large share of its population at risk of food insecurity. About 90% of the population relies on subsistence agriculture. Subdivision of land to sons, and redistribution to returning refugees, results in smaller, overworked, and less productive plots. Food shortages, poverty, and a lack of clean water contribute to a 60% chronic malnutrition rate among children. A lack of reproductive health services has prevented a significant reduction in Burundiâ€™s maternal mortality and fertility rates, which are both among the worldâ€™s highest. With two-thirds of its population under the age of 25 and a birth rate of about 6 children per woman, Burundiâ€™s population will continue to expand rapidly for decades to come, putting additional strain on a poor country. |
| Demographic profile: | Historically, migration flows into and out of Burundi have consisted overwhelmingly of refugees from violent conflicts. In the last decade, more than a half million Burundian refugees returned home from neighboring countries, mainly Tanzania. Reintegrating the returnees has been problematic due to their prolonged time in exile, land scarcity, poor infrastructure, poverty, and unemployment. Repatriates and existing residents (including internally displaced persons) compete for limited land and other resources. To further complicate matters, international aid organizations reduced their assistance because they no longer classified Burundi as a post-conflict country. Conditions have deteriorated since renewed violence erupted in April 2015, causing another outpouring of refugees. In addition to refugee out-migration, Burundi has hosted thousands of refugees from neighboring countries, mostly from the Democratic Republic of the Congo and lesser numbers from Rwanda. |
| Age structure: | 0-14 years: 45.52% (male 2,712,836 /female 2,678,223) |
| Age structure: | 15-24 years: 19.21% (male 1,135,145 /female 1,139,717) |
| Age structure: | 25-54 years: 28.7% (male 1,694,547 /female 1,704,369) |
| Age structure: | 55-64 years: 3.89% (male 218,272 /female 242,855) |
| Age structure: | 65 years and over: 2.69% (male 137,590 /female 180,966) (2018 est.) |
| Dependency ratios: | total dependency ratio: 89.6 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 84.8 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 4.7 (2015 est.) |
| Dependency ratios: | potential support ratio: 21.1 (2015 est.) |
| Median age: | total: 17.1 years |
| Median age: | male: 16.8 years |
| Median age: | female: 17.3 years (2018 est.) |
| Population growth rate: | 3.23% (2018 est.) |
| Birth rate: | 40.9 births/1,000 population (2018 est.) |
| Death rate: | 8.6 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
