| People and Society | BURUNDI |
| --- | --- |
| Nationality: | noun: Burundian(s) |
| Nationality: | adjective: Burundian |
| Ethnic groups: | Hutu (Bantu) 85%, Tutsi (Hamitic) 14%, Twa (Pygmy) 1%, Europeans 3,000, South Asians 2,000 |
| Languages: | Kirundi 29.7% (official), Kirundi and other language 9.1%, French (official) and French and other language 0.3%, Swahili and Swahili and other language 0.2% (along Lake Tanganyika and in the Bujumbura area), English and English and other language 0.06%, more than 2 languages 3.7%, unspecified 56.9% (2008 est.) |
| Religions: | Catholic 62.1%, Protestant 23.9% (includes Adventist 2.3% and other Protestant 21.6%), Muslim 2.5%, other 3.6%, unspecified 7.9% (2008 est.) |
| Population: | 10,742,276 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 45.64% (male 2,464,695/female 2,437,923) |
| Age structure: | 15-24 years: 19.23% (male 1,030,773/female 1,035,478) |
| Age structure: | 25-54 years: 28.67% (male 1,536,089/female 1,543,356) |
| Age structure: | 55-64 years: 3.94% (male 198,384/female 224,563) |
| Age structure: | 65 years and over: 2.52% (male 115,187/female 155,828) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 89.7% |
| population pyramid: | youth dependency ratio: 85% |
| population pyramid: | elderly dependency ratio: 4.7% |
| population pyramid: | potential support ratio: 21.3% (2015 est.) |
| Median age: | total: 17 years |
| Median age: | male: 16.8 years |
| Median age: | female: 17.2 years (2015 est.) |
| Population growth rate: | 3.28% (2015 est.) |
| Birth rate: | 42.01 births/1,000 population (2015 est.) |
| Death rate: | 9.27 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 12.1% of total population (2015) |
| Urbanization: | rate of urbanization: 5.66% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BUJUMBURA (capital) 751,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 61.89 deaths/1,000 live births |
| Infant mortality rate: | male: 68.55 deaths/1,000 live births |
| Infant mortality rate: | female: 55.04 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 60.09 years |
| Life expectancy at birth: | male: 58.45 years |
| Life expectancy at birth: | female: 61.78 years (2015 est.) |
| Total fertility rate: | 6.09 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 21.9% (2010/11) |
| Health expenditures: | 8% of GDP (2013) |
| Hospital bed density: | 1.9 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 91.1% of population |
| Drinking water source: | rural: 73.8% of population |
| Drinking water source: | total: 75.9% of population |
| unimproved: | urban: 8.9% of population |
| unimproved: | rural: 26.2% of population |
| unimproved: | total: 24.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 43.8% of population |
| Sanitation facility access: | rural: 48.6% of population |
| Sanitation facility access: | total: 48% of population |
| unimproved: | urban: 56.2% of population |
| unimproved: | rural: 51.4% of population |
| unimproved: | total: 52% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.11% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 84,700 (2014 est.) |
| HIV/AIDS - deaths: | 3,900 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 2.1% (2014) |
| Children under the age of 5 years underweight: | 29.1% (2011) |
| Education expenditures: | 5.8% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 85.6% |
| Literacy: | male: 88.2% |
| Literacy: | female: 83.1% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2010) |
| Child labor - children ages 5-14: | total number: 433,187 |
| Child labor - children ages 5-14: | percentage: 19% (2005 est.) |
