| People and Society | Luxembourg |
| --- | --- |
| Nationality: | noun: Luxembourger(s) |
| Nationality: | adjective: Luxembourg |
| Ethnic groups: | Luxembourger 63.1%, Portuguese 13.3%, French 4.5%, Italian 4.3%, German 2.3%, other EU 7.3%, other 5.2% (2000 census) |
| Languages: | Luxembourgish (official administrative language and national language (spoken vernacular)), French (official administrative language), German (official administrative language) |
| Religions: | Roman Catholic 87%, other (includes Protestant, Jewish, and Muslim) 13% (2000) |
| Population: | 520,672 (July 2014 est.) |
| Age structure: | 0-14 years: 17.9% (male 47,968/female 45,100) |
| Age structure: | 15-24 years: 12.7% (male 33,657/female 32,212) |
| Age structure: | 25-54 years: 42.1% (male 109,528/female 109,662) |
| Age structure: | 55-64 years: 12% (male 31,076/female 31,212) |
| Age structure: | 65 years and over: 15.2% (male 33,892/female 46,365) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 46.6 % |
| population pyramid: | youth dependency ratio: 25.6 % |
| population pyramid: | elderly dependency ratio: 21 % |
| population pyramid: | potential support ratio: 4.8 (2014 est.) |
| Median age: | total: 39.6 years |
| Median age: | male: 38.5 years |
| Median age: | female: 40.7 years (2014 est.) |
| Population growth rate: | 1.12% (2014 est.) |
| Birth rate: | 11.75 births/1,000 population (2014 est.) |
| Death rate: | 8.53 deaths/1,000 population (2014 est.) |
| Net migration rate: | 7.97 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 85.4% of total population (2011) |
| Urbanization: | rate of urbanization: 1.62% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LUXEMBOURG (capital) 94,000 (2011) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 30.2 |
| Mother's mean age at first birth: | note: data are based on events and not on fertility rates (2012 est.) |
| Maternal mortality rate: | 20 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 4.28 deaths/1,000 live births |
| Infant mortality rate: | male: 4.32 deaths/1,000 live births |
| Infant mortality rate: | female: 4.24 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 80.01 years |
| Life expectancy at birth: | male: 76.77 years |
| Life expectancy at birth: | female: 83.46 years (2014 est.) |
| Total fertility rate: | 1.77 children born/woman (2014 est.) |
| Health expenditures: | 7.7% of GDP (2011) |
| Physicians density: | 2.78 physicians/1,000 population (2011) |
| Hospital bed density: | 5.4 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 1,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 26% (2008) |
| Education expenditures: | 3.7% of GDP (2001) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 100% |
| Literacy: | male: 100% |
| Literacy: | female: 100% (2000 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2010) |
| Unemployment, youth ages 15-24: | total: 18.8% |
| Unemployment, youth ages 15-24: | male: 18.9% |
| Unemployment, youth ages 15-24: | female: 18.6% (2012) |
