| People and Society | Luxembourg |
| --- | --- |
| Nationality: | noun: Luxembourger(s) |
| Nationality: | adjective: Luxembourg |
| Ethnic groups: | Luxembourger 63.1%, Portuguese 13.3%, French 4.5%, Italian 4.3%, German 2.3%, other EU 7.3%, other 5.2% (2000 census) |
| Languages: | Luxembourgish (official administrative language and national language (spoken vernacular)), French (official administrative language), German (official administrative language) |
| Religions: | Roman Catholic 87%, other (includes Protestant, Jewish, and Muslim) 13% (2000) |
| Population: | 514,862 (July 2013 est.) |
| Age structure: | 0-14 years: 18% (male 47,679/female 44,812) |
| Age structure: | 15-24 years: 12.6% (male 33,182/female 31,860) |
| Age structure: | 25-54 years: 42.3% (male 109,075/female 108,922) |
| Age structure: | 55-64 years: 11.8% (male 30,481/female 30,422) |
| Age structure: | 65 years and over: 15.2% (male 32,892/female 45,537) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 46.5 % |
| population pyramid: | youth dependency ratio: 25.7 % |
| population pyramid: | elderly dependency ratio: 20.8 % |
| population pyramid: | potential support ratio: 4.8 (2013) |
| Median age: | total: 39.6 years |
| Median age: | male: 38.5 years |
| Median age: | female: 40.6 years (2013 est.) |
| Population growth rate: | 1.13% (2013 est.) |
| Birth rate: | 11.72 births/1,000 population (2013 est.) |
| Death rate: | 8.52 deaths/1,000 population (2013 est.) |
| Net migration rate: | 8.06 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 85% of total population (2010) |
| Urbanization: | rate of urbanization: 1.4% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LUXEMBOURG (capital) 90,000 (2009) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 29.3 (2008 est.) |
| Maternal mortality rate: | 20 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 4.33 deaths/1,000 live births |
| Infant mortality rate: | male: 4.37 deaths/1,000 live births |
| Infant mortality rate: | female: 4.3 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 79.88 years |
| Life expectancy at birth: | male: 76.64 years |
| Life expectancy at birth: | female: 83.33 years (2013 est.) |
| Total fertility rate: | 1.77 children born/woman (2013 est.) |
| Health expenditures: | 7.7% of GDP (2011) |
| Physicians density: | 2.78 physicians/1,000 population (2011) |
| Hospital bed density: | 5.4 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 1,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 26% (2008) |
| Education expenditures: | 3.8% of GDP (2001) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 100% |
| Literacy: | male: 100% |
| Literacy: | female: 100% (2000 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2010) |
| Unemployment, youth ages 15-24: | total: 16.8% |
| Unemployment, youth ages 15-24: | male: 13.3% |
| Unemployment, youth ages 15-24: | female: 20.8% (2011) |
