| People and Society | BURKINA FASO |
| --- | --- |
| Population: | 20,107,509 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.) |
| Nationality: | noun: Burkinabe (singular and plural) |
| Nationality: | adjective: Burkinabe |
| Ethnic groups: | Mossi 52%, Fulani 8.4%, Gurma 7%, Bobo 4.9%, Gurunsi 4.6%, Senufo 4.5%, Bissa 3.7%, Lobi 2.4%, Dagara 2.4%, Tuareg/Bella 1.9%, Dioula 0.8%, unspecified/no answer 0.3%, other 7.2% (2010 est.) |
| Languages: | French (official), native African languages belonging to Sudanic family spoken by 90% of the population |
| Religions: | Muslim 61.6%, Roman Catholic 23.2%, traditional/animist 7.3%, Protestant 6.7%, other/no answer 0.2%, none 0.9% (2010 est.) |
| Demographic profile: | Burkina Faso has a young age structure – the result of declining mortality combined with steady high fertility – and continues to experience rapid population growth, which is putting increasing pressure on the country’s limited arable land. More than 65% of the population is under the age of 25, and the population is growing at 3% annually. Mortality rates, especially those of infants and children, have decreased because of improved health care, hygiene, and sanitation, but women continue to have an average of almost 6 children. Even if fertility were substantially reduced, today’s large cohort entering their reproductive years would sustain high population growth for the foreseeable future. Only about a third of the population is literate and unemployment is widespread, dampening the economic prospects of Burkina Faso’s large working-age population. |
| Demographic profile: | Migration has traditionally been a way of life for Burkinabe, with seasonal migration being replaced by stints of up to two years abroad. Cote d’Ivoire remains the top destination, although it has experienced periods of internal conflict. Under French colonization, Burkina Faso became a main labor source for agricultural and factory work in Cote d’Ivoire. Burkinabe also migrated to Ghana, Mali, and Senegal for work between the world wars. Burkina Faso attracts migrants from Cote d’Ivoire, Ghana, and Mali, who often share common ethnic backgrounds with the Burkinabe. Despite its food shortages and high poverty rate, Burkina Faso has become a destination for refugees in recent years and hosts about 33,500 Malians as of May 2017. |
| Age structure: | 0-14 years: 44.88% (male 4,519,960/female 4,503,937) |
| Age structure: | 15-24 years: 20.07% (male 2,024,501/female 2,012,053) |
| Age structure: | 25-54 years: 29.42% (male 2,999,941/female 2,915,264) |
| Age structure: | 55-64 years: 3.2% (male 284,374/female 359,159) |
| Age structure: | 65 years and over: 2.43% (male 181,996/female 306,324) (2017 est.) |
| Dependency ratios: | total dependency ratio: 92.2 |
| Dependency ratios: | youth dependency ratio: 87.6 |
| Dependency ratios: | elderly dependency ratio: 4.6 |
| Dependency ratios: | potential support ratio: 21.6 (2015 est.) |
| Median age: | total: 17.3 years |
| Median age: | male: 17.1 years |
| Median age: | female: 17.4 years (2017 est.) |
| Population growth rate: | 3% (2017 est.) |
| Birth rate: | 41.2 births/1,000 population (2017 est.) |
| Death rate: | 11.2 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the population is concentrated in the central and southern parts of the country; the east, north, and southwest are less populated |
| Urbanization: | urban population: 31.5% of total population (2017) |
| Urbanization: | rate of urbanization: 5.29% annual rate of change (2015-20 est.) |
| Major urban areas - population: | OUAGADOUGOU (capital) 2.741 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.77 male(s)/female |
| Sex ratio: | 65 years and over: 0.6 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.4 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2010 est.) |
| Maternal mortality rate: | 371 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 72.2 deaths/1,000 live births |
| Infant mortality rate: | male: 79.3 deaths/1,000 live births |
| Infant mortality rate: | female: 64.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 55.9 years |
| Life expectancy at birth: | male: 53.8 years |
| Life expectancy at birth: | female: 58 years (2017 est.) |
| Total fertility rate: | 5.71 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 25.5% (2016) |
| Health expenditures: | 5% of GDP (2014) |
| Physicians density: | 0.05 physicians/1,000 population (2012) |
| Hospital bed density: | 0.4 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.5% of population |
| Drinking water source: | rural: 75.8% of population |
| Drinking water source: | total: 82.3% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 24.2% of population |
| unimproved: | total: 17.7% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 50.4% of population |
| Sanitation facility access: | rural: 6.7% of population |
