| People and Society | Burkina Faso |
| --- | --- |
| Population: | 20,835,401 (July 2020 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Burkinabe (singular and plural) |
| Nationality: | adjective: Burkinabe |
| Ethnic groups: | Mossi 52%, Fulani 8.4%, Gurma 7%, Bobo 4.9%, Gurunsi 4.6%, Senufo 4.5%, Bissa 3.7%, Lobi 2.4%, Dagara 2.4%, Tuareg/Bella 1.9%, Dioula 0.8%, unspecified/no answer 0.3%, other 7.2% (2010 est.) |
| Languages: | French (official), native African languages belonging to Sudanic family spoken by 90% of the population |
| Religions: | Muslim 61.5%, Roman Catholic 23.3%, traditional/animist 7.8%, Protestant 6.5%, other/no answer 0.2%, none 0.7% (2010 est.) |
| Demographic profile: | Burkina Faso has a young age structure â€“ the result of declining mortality combined with steady high fertility â€“ and continues to experience rapid population growth, which is putting increasing pressure on the countryâ€™s limited arable land. More than 65% of the population is under the age of 25, and the population is growing at 3% annually. Mortality rates, especially those of infants and children, have decreased because of improved health care, hygiene, and sanitation, but women continue to have an average of almost 6 children. Even if fertility were substantially reduced, todayâ€™s large cohort entering their reproductive years would sustain high population growth for the foreseeable future. Only about a third of the population is literate and unemployment is widespread, dampening the economic prospects of Burkina Fasoâ€™s large working-age population. |
| Demographic profile: | Migration has traditionally been a way of life for Burkinabe, with seasonal migration being replaced by stints of up to two years abroad. Cote dâ€™Ivoire remains the top destination, although it has experienced periods of internal conflict. Under French colonization, Burkina Faso became a main labor source for agricultural and factory work in Cote dâ€™Ivoire. Burkinabe also migrated to Ghana, Mali, and Senegal for work between the world wars. Burkina Faso attracts migrants from Cote dâ€™Ivoire, Ghana, and Mali, who often share common ethnic backgrounds with the Burkinabe. Despite its food shortages and high poverty rate, Burkina Faso has become a destination for refugees in recent years and hosts about 33,500 Malians as of May 2017. |
| Demographic profile: | (2018) |
| Age structure: | 0-14 years: 43.58% (male 4,606,350/female 4,473,951) |
| Age structure: | 15-24 years: 20.33% (male 2,121,012/female 2,114,213) |
| Age structure: | 25-54 years: 29.36% (male 2,850,621/female 3,265,926) |
| Age structure: | 55-64 years: 3.57% (male 321,417/female 423,016) |
| Age structure: | 65 years and over: 3.16% (male 284,838/female 374,057) (2020 est.) |
| Dependency ratios: | total dependency ratio: 87.9 |
| Dependency ratios: | youth dependency ratio: 83.4 |
| Dependency ratios: | elderly dependency ratio: 4.5 |
| Dependency ratios: | potential support ratio: 22.1 (2020 est.) |
| Median age: | total: 17.9 years |
| Median age: | male: 17 years |
| Median age: | female: 18.7 years (2020 est.) |
| Population growth rate: | 2.66% (2020 est.) |
| Birth rate: | 35.1 births/1,000 population (2020 est.) |
| Death rate: | 8.2 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.6 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | Most of the population is located in the center and south. Nearly one-third of the population lives in cities. The capital and largest city is Ouagadougou (Ouaga), with a population of 1.8 million as shown in this population distribution map |
| Population distribution: | (2019) |
| Urbanization: | urban population: 30.6% of total population (2020) |
| Urbanization: | rate of urbanization: 4.99% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 2.780 million OUAGADOUGOU (capital), 972,000 Bobo-Dioulasso (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.87 male(s)/female |
| Sex ratio: | 55-64 years: 0.76 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 19.4 years (2010 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 320 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 52 deaths/1,000 live births |
| Infant mortality rate: | male: 56.4 deaths/1,000 live births |
| Infant mortality rate: | female: 47.5 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 62.7 years |
| Life expectancy at birth: | male: 60.9 years |
| Life expectancy at birth: | female: 64.5 years (2020 est.) |
| Total fertility rate: | 4.51 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 32.5% (2018/19) |
| Drinking water source: | improved: urban: 94.9% of population |
| Drinking water source: | rural: 67.9% of population |
| Drinking water source: | total: 75.6% of population |
| Drinking water source: | unimproved: urban: 4.5% of population |
| Drinking water source: | rural: 32.1% of population |
| Drinking water source: | total: 24.4% of population (2017 est.) |
| Current Health Expenditure: | 6.9% (2017) |
| Physicians density: | 0.08 physicians/1,000 population (2017) |
| Hospital bed density: | 0.4 beds/1,000 population (2010) |
| Sanitation facility access: | improved: urban: 88.2% of population |
| Sanitation facility access: | rural: 30.2% of population |
| Sanitation facility access: | total: 46.9% of population |
| Sanitation facility access: | unimproved: urban: 11.8% of population |
| Sanitation facility access: | rural: 69.8% of population |
| Sanitation facility access: | total: 53.1% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 100,000 (2019 est.) |
| HIV/AIDS - deaths: | 3,100 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever andÂ malaria |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis |
| Obesity - adult prevalence rate: | 5.6% (2016) |
| Children under the age of 5 years underweight: | 17.7% (2018) |
| Education expenditures: | 5.4% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 41.2% |
| Literacy: | male: 50.1% |
| Literacy: | female: 32.7% (2018) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
