| People | Burkina Faso |
| --- | --- |
| Population: | 14,326,203 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2007 est.) |
| Age structure: | 0-14 years: 46.7% (male 3,356,737/female 3,327,058) |
| Age structure: | 15-64 years: 50.9% (male 3,635,152/female 3,650,303) |
| Age structure: | 65 years and over: 2.5% (male 141,554/female 215,399) (2007 est.) |
| Median age: | total: 16.5 years |
| Median age: | male: 16.3 years |
| Median age: | female: 16.7 years (2007 est.) |
| Population growth rate: | 2.997% (2007 est.) |
| Birth rate: | 45.28 births/1,000 population (2007 est.) |
| Death rate: | 15.31 deaths/1,000 population (2007 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.009 male(s)/female |
| Sex ratio: | 15-64 years: 0.996 male(s)/female |
| Sex ratio: | 65 years and over: 0.657 male(s)/female |
| Sex ratio: | total population: 0.992 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 89.79 deaths/1,000 live births |
| Infant mortality rate: | male: 97.55 deaths/1,000 live births |
| Infant mortality rate: | female: 81.8 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 49.21 years |
| Life expectancy at birth: | male: 47.68 years |
| Life expectancy at birth: | female: 50.8 years (2007 est.) |
| Total fertility rate: | 6.41 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 4.2% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 300,000 (2003 est.) |
| HIV/AIDS - deaths: | 29,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria is a high risk in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified among birds in this country or surrounding region; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2007) |
| Nationality: | noun: Burkinabe (singular and plural) |
| Nationality: | adjective: Burkinabe |
| Ethnic groups: | Mossi over 40%, other approximately 60% (includes Gurunsi, Senufo, Lobi, Bobo, Mande, and Fulani) |
| Religions: | Muslim 50%, indigenous beliefs 40%, Christian (mainly Roman Catholic) 10% |
| Languages: | French (official), native African languages belonging to Sudanic family spoken by 90% of the population |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 21.8% |
| Literacy: | male: 29.4% |
| Literacy: | female: 15.2% (2003 est.) |
