| People and Society | Burkina Faso |
| --- | --- |
| Nationality: | noun: Burkinabe (singular and plural) |
| Nationality: | adjective: Burkinabe |
| Ethnic groups: | Mossi over 40%, other approximately 60% (includes Gurunsi, Senufo, Lobi, Bobo, Mande, and Fulani) |
| Languages: | French (official), native African languages belonging to Sudanic family spoken by 90% of the population |
| Religions: | Muslim 60.5%, Catholic 19%, animist 15.3%, Protestant 4.2%, other 0.6%, none 0.4% |
| Population: | 17,812,961 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 45.5% (male 4,062,522/female 4,044,548) |
| Age structure: | 15-24 years: 20% (male 1,794,740/female 1,775,072) |
| Age structure: | 25-54 years: 28.9% (male 2,608,676/female 2,532,406) |
| Age structure: | 55-64 years: 3.1% (male 229,202/female 324,921) |
| Age structure: | 65 years and over: 2.5% (male 168,099/female 272,775) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 92.3 % |
| population pyramid: | youth dependency ratio: 87.6 % |
| population pyramid: | elderly dependency ratio: 4.7 % |
| population pyramid: | potential support ratio: 21.3 (2013) |
| Median age: | total: 17 years |
| Median age: | male: 16.8 years |
| Median age: | female: 17.1 years (2013 est.) |
| Population growth rate: | 3.06% (2013 est.) |
| Birth rate: | 42.81 births/1,000 population (2013 est.) |
| Death rate: | 12.21 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 26.5% of total population (2011) |
| Urbanization: | rate of urbanization: 6.02% annual rate of change (2010-15 est.) |
| Major urban areas - population: | OUAGADOUGOU (capital) 2.053 million (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.69 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 19.4 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2010 est.) |
| Maternal mortality rate: | 300 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 78.3 deaths/1,000 live births |
| Infant mortality rate: | male: 85.67 deaths/1,000 live births |
| Infant mortality rate: | female: 70.72 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 54.43 years |
| Life expectancy at birth: | male: 52.43 years |
| Life expectancy at birth: | female: 56.48 years (2013 est.) |
| Total fertility rate: | 6 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 16.2% (2010/11) |
| Health expenditures: | 6.5% of GDP (2011) |
| Physicians density: | 0.05 physicians/1,000 population (2010) |
| Hospital bed density: | 0.4 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95% of population |
| Drinking water source: | rural: 73% of population |
| Drinking water source: | total: 79% of population |
| unimproved: | urban: 5% of population |
| unimproved: | rural: 27% of population |
| unimproved: | total: 21% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 50% of population |
| Sanitation facility access: | rural: 6% of population |
| Sanitation facility access: | total: 17% of population |
| unimproved: | urban: 50% of population |
| unimproved: | rural: 94% of population |
| unimproved: | total: 83% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 110,000 (2009 est.) |
| HIV/AIDS - deaths: | 7,100 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever, malaria, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 2.3% (2008) |
| Children under the age of 5 years underweight: | 26% (2009) |
| Education expenditures: | 4% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 28.7% |
| Literacy: | male: 36.7% |
| Literacy: | female: 21.6% (2007 est.) |
| School life expectancy (primary to tertiary education): | total: 7 years |
| School life expectancy (primary to tertiary education): | male: 7 years |
| School life expectancy (primary to tertiary education): | female: 6 years (2011) |
| Child labor - children ages 5-14: | total number: 1,521,006 |
| Child labor - children ages 5-14: | percentage: 38 % (2006 est.) |
| Unemployment, youth ages 15-24: | total: 3.8% |
| Unemployment, youth ages 15-24: | male: 4.6% |
| Unemployment, youth ages 15-24: | female: 2.9% (2006) |
